# note,好棒 轻轻敲
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 12:06:22
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,38
# bottom_index,0
# distance_mm,361
# threshold,500000
# peak_abs,3095229
index,raw24
0,-5886
1,-5773
2,-6061
3,-6452
4,-7267
5,-7250
6,-8249
7,-8624
8,-8975
9,-9070
10,-9837
11,-10516
12,-12418
13,-14617
14,-16919
15,-18637
16,-20531
17,-22488
18,-24981
19,-28442
20,-31215
21,-34923
22,-38303
23,-41234
24,-45045
25,-48536
26,-53714
27,-59331
28,-65580
29,-72604
30,-79115
31,-87169
32,-94543
33,-101763
34,-109871
35,-118505
36,-125859
37,-134379
38,-142979
39,-150817
40,-159375
41,-167715
42,-177015
43,-185169
44,-193411
45,-202067
46,-210634
47,-219857
48,-229238
49,-239738
50,-252285
51,-267406
52,-284037
53,-303034
54,-323493
55,-345942
56,-370372
57,-396702
58,-428046
59,-463538
60,-503801
61,-548628
62,-597305
63,-649216
64,-703120
65,-758787
66,-815326
67,-873562
68,-932624
69,-992086
70,-1050461
71,-1108372
72,-1165149
73,-1220599
74,-1274746
75,-1325958
76,-1375052
77,-1421805
78,-1466215
79,-1507132
80,-1544852
81,-1578439
82,-1607839
83,-1630802
84,-1648827
85,-1660610
86,-1667135
87,-1667212
88,-1661352
89,-1649013
90,-1630052
91,-1606565
92,-1577673
93,-1543680
94,-1504996
95,-1461788
96,-1413970
97,-1362389
98,-1305895
99,-1246927
100,-1184431
101,-1118831
102,-1050078
103,-978454
104,-904238
105,-827568
106,-752187
107,-677175
108,-602756
109,-528043
110,-452714
111,-376395
112,-299725
113,-225320
114,-151997
115,-81746
116,-14416
117,50137
118,112891
119,172413
120,229176
121,281932
122,332114
123,377625
124,420027
125,459240
126,495896
127,527531
128,554963
129,575895
130,593097
131,604769
132,614255
133,620284
134,625376
135,627220
136,627135
137,625154
138,620902
139,614026
140,606471
141,597901
142,589460
143,580892
144,571469
145,561560
146,550475
147,537952
148,524486
149,509854
150,493616
151,477460
152,458873
153,438361
154,416412
155,390393
156,362241
157,330941
158,296765
159,258624
160,217393
161,173022
162,125809
163,74458
164,20689
165,-36210
166,-93734
167,-153026
168,-212687
169,-272325
170,-330188
171,-386228
172,-438397
173,-487903
174,-532396
175,-571795
176,-606029
177,-634027
178,-654349
179,-668374
180,-674284
181,-673226
182,-663487
183,-645606
184,-619888
185,-586156
186,-544476
187,-494554
188,-436502
189,-371792
190,-299467
191,-220086
192,-133835
193,-42179
194,55146
195,157739
196,264936
197,376504
198,491474
199,609958
200,729579
201,851890
202,976218
203,1099523
204,1223725
205,1347375
206,1469539
207,1590560
208,1709941
209,1825981
210,1939422
211,2049177
212,2155567
213,2257184
214,2353940
215,2446005
216,2534026
217,2616085
218,2691773
219,2762045
220,2825116
221,2883027
222,2932939
223,2977477
224,3014401
225,3044569
226,3068206
227,3084135
228,3093599
229,3095229
230,3091027
231,3080250
232,3062794
233,3039804
234,3011337
235,2977385
236,2939046
237,2896591
238,2850797
239,2801977
240,2749555
241,2696979
242,2642258
243,2586840
244,2530156
245,2473759
246,2417377
247,2361354
248,2306594
249,2251480
250,2198397
251,2145233
252,2092851
253,2041963
254,1991538
255,1941607
256,1891642
257,1842555
258,1792458
259,1743463
260,1692730
261,1642428
262,1590075
263,1537529
264,1482774
265,1428264
266,1371610
267,1314387
268,1255442
269,1195521
270,1134679
271,1073092
272,1011345
273,949206
274,887994
275,826566
276,766409
277,707347
278,650557
279,596221
280,542925
281,493170
282,446838
283,403680
284,364278
285,329458
286,298402
287,271541
288,249020
289,230902
290,218521
291,209487
292,205621
293,206148
294,210787
295,219401
296,231574
297,246698
298,265572
299,287699
300,311704
301,337882
302,365153
303,394700
304,425004
305,456288
306,486377
307,518077
308,548734
309,578819
310,607628
311,634930
312,660749
313,685364
314,707400
315,727642
316,745177
317,759806
318,771401
319,781099
320,786548
321,788740
322,788155
323,783747
324,776227
325,765893
326,750831
327,732931
328,711602
329,686707
330,659327
331,627487
332,594058
333,556618
334,516174
335,474319
336,429189
337,382072
338,333202
339,281905
340,229366
341,175218
342,120533
343,64038
344,7311
345,-49610
346,-106900
347,-164519
348,-221459
349,-277920
350,-333454
351,-388541
352,-442806
353,-495120
354,-546923
355,-596649
356,-645208
357,-692353
358,-738333
359,-782930
360,-825923
361,-867566
362,-907412
363,-947077
364,-984986
365,-1023129
366,-1059044
367,-1095571
368,-1130485
369,-1165363
370,-1199901
371,-1234043
372,-1267516
373,-1300793
374,-1335594
375,-1369375
376,-1404328
377,-1438149
378,-1472821
379,-1507657
380,-1543361
381,-1578165
382,-1613500
383,-1649287
384,-1683574
385,-1717536
386,-1751199
387,-1784633
388,-1816119
389,-1846657
390,-1875688
391,-1903971
392,-1930107
393,-1954191
394,-1976320
395,-1996135
396,-2014163
397,-2029918
398,-2043502
399,-2054308
400,-2062681
401,-2068462
402,-2071689
403,-2073444
404,-2071959
405,-2068338
406,-2061838
407,-2053978
