# note,好棒 轻轻敲
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 12:07:02
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,49
# bottom_index,119
# distance_mm,453
# threshold,500000
# peak_abs,5080512
index,raw24
0,3055
1,2671
2,2414
3,2782
4,2206
5,1781
6,2173
7,1541
8,909
9,-660
10,-1747
11,-4107
12,-5939
13,-8058
14,-10225
15,-13128
16,-14886
17,-17220
18,-18698
19,-20672
20,-22109
21,-23515
22,-25560
23,-27381
24,-28617
25,-30766
26,-31674
27,-33222
28,-34578
29,-36574
30,-37433
31,-38877
32,-39680
33,-40891
34,-41950
35,-43001
36,-44020
37,-45254
38,-45481
39,-46539
40,-47278
41,-48160
42,-49106
43,-49932
44,-51350
45,-52671
46,-53641
47,-55050
48,-57092
49,-58245
50,-59782
51,-61246
52,-63103
53,-65247
54,-67679
55,-69623
56,-82102
57,-110156
58,-156207
59,-221884
60,-305785
61,-409763
62,-527441
63,-653345
64,-787521
65,-930905
66,-1085135
67,-1253299
68,-1432898
69,-1624323
70,-1820205
71,-2014318
72,-2207224
73,-2397523
74,-2584710
75,-2769107
76,-2952433
77,-3132552
78,-3311706
79,-3487158
80,-3662020
81,-3832781
82,-4000265
83,-4163233
84,-4322580
85,-4476477
86,-4624474
87,-4758678
88,-4871537
89,-4963222
90,-5028448
91,-5069234
92,-5080512
93,-5063955
94,-5016473
95,-4943205
96,-4841545
97,-4716562
98,-4568163
99,-4397109
100,-4208716
101,-4000450
102,-3782082
103,-3562500
104,-3347537
105,-3134329
106,-2925034
107,-2717629
108,-2514137
109,-2312574
110,-2113844
111,-1918074
112,-1723888
113,-1533790
114,-1344210
115,-1158734
116,-973809
117,-792682
118,-613177
119,-436110
120,-260497
121,-87913
122,82450
123,250568
124,416921
125,580398
126,741159
127,896701
128,1035535
129,1159681
130,1268867
131,1363496
132,1443314
133,1509226
134,1562089
135,1603595
136,1636295
137,1659135
138,1673437
139,1680608
140,1681587
141,1678902
142,1674065
143,1668365
144,1662097
145,1656238
146,1650828
147,1645194
148,1639065
149,1631537
150,1624090
151,1615876
152,1606791
153,1597274
154,1586935
155,1575182
156,1561445
157,1544695
158,1524170
159,1497976
160,1466745
161,1428310
162,1382016
163,1327183
164,1261157
165,1184667
166,1096794
167,996429
168,886003
169,763655
170,629569
171,486077
172,333321
173,171657
174,2276
175,-174453
176,-355543
177,-540980
178,-729674
179,-918449
180,-1106729
181,-1293930
182,-1476092
183,-1651319
184,-1820558
185,-1978744
186,-2125350
187,-2258363
188,-2375703
189,-2474805
190,-2553959
191,-2610927
192,-2644264
193,-2653885
194,-2636161
195,-2592688
196,-2521211
197,-2423967
198,-2298167
199,-2147423
200,-1969345
201,-1775024
202,-1579664
203,-1387271
204,-1197789
205,-1010059
206,-824720
207,-642211
208,-462197
209,-283300
210,-108122
211,67075
212,237899
213,407438
214,573476
215,737238
216,898260
217,1057127
218,1213406
219,1366858
220,1518627
221,1667129
222,1813262
223,1957160
224,2098857
225,2238137
226,2375112
227,2510182
228,2642060
229,2772089
230,2900687
231,3026813
232,3150099
233,3272531
234,3379379
235,3464223
236,3528944
237,3576449
238,3605204
239,3618468
240,3615682
241,3598033
242,3568242
243,3525958
244,3473792
245,3412848
246,3345751
247,3272919
248,3195783
249,3115865
250,3035309
251,2952034
252,2870146
253,2788587
254,2708143
255,2629164
256,2551507
257,2475732
258,2402318
259,2331624
260,2262108
261,2195992
262,2131212
263,2068327
