# note,好棒 轻轻敲
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 12:09:04
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,110
# distance_mm,0
# threshold,500000
# peak_abs,4642911
index,raw24
0,-35001
1,-36477
2,-37072
3,-37700
4,-39391
5,-40866
6,-43813
7,-46496
8,-49818
9,-52492
10,-55590
11,-59303
12,-62383
13,-65568
14,-68760
15,-72343
16,-75215
17,-78389
18,-82052
19,-85530
20,-89903
21,-93884
22,-98217
23,-102149
24,-106192
25,-109643
26,-112638
27,-116520
28,-120778
29,-125635
30,-131340
31,-137556
32,-144675
33,-150609
34,-157263
35,-162428
36,-168072
37,-174795
38,-181750
39,-189848
40,-197505
41,-206424
42,-215799
43,-225941
44,-237865
45,-250772
46,-264182
47,-278957
48,-294067
49,-310983
50,-329121
51,-348249
52,-365975
53,-385274
54,-404467
55,-425234
56,-447478
57,-471007
58,-495702
59,-522233
60,-553353
61,-588294
62,-624934
63,-662546
64,-701361
65,-741179
66,-784137
67,-831225
68,-882123
69,-936744
70,-996557
71,-1059380
72,-1127226
73,-1197785
74,-1270606
75,-1345171
76,-1419607
77,-1496042
78,-1575347
79,-1664595
80,-1762384
81,-1867752
82,-1975644
83,-2085147
84,-2196125
85,-2309113
86,-2424111
87,-2538607
88,-2653977
89,-2768141
90,-2885075
91,-3003771
92,-3124452
93,-3244167
94,-3361795
95,-3478072
96,-3593528
97,-3710177
98,-3827644
99,-3945297
100,-4058927
101,-4171568
102,-4277322
103,-4376008
104,-4461138
105,-4530081
106,-4582784
107,-4618265
108,-4639277
109,-4642911
110,-4628256
111,-4592051
112,-4537099
113,-4463153
114,-4372856
115,-4263554
116,-4134514
117,-3982561
118,-3812107
119,-3624625
120,-3418911
121,-3207469
122,-2995038
123,-2787032
124,-2580508
125,-2378049
126,-2177047
127,-1979285
128,-1784643
129,-1591817
130,-1402175
131,-1214556
132,-1029248
133,-845538
134,-665547
135,-486721
136,-311198
137,-136456
138,35001
139,198468
140,350948
141,494673
142,629653
143,755320
144,872276
145,980641
146,1080842
147,1172062
148,1254574
149,1328981
150,1397003
151,1456729
152,1510295
153,1555830
154,1594448
155,1626286
156,1651831
157,1670486
158,1683346
159,1691052
160,1695990
161,1696751
162,1695143
163,1691617
164,1684578
165,1676764
166,1665984
167,1653788
168,1638490
169,1620098
170,1598181
171,1573098
172,1545193
173,1514765
174,1481628
175,1444903
176,1406687
177,1363411
178,1318396
179,1269324
180,1217601
181,1162612
182,1105326
183,1044039
184,980944
185,915696
186,847168
187,777313
188,706210
189,633163
190,559246
191,484330
192,408575
193,332613
194,256332
195,181437
196,106487
197,33466
198,-37122
199,-106214
200,-172329
201,-234852
202,-293815
203,-348067
204,-396137
205,-439608
206,-474867
207,-503825
208,-522411
209,-531931
210,-529354
211,-513234
212,-483571
213,-437936
214,-376179
215,-296333
216,-199392
217,-83480
218,50810
219,203988
220,369731
221,538446
222,704116
223,867638
224,1027420
225,1184951
226,1339798
227,1492995
228,1642308
229,1790676
230,1935953
231,2078533
232,2219111
233,2356240
234,2492928
235,2625752
236,2757840
237,2886911
238,3014127
239,3138999
240,3262815
241,3384033
242,3503596
243,3621520
244,3736646
245,3851254
246,3959856
247,4054565
248,4134806
249,4204093
250,4262428
251,4308667
252,4344957
253,4373083
254,4390477
255,4400013
256,4402236
257,4395323
258,4381850
259,4361491
260,4335599
261,4302957
262,4266448
263,4224831
264,4178772
265,4128997
266,4076261
267,4021460
268,3962881
269,3903573
270,3842185
271,3779788
272,3715614
273,3651913
274,3586659
275,3521109
276,3455199
277,3389857
278,3322811
279,3256286
280,3190288
281,3121963
282,3055110
283,2986497
284,2918324
285,2849600
286,2780452
287,2710817
288,2640942
289,2571035
290,2499001
291,2427664
292,2355696
293,2283656
294,2210562
295,2137324
296,2063631
297,1989331
298,1914952
299,1840254
300,1764790
301,1689374
302,1614088
303,1539419
304,1464895
305,1390652
306,1317658
307,1245905
308,1177033
309,1109466
310,1045866
311,984003
312,926954
313,875281
314,826886
315,785273
316,749498
317,719654
318,697614
319,682297
320,674302
321,673707
322,680705
323,695438
324,717329
325,746609
326,782646
327,824919
328,872146
329,926008
330,983566
331,1045382
332,1109615
333,1175311
334,1242760
335,1310088
336,1377624
337,1442928
338,1505568
339,1564256
340,1619409
341,1669219
342,1713528
343,1750982
344,1781897
345,1804911
346,1821331
347,1829668
348,1829517
349,1821622
350,1806055
351,1782627
352,1751433
353,1712003
354,1666218
355,1613191
356,1554162
357,1488116
358,1416543
359,1339202
360,1256766
361,1169157
362,1077278
363,980899
364,880595
365,775751
366,668665
367,558695
368,445827
369,330148
370,213244
371,93298
372,-26305
373,-148006
374,-270276
375,-393163
376,-515771
377,-638116
378,-759982
379,-881482
380,-1001830
381,-1120916
382,-1238883
383,-1354379
384,-1468750
385,-1580611
