hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,12:06:20,hit_001_20260730_120620.csv,512,DEFECT,HIGH,0,28,114,271,500000,5393841,3041318,-5393841,-641769.6,,,,好棒 轻轻敲
2,12:06:21,hit_002_20260730_120621.csv,512,DEFECT,HIGH,0,34,113,333,500000,3249925,3249925,-2404897,-228041.8,,,,好棒 轻轻敲
3,12:06:22,hit_003_20260730_120622.csv,512,DEFECT,LOW,0,38,0,361,500000,3095229,3095229,-2100569,-241731.8,,,,好棒 轻轻敲
4,12:06:23,hit_004_20260730_120623.csv,512,DEFECT,LOW,0,59,0,561,500000,3183076,3183076,-2400467,-248291.4,,,,好棒 轻轻敲
5,12:06:32,hit_005_20260730_120632.csv,512,DEFECT,HIGH,0,39,113,382,500000,3366070,3366070,-3363589,-426780.8,,,,好棒 轻轻敲
6,12:06:32,hit_006_20260730_120632.csv,512,DEFECT,HIGH,0,35,115,336,500000,3286825,3286825,-2494542,-242375.6,,,,好棒 轻轻敲
7,12:06:33,hit_007_20260730_120633.csv,512,DEFECT,HIGH,0,41,113,401,500000,2805617,2805617,-1896028,-205982.1,,,,好棒 轻轻敲
8,12:06:34,hit_008_20260730_120634.csv,512,DEFECT,HIGH,0,41,112,405,500000,3091222,3091222,-2069326,-217337.8,,,,好棒 轻轻敲
9,12:06:35,hit_009_20260730_120635.csv,512,DEFECT,HIGH,0,35,114,339,500000,3526358,3458456,-3526358,-423917.8,,,,好棒 轻轻敲
10,12:06:36,hit_010_20260730_120636.csv,512,DEFECT,HIGH,0,39,117,345,500000,2781578,2781578,-1866605,-209146.0,,,,好棒 轻轻敲
11,12:06:37,hit_011_20260730_120637.csv,512,DEFECT,HIGH,0,39,111,390,500000,3534148,3534148,-3220388,-434708.7,,,,好棒 轻轻敲
12,12:06:38,hit_012_20260730_120638.csv,512,DEFECT,HIGH,0,40,110,404,500000,2966732,2966732,-1944395,-202713.8,,,,好棒 轻轻敲
13,12:06:39,hit_013_20260730_120639.csv,512,DEFECT,HIGH,0,36,112,356,500000,3305840,3305840,-3098073,-347021.9,,,,好棒 轻轻敲
14,12:06:39,hit_014_20260730_120639.csv,512,DEFECT,LOW,0,41,0,390,500000,2165100,2165100,-1485179,-164565.6,,,,好棒 轻轻敲
15,12:06:40,hit_015_20260730_120640.csv,512,DEFECT,HIGH,0,36,110,363,500000,3021636,3021636,-2125349,-203812.0,,,,好棒 轻轻敲
16,12:06:41,hit_016_20260730_120641.csv,512,DEFECT,HIGH,0,37,112,366,500000,3229460,3229460,-3150576,-342425.4,,,,好棒 轻轻敲
17,12:06:42,hit_017_20260730_120642.csv,512,DEFECT,HIGH,0,33,111,330,500000,2946783,2946783,-2335728,-226820.1,,,,好棒 轻轻敲
18,12:06:43,hit_018_20260730_120643.csv,512,DEFECT,HIGH,0,33,113,323,500000,3423098,3423098,-3169253,-348182.6,,,,好棒 轻轻敲
19,12:06:44,hit_019_20260730_120644.csv,512,DEFECT,LOW,0,47,0,447,500000,2007192,2007192,-1564436,-179833.7,,,,好棒 轻轻敲
20,12:06:44,hit_020_20260730_120644.csv,512,DEFECT,HIGH,0,44,110,444,500000,3788594,3788594,-2575345,-282677.3,,,,好棒 轻轻敲
21,12:06:45,hit_021_20260730_120645.csv,512,DEFECT,HIGH,0,42,110,424,500000,2423612,2423612,-1638064,-180577.4,,,,好棒 轻轻敲
22,12:06:46,hit_022_20260730_120646.csv,512,DEFECT,HIGH,0,42,114,407,500000,2762792,2762792,-1903314,-197943.2,,,,好棒 轻轻敲
23,12:06:46,hit_023_20260730_120646.csv,512,DEFECT,HIGH,0,42,112,415,500000,2079104,2079104,-1490420,-160218.4,,,,好棒 轻轻敲
24,12:06:47,hit_024_20260730_120647.csv,512,DEFECT,HIGH,0,39,114,378,500000,2942572,2942572,-2089046,-202074.1,,,,好棒 轻轻敲
