# note,好棒 任意重度敲击
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 12:31:53
# points,512
# state,NORMAL
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,1000000
# peak_abs,1442450
index,raw24
0,378747
1,385733
2,392110
3,398142
4,404829
5,410412
6,416809
7,422727
8,427675
9,433183
10,438194
11,442948
12,447654
13,452600
14,457472
15,462512
16,467040
17,471663
18,475973
19,480891
20,485568
21,490701
22,495905
23,501549
24,507807
25,513345
26,519859
27,525627
28,531187
29,536770
30,543337
31,549470
32,555659
33,561895
34,568067
35,574294
36,580687
37,587632
38,594977
39,602280
40,610087
41,618940
42,627720
43,637316
44,647526
45,658367
46,670863
47,684181
48,699153
49,713636
50,730229
51,747155
52,765192
53,783987
54,803691
55,824025
56,845028
57,867549
58,889315
59,913127
60,936135
61,959877
62,983376
63,1007440
64,1031565
65,1056167
66,1080230
67,1105050
68,1128819
69,1152513
70,1176365
71,1199965
72,1222018
73,1244821
74,1264909
75,1285571
76,1304758
77,1323711
78,1341101
79,1357241
80,1372676
81,1385916
82,1398555
83,1409560
84,1418524
85,1426327
86,1432673
87,1437466
88,1440586
89,1442346
90,1442450
91,1440810
92,1438738
93,1434691
94,1430404
95,1424245
96,1416807
97,1408226
98,1398582
99,1388395
100,1377458
101,1365818
102,1352651
103,1339118
104,1324706
105,1309753
106,1294505
107,1277683
108,1261655
109,1244013
110,1227885
111,1209263
112,1190731
113,1172858
114,1153787
115,1135206
116,1115939
117,1096563
118,1077509
119,1058314
120,1038472
121,1019258
122,999133
123,978915
124,959660
125,939367
126,919500
127,899772
128,879758
129,860010
130,839241
131,819571
132,799759
133,779997
134,759582
135,739657
136,719319
137,699615
138,679554
139,660383
140,640726
141,621248
142,601804
143,582147
144,563059
145,544143
146,525236
147,506524
148,488206
149,471099
150,453073
151,436162
152,419605
153,402865
154,387304
155,372497
156,357707
157,343328
158,329326
159,316206
160,303751
161,290274
162,278782
163,266852
164,254884
165,244381
166,233623
167,223050
168,213039
169,202773
170,192660
171,182797
172,172606
173,163377
174,153357
175,142867
176,133097
177,122809
178,111778
179,100940
180,89208
181,77277
182,64251
183,51580
184,37517
185,23185
186,7878
187,-6931
188,-23050
189,-40063
190,-57754
191,-74995
192,-94122
193,-112887
194,-133609
195,-153521
196,-174518
197,-195793
198,-218401
199,-240798
200,-263841
201,-286768
202,-310629
203,-334311
204,-359183
205,-382915
206,-407820
207,-432346
208,-457085
209,-482222
210,-507291
211,-531493
212,-556484
213,-581200
214,-605745
215,-629111
216,-653666
217,-677010
218,-700088
219,-723138
220,-746378
221,-768455
222,-791649
223,-812336
224,-833869
225,-854831
226,-874607
227,-894988
228,-914415
229,-933879
230,-951957
231,-969705
232,-986947
233,-1004066
234,-1020120
235,-1036219
236,-1051005
237,-1066660
238,-1080002
239,-1094118
240,-1107793
241,-1120481
242,-1133097
243,-1144334
244,-1155987
245,-1166333
246,-1176599
247,-1186423
248,-1195335
249,-1204037
250,-1212562
251,-1219790
252,-1226865
253,-1234059
254,-1239388
255,-1245605
256,-1251189
257,-1256396
258,-1259899
259,-1263721
260,-1267263
261,-1269564
262,-1272681
263,-1273758
264,-1275666
265,-1276598
266,-1277058
267,-1276847
268,-1276771
269,-1275703
270,-1274859
271,-1273447
272,-1271940
273,-1270289
274,-1267350
275,-1264827
276,-1261968
277,-1259022
278,-1255621
279,-1252131
280,-1248971
281,-1244882
282,-1241266
283,-1237515
284,-1234099
285,-1229989
286,-1226951
287,-1223345
288,-1219820
289,-1216183
290,-1213050
291,-1210158
292,-1207066
293,-1205023
294,-1202164
295,-1200081
296,-1197943
297,-1196268
298,-1194826
299,-1193376
300,-1191935
301,-1191149
302,-1191324
303,-1189842
304,-1189913
305,-1189504
306,-1189551
307,-1189557
308,-1190060
309,-1190035
310,-1190258
311,-1191000
312,-1190911
313,-1190518
314,-1190500
315,-1190187
316,-1189986
317,-1189696
