# note,好棒 任意重度敲击
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 12:32:45
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,35
# bottom_index,0
# distance_mm,333
# threshold,500000
# peak_abs,1549339
index,raw24
0,-15115
1,-16065
2,-16175
3,-16717
4,-17299
5,-17889
6,-18111
7,-18429
8,-19346
9,-19784
10,-20141
11,-20483
12,-21064
13,-21366
14,-21603
15,-22545
16,-22838
17,-23635
18,-23952
19,-24997
20,-25426
21,-25927
22,-26548
23,-27833
24,-29741
25,-30353
26,-32862
27,-34858
28,-37285
29,-39209
30,-42068
31,-44135
32,-47393
33,-50420
34,-53246
35,-56335
36,-59984
37,-64161
38,-68801
39,-73841
40,-81127
41,-88526
42,-97931
43,-108223
44,-120314
45,-134011
46,-150515
47,-168664
48,-188140
49,-209605
50,-232219
51,-255759
52,-280311
53,-305333
54,-331208
55,-358255
56,-385740
57,-414445
58,-442522
59,-473244
60,-503754
61,-535237
62,-567819
63,-601774
64,-635773
65,-671263
66,-705885
67,-741423
68,-775668
69,-809702
70,-842291
71,-873524
72,-904129
73,-930707
74,-955633
75,-976277
76,-994789
77,-1010324
78,-1021937
79,-1029828
80,-1034942
81,-1036640
82,-1034545
83,-1028011
84,-1017101
85,-1003369
86,-985575
87,-963118
88,-937633
89,-908054
90,-873751
91,-836613
92,-797367
93,-754397
94,-709761
95,-661914
96,-613074
97,-561527
98,-508538
99,-455332
100,-403021
101,-351107
102,-299128
103,-249284
104,-201742
105,-154365
106,-109754
107,-66189
108,-24261
109,15678
110,54389
111,90638
112,125651
113,159131
114,189936
115,219489
116,246942
117,273040
118,296622
119,319034
120,339387
121,358186
122,375270
123,390560
124,403353
125,414951
126,426013
127,435321
128,442932
129,450485
130,456366
131,461711
132,465310
133,468062
134,470084
135,471083
136,471105
137,469680
138,467991
139,465389
140,460397
141,454596
142,446629
143,437630
144,426065
145,413453
146,398570
147,382738
148,365275
149,346510
150,325708
151,304460
152,281327
153,256917
154,231157
155,204449
156,177584
157,150098
158,122048
159,93361
160,64094
161,34974
162,5498
163,-24439
164,-53708
165,-84253
166,-113275
167,-142853
168,-171292
169,-199007
170,-225439
171,-249715
172,-272933
173,-293163
174,-312431
175,-327217
176,-340161
177,-349104
178,-354869
179,-357122
180,-355382
181,-348507
182,-338384
183,-322527
184,-304191
185,-280106
186,-252184
187,-219633
188,-183118
189,-142152
190,-96391
191,-48139
192,5307
193,61706
194,121395
195,183116
196,248334
197,314295
198,382689
199,452434
200,522739
201,593099
