# note,好棒 任意重度敲击
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 12:23:09
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,28
# bottom_index,117
# distance_mm,264
# threshold,500000
# peak_abs,5248845
index,raw24
0,-5907
1,-6170
2,-6905
3,-6688
4,-7279
5,-7550
6,-8270
7,-8372
8,-8803
9,-9162
10,-9985
11,-10808
12,-12095
13,-13613
14,-14867
15,-15570
16,-16176
17,-16142
18,-17028
19,-16530
20,-16776
21,-17646
22,-16987
23,-17601
24,-17551
25,-16981
26,-16963
27,-17193
28,-17151
29,-17717
30,-18026
31,-18312
32,-19270
33,-19924
34,-20601
35,-21543
36,-21468
37,-22089
38,-22319
39,-23140
40,-24313
41,-26838
42,-32179
43,-36999
44,-43074
45,-49045
46,-55671
47,-61160
48,-67817
49,-73888
50,-81551
51,-89549
52,-98930
53,-109614
54,-121929
55,-135258
56,-149466
57,-165111
58,-183835
59,-209821
60,-251219
61,-322516
62,-437173
63,-606816
64,-816749
65,-1037258
66,-1259843
67,-1478697
68,-1692709
69,-1902310
70,-2107334
71,-2308125
72,-2504267
73,-2696489
74,-2884336
75,-3070704
76,-3253473
77,-3434708
78,-3613049
79,-3790280
80,-3965801
81,-4138621
82,-4310452
83,-4478885
84,-4641643
85,-4795740
86,-4941643
87,-5052535
88,-5130070
89,-5185956
90,-5229315
91,-5248845
92,-5216356
93,-5099479
94,-4885929
95,-4646620
96,-4413221
97,-4181890
98,-3953652
99,-3728393
100,-3507122
101,-3289478
102,-3073572
103,-2861493
104,-2652024
105,-2445492
106,-2241858
107,-2041240
108,-1843239
109,-1648038
110,-1456012
111,-1265683
112,-1078256
113,-892341
114,-708984
115,-527273
116,-347809
117,-169702
118,4798
119,177614
120,348168
121,515310
122,679839
123,842012
124,997893
125,1095595
126,1131941
127,1139003
128,1143424
129,1158133
130,1185919
131,1225854
132,1267785
133,1307654
134,1343902
135,1371474
136,1393091
137,1414417
138,1436324
139,1466989
140,1502314
141,1538826
142,1571454
143,1597694
144,1616723
145,1632062
146,1644191
147,1655334
148,1666444
149,1676689
150,1688380
151,1699470
152,1708430
153,1717342
154,1726476
155,1735249
156,1745293
157,1751728
158,1756011
159,1755420
160,1750694
161,1741488
162,1725284
163,1699913
164,1662329
165,1608430
166,1534346
167,1436655
168,1311199
169,1152831
170,959091
171,732093
172,494772
173,255152
174,13177
175,-225481
176,-460654
177,-691989
178,-918785
179,-1142233
180,-1361005
181,-1577375
182,-1789078
183,-1997132
184,-2202624
185,-2403971
186,-2601718
187,-2792288
188,-2972251
189,-3113857
190,-3187972
191,-3194415
192,-3131169
193,-2999115
194,-2803797
195,-2591439
196,-2385106
197,-2178607
198,-1977013
199,-1775964
200,-1578459
201,-1382066
202,-1189586
203,-998552
204,-809582
205,-623764
206,-439223
207,-257882
208,-78002
209,99183
210,273995
211,445634
212,615499
213,781672
214,944785
215,1105717
216,1263574
217,1418516
218,1571551
219,1721295
220,1869093
221,2013897
222,2156635
223,2297284
224,2434587
225,2570802
226,2703624
227,2834846
228,2962572
229,3089026
230,3213529
231,3330377
232,3411098
233,3458322
234,3478492
235,3473931
236,3451963
237,3414846
238,3367549
239,3311490
240,3250421
241,3184913
242,3116196
243,3044751
244,2972836
245,2899729
246,2826263
247,2755118
248,2684237
249,2617534
250,2553038
251,2492711
252,2436118
253,2383173
254,2334938
255,2289813
256,2248989
257,2212219
258,2178581
259,2149563
260,2125476
261,2105065
262,2089480
263,2077553
264,2070451
265,2067918
266,2067066
267,2067134
268,2066849
269,2065333
270,2058321
271,2046046
272,2024740
273,1992901
274,1947209
275,1886836
276,1811101
277,1717384
278,1606822
279,1479250
280,1335078
281,1176091
282,1003955
283,820865
284,629836
285,433943
286,237946
287,44333
288,-141008
289,-316263
290,-473608
291,-613606
292,-729963
293,-822058
294,-885702
295,-920906
296,-926265
297,-900480
298,-843058
299,-754275
300,-634743
301,-485154
302,-310935
303,-131161
304,46295
305,221338
306,392847
307,562679
308,728562
309,892569
310,1053436
311,1212140
312,1367408
313,1520537
314,1671143
315,1818571
316,1964517
317,2108357
318,2249220
319,2387873
320,2525022
321,2658570
322,2791045
323,2920432
324,3048572
325,3174368
326,3297532
327,3419146
328,3522432
329,3601418
330,3659434
331,3697100
332,3714976
333,3713499
334,3691566
335,3652035
336,3592637
337,3516391
338,3421513
339,3311128
340,3184715
341,3043575
342,2889915
343,2725002
344,2549494
345,2364534
346,2172814
347,1974733
348,1772628
349,1566499
350,1358460
351,1149270
352,940346
353,731759
354,525190
355,320141
356,117814
357,-80848
358,-275046
359,-464637
360,-648908
361,-827453
362,-1000240
363,-1166382
364,-1327095
365,-1480733
366,-1628992
367,-1770073
368,-1905457
369,-2035001
370,-2158424
371,-2276289
372,-2387971
373,-2495623
374,-2597655
375,-2695266
376,-2788713
377,-2878204
378,-2962693
379,-3044891
380,-3123399
381,-3199562
382,-3273292
383,-3344908
384,-3415756
385,-3483563
386,-3551665
387,-3616520
388,-3681406
389,-3743725
390,-3804380
391,-3863219
392,-3918084
393,-3969822
394,-4016649
395,-4059047
396,-4093895
397,-4122955
398,-4141804
399,-4152210
400,-4150200
401,-4138413
402,-4112396
403,-4073502
404,-4020284
405,-3951546
406,-3867495
407,-3767423
408,-3652939
409,-3521541
410,-3376023
411,-3214443
412,-3040859
413,-2851888
414,-2652556
415,-2447832
416,-2245397
417,-2045315
418,-1848105
419,-1653663
420,-1461326
421,-1271803
422,-1083976
423,-898612
424,-715686
425,-535678
426,-356349
427,-180402
428,-6076
429,165693
430,335889
431,501696
432,666643
433,821281
434,957253
435,1077000
436,1179117
437,1264917
438,1332610
439,1383872
440,1416911
441,1433642
442,1433603
443,1417164
444,1383575
445,1336038
446,1271819
447,1193823
448,1102510
449,998495
450,882397
451,754953
452,618741
453,472538
454,318928
455,157865
456,-8386
457,-179321
458,-353787
459,-529632
460,-706952
461,-884849
462,-1062109
463,-1238236
464,-1412644
465,-1584040
466,-1751487
467,-1916161
468,-2076759
469,-2232481
470,-2383649
471,-2529366
472,-2670537
473,-2804819
474,-2935101
475,-3057790
476,-3175249
477,-3285437
478,-3389972
479,-3487766
480,-3579573
481,-3665272
482,-3744608
483,-3818183
484,-3884693
485,-3945683
486,-3999817
487,-4049881
488,-4092858
489,-4131551
490,-4164606
491,-4191410
492,-4213986
493,-4230824
494,-4243908
495,-4251278
496,-4255271
497,-4254215
498,-4249680
499,-4240473
500,-4228371
501,-4210335
502,-4187709
503,-4161478
504,-4129114
505,-4091386
506,-4045990
507,-3995665
508,-3936537
509,-3870512
510,-3794672
511,-3710968
