# note,好棒 任意重度敲击
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 12:23:59
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,111
# distance_mm,0
# threshold,500000
# peak_abs,5776622
index,raw24
0,6231
1,5991
2,6142
3,5733
4,6140
5,5724
6,5771
7,6282
8,6009
9,5993
10,5416
11,5903
12,5518
13,6030
14,6005
15,5428
16,5724
17,5291
18,5186
19,5234
20,5393
21,5504
22,5343
23,5279
24,4934
25,5406
26,5373
27,5052
28,4940
29,4947
30,5170
31,4930
32,5249
33,5456
34,5072
35,5407
36,5086
37,5518
38,5461
39,5108
40,5124
41,4835
42,4931
43,4858
44,4705
45,4897
46,5160
47,5007
48,4711
49,5046
50,5110
51,5837
52,5580
53,5708
54,5859
55,5658
56,5537
57,5265
58,3392
59,3304
60,-8649
61,-94336
62,-285212
63,-516969
64,-748522
65,-970215
66,-1184504
67,-1389944
68,-1590918
69,-1785468
70,-1976538
71,-2163553
72,-2348561
73,-2529034
74,-2706877
75,-2882059
76,-3054563
77,-3224302
78,-3391692
79,-3555838
80,-3719012
81,-3876854
82,-4034237
83,-4185505
84,-4338618
85,-4489008
86,-4636172
87,-4493238
88,-4240601
89,-4013308
90,-3778586
91,-3554813
92,-3330955
93,-3112476
94,-2895752
95,-2682391
96,-2471191
97,-2261817
98,-2056485
99,-1853178
100,-1654104
101,-1457110
102,-1263124
103,-1071170
104,-881295
105,-693332
106,-508183
107,-326385
108,-146145
109,30993
110,206293
111,378036
112,548206
113,713507
114,877604
115,1036080
116,1194434
117,1337576
118,1475189
119,1626137
120,1772634
121,1918986
122,2061071
123,2202764
124,2340279
125,2476961
126,2610451
127,2742268
128,2871581
129,2999263
130,3125057
131,3249107
132,3371271
133,3491739
134,3606081
135,3703065
136,3796589
137,3884205
138,3979771
139,4075293
140,4168524
141,4259159
142,4344663
143,4421732
144,4495833
145,4567324
146,4640214
147,4715848
148,4788024
149,4862480
150,4934094
151,5000092
152,5064849
153,5124975
154,5183069
155,5237565
156,5289349
157,5332848
158,5367245
159,5382941
160,5379748
161,5345140
162,5269551
163,5139444
164,4935576
165,4657278
166,4363597
167,4074313
168,3791535
169,3517009
170,3249827
171,2990726
172,2735865
173,2487019
174,2241884
175,2000890
176,1761590
177,1526455
178,1294068
179,1065055
180,837932
181,612070
182,387163
183,160084
184,-67503
185,-302527
186,-460370
187,-350746
188,-161039
189,18941
190,200130
191,376498
192,551604
193,723288
194,893152
195,1059587
196,1223610
197,1384884
198,1544123
199,1699039
200,1852439
201,2002117
202,2151225
203,2296906
204,2440082
205,2581328
