# note,好棒 任意重度敲击
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 12:26:13
# points,512
# state,INVALID
# confidence,NONE
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,500000
# peak_abs,623585
index,raw24
0,628
1,931
2,1235
3,1419
4,1587
5,1443
6,1507
7,1762
8,1498
9,1410
10,1258
11,1010
12,2170
13,1233
14,1897
15,2033
16,1569
17,1752
18,1688
19,1344
20,2288
21,1655
22,2039
23,1959
24,2047
25,2215
26,2142
27,1862
28,2238
29,2317
30,2397
31,2165
32,333
33,-3412
34,-8907
35,-14786
36,-22896
37,-32189
38,-43449
39,-52092
40,-62358
41,-75958
42,-100045
43,-134505
44,-176352
45,-218299
46,-255152
47,-286337
48,-308558
49,-324464
50,-336793
51,-345927
52,-356093
53,-372546
54,-394732
55,-420732
56,-446313
57,-467122
58,-484273
59,-496878
60,-513241
61,-540771
62,-573897
63,-606275
64,-623585
65,-619716
66,-600825
67,-575199
68,-553121
69,-537366
70,-528804
71,-525628
72,-524459
73,-520179
74,-510388
75,-495501
76,-477081
77,-457799
78,-439183
79,-420657
80,-402934
81,-383877
82,-363502
83,-338969
84,-314176
85,-290794
86,-271166
87,-251157
88,-230862
89,-206770
90,-179705
91,-148899
92,-119961
93,-93226
94,-66367
95,-39599
96,-12810
97,10520
98,31287
99,50595
100,67525
101,85812
102,103450
103,121365
104,140174
105,160429
106,179034
107,194084
108,205300
109,214811
110,223569
111,233285
112,243257
113,251259
114,255772
115,255517
116,252742
117,248311
118,242921
119,237835
120,235190
121,233841
122,233405
123,232504
124,231700
125,229576
126,226972
127,224832
128,222780
129,221297
130,219278
131,217835
132,215913
133,214342
134,212412
135,209850
136,207537
137,205407
138,202886
139,200381
140,197653
141,194853
142,192357
143,189525
144,187278
145,184583
146,182105
147,178995
148,176413
149,172615
150,169794
151,167061
152,163937
153,161445
154,158073
155,155214
156,151763
157,148936
158,145054
159,142820
160,139947
161,137610
162,134857
163,132593
164,130160
165,129241
166,127305
167,126905
168,126210
169,125794
170,125947
171,126644
172,126308
173,127333
174,127101
175,127670
176,128422
177,129366
178,129502
179,130207
180,131471
181,132471
182,133270
183,134662
184,136078
185,137125
186,138580
187,139523
188,141458
189,142233
190,142808
191,144070
192,145253
193,145579
194,147049
195,147559
196,148173
197,148883
198,149377
199,150879
200,151380
201,151538
202,151975
203,151997
204,152122
205,152303
206,151709
207,151210
208,150896
209,150053
210,149099
211,147961
212,147111
213,146509
214,145091
215,143985
216,142872
217,141526
218,140485
219,139476
220,138331
221,137034
222,136305
223,134120
224,132368
225,129992
226,126712
227,123064
228,119377
229,115579
230,111277
231,106959
232,102426
233,98109
234,93889
235,90094
236,86147
237,82704
238,79254
239,75917
240,72843
241,70226
242,66770
243,64642
244,62530
245,59954
246,57971
247,55636
248,54925
249,53990
250,53304
251,52737
252,53283
253,53268
254,53942
255,53911
256,55008
257,55418
258,56219
259,57540
260,58181
261,59294
262,60327
263,60335
264,60544
265,61136
266,60633
267,60026
268,59562
269,57747
270,56244
271,54589
272,52510
273,50520
274,47786
275,45284
276,42622
277,40225
278,37420
279,35200
280,32347
281,29703
282,27308
283,24904
284,22557
285,20058
286,18040
287,16886
288,15148
289,14794
290,14040
291,13726
292,14677
293,15027
294,15201
295,17135
296,18509
297,20443
298,22368
299,24629
300,26746
301,29759
302,31939
303,35288
304,37891
305,40991
306,44266
307,47236
308,50046
309,52648
310,55642
311,58611
312,60948
313,64484
314,66708
315,68404
316,70932
317,72875
318,73650
319,74601
320,75088
321,74831
322,74950
323,74221
324,72860
325,70571
326,68498
327,65666
328,61722
329,58074
330,52995
331,47429
332,42175
333,35482
334,28341
335,21442
336,13919
337,5917
338,-2971
339,-11691
340,-20937
341,-29231
342,-38931
343,-47663
344,-57393
345,-66266
346,-75034
347,-83696
