hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,12:16:40,hit_001_20260730_121640.csv,512,DEFECT,HIGH,0,31,113,303,500000,4078755,3158487,-4078755,-546948.2,,,,好棒 任意重度敲击
2,12:16:41,hit_002_20260730_121641.csv,512,DEFECT,HIGH,0,38,113,372,500000,3979105,3979105,-3644943,-421528.1,,,,好棒 任意重度敲击
3,12:16:41,hit_003_20260730_121641.csv,512,DEFECT,HIGH,0,40,113,392,500000,4076441,3489097,-4076441,-461113.5,,,,好棒 任意重度敲击
4,12:16:42,hit_004_20260730_121642.csv,512,DEFECT,HIGH,0,35,111,350,500000,3662667,3153258,-3662667,-384995.8,,,,好棒 任意重度敲击
5,12:16:42,hit_005_20260730_121642.csv,512,DEFECT,HIGH,0,35,117,309,500000,3589904,3589904,-2590410,-322769.9,,,,好棒 任意重度敲击
6,12:16:42,hit_006_20260730_121642.csv,512,DEFECT,HIGH,0,41,109,418,500000,4027887,4027887,-3549280,-482785.6,,,,好棒 任意重度敲击
7,12:16:43,hit_007_20260730_121643.csv,512,DEFECT,HIGH,0,42,110,424,500000,4011994,4011994,-3435956,-433330.1,,,,好棒 任意重度敲击
8,12:16:43,hit_008_20260730_121643.csv,512,DEFECT,HIGH,0,37,109,377,500000,5035045,3460970,-5035045,-734944.1,,,,好棒 任意重度敲击
9,12:16:44,hit_009_20260730_121644.csv,512,DEFECT,HIGH,0,31,115,274,500000,3339351,3339351,-2407777,-283795.8,,,,好棒 任意重度敲击
10,12:16:44,hit_010_20260730_121644.csv,512,DEFECT,HIGH,0,37,116,327,500000,3620998,3620998,-2351232,-261315.9,,,,好棒 任意重度敲击
11,12:16:45,hit_011_20260730_121645.csv,512,DEFECT,HIGH,0,35,116,309,500000,3562050,3562050,-2430492,-286217.8,,,,好棒 任意重度敲击
12,12:16:45,hit_012_20260730_121645.csv,512,DEFECT,HIGH,0,37,111,370,500000,4620407,3202567,-4620407,-561956.8,,,,好棒 任意重度敲击
13,12:16:46,hit_013_20260730_121646.csv,512,DEFECT,HIGH,0,36,110,363,500000,4723790,3118746,-4723790,-604127.3,,,,好棒 任意重度敲击
14,12:16:46,hit_014_20260730_121646.csv,512,DEFECT,HIGH,0,33,111,330,500000,4648578,3171766,-4648578,-723856.3,,,,好棒 任意重度敲击
15,12:16:47,hit_015_20260730_121647.csv,512,DEFECT,HIGH,0,32,110,323,500000,4648732,3069653,-4648732,-667370.8,,,,好棒 任意重度敲击
16,12:16:47,hit_016_20260730_121647.csv,512,DEFECT,HIGH,0,22,108,226,500000,4563451,3209584,-4563451,-547403.7,,,,好棒 任意重度敲击
17,12:16:48,hit_017_20260730_121648.csv,512,DEFECT,HIGH,0,31,111,310,500000,4049779,3056921,-4049779,-529056.7,,,,好棒 任意重度敲击
18,12:16:48,hit_018_20260730_121648.csv,512,DEFECT,HIGH,0,37,108,381,500000,3391256,3391256,-2374198,-251386.6,,,,好棒 任意重度敲击
19,12:16:49,hit_019_20260730_121649.csv,512,DEFECT,HIGH,0,31,111,310,500000,3700226,3226151,-3700226,-468712.4,,,,好棒 任意重度敲击
20,12:16:49,hit_020_20260730_121649.csv,512,DEFECT,HIGH,0,37,108,381,500000,3490450,3490450,-2354247,-271301.7,,,,好棒 任意重度敲击
