# note,好棒 轻轻敲 铁头
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 12:42:29
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,24
# bottom_index,113
# distance_mm,235
# threshold,500000
# peak_abs,3185341
index,raw24
0,2732
1,2652
2,2355
3,2283
4,2299
5,2219
6,2626
7,2138
8,2634
9,2953
10,2761
11,2601
12,3168
13,2728
14,2927
15,3023
16,2559
17,3214
18,2462
19,3094
20,2717
21,2861
22,2493
23,2804
24,2764
25,2860
26,3195
27,3019
28,2866
29,3170
30,2866
31,2833
32,2665
33,2833
34,3232
35,2920
36,3031
37,2863
38,2663
39,3294
40,2766
41,2942
42,2709
43,2933
44,2268
45,2532
46,2452
47,3116
48,3155
49,3259
50,3474
51,3442
52,3473
53,2929
54,3001
55,1456
56,-208
57,-5408
58,-14343
59,-38709
60,-88961
61,-181638
62,-329784
63,-530599
64,-751575
65,-969107
66,-1182413
67,-1388644
68,-1590475
69,-1787880
70,-1982670
71,-2175820
72,-2364243
73,-2549010
74,-2719267
75,-2864111
76,-2978545
77,-3068262
78,-3132535
79,-3173873
80,-3185341
81,-3165776
82,-3114918
83,-3032450
84,-2921543
85,-2786779
86,-2630255
87,-2454893
88,-2261706
89,-2059654
90,-1860410
91,-1662143
92,-1467876
93,-1274593
94,-1084845
95,-897009
96,-711596
97,-528501
98,-347700
99,-170002
100,6947
101,176578
102,328669
103,464125
104,584932
105,686461
106,767729
107,826115
108,860646
109,872253
110,863507
111,840097
112,813707
113,793903
114,789758
115,795750
116,805053
117,809338
118,807160
119,800077
120,790987
121,782675
122,775483
123,769797
124,766535
125,763089
126,757884
127,750239
128,742052
129,733561
130,726024
131,717599
132,709839
133,700961
134,691787
135,682471
136,674147
137,666369
138,659848
139,653871
140,646799
141,639992
142,632074
143,623933
144,616601
145,610093
146,603771
147,597521
148,591168
149,585016
150,578537
151,571250
152,564892
153,556967
154,549283
155,540096
156,528070
157,514350
158,495279
159,470514
160,439577
161,398771
162,347179
163,281976
164,202054
165,106941
166,-4032
167,-129903
168,-269728
169,-420383
170,-579619
171,-743068
172,-907930
173,-1070115
174,-1225832
175,-1371267
176,-1505235
177,-1623059
178,-1723901
179,-1804291
180,-1864247
181,-1901651
182,-1914347
183,-1903665
184,-1866657
185,-1806517
186,-1720704
187,-1611918
188,-1480545
189,-1329157
190,-1157058
191,-972669
192,-784870
193,-599551
194,-416253
195,-235755
196,-56878
197,118961
198,292547
199,463759
200,631230
201,796585
202,959032
203,1119003
204,1274858
205,1429367
206,1580280
207,1729911
208,1868884
209,1986056
210,2083117
211,2160351
212,2218047
213,2258057
214,2281669
215,2290278
216,2286175
217,2270200
218,2245523
219,2212208
220,2173794
221,2129985
222,2083501
223,2033127
224,1981422
225,1928733
226,1875409
227,1822868
228,1770430
229,1719381
230,1670012
231,1622720
232,1576562
233,1532633
234,1490214
235,1450280
236,1411463
237,1375403
238,1340539
239,1307735
240,1277744
241,1250092
242,1224275
243,1200557
244,1178995
245,1160091
246,1142949
247,1127682
248,1114200
249,1102080
250,1091321
251,1081076
252,1071736
253,1061957
254,1051444
255,1039411
256,1025773
257,1010039
258,991612
259,970523
260,946404
261,918625
262,887625
263,852596
264,813476
265,769441
266,721107
267,668883
268,611801
269,550607
270,484651
271,414464
272,339998
273,263316
274,181948
275,99734
276,15538
277,-68456
278,-152200
279,-234317
280,-313201
281,-388019
282,-457315
283,-520347
284,-574556
285,-620918
286,-656930
287,-682594
288,-696486
289,-699321
290,-690452
291,-669296
292,-635974
293,-591776
294,-536168
295,-470710
296,-395125
297,-311557
298,-219447
299,-120628
300,-17285
301,91125
302,202042
303,313889
304,426291
305,537743
306,646285
307,751726
308,851754
309,946626
310,1034535
311,1114705
312,1186224
313,1248944
314,1301359
315,1343976
316,1376772
317,1399108
318,1410417
319,1411333
320,1402105
321,1383302
322,1354789
323,1318231
324,1273054
325,1220779
326,1161766
327,1097224
328,1026858
329,953309
330,875256
331,794086
332,711661
333,626782
334,540921
335,454887
336,369008
337,283251
338,199096
339,115672
340,34826
341,-44259
342,-121021
343,-194358
344,-265127
345,-332182
346,-396230
347,-456941
348,-514126
349,-568319
350,-618457
351,-665686
352,-710365
353,-751830
354,-790082
355,-826946
356,-860693
357,-892196
358,-922055
359,-950470
360,-976730
361,-1002683
362,-1026832
363,-1050067
364,-1072627
365,-1094144
366,-1115458
367,-1136314
368,-1157231
369,-1177306
370,-1197570
371,-1217672
372,-1237404
373,-1257957
374,-1278195
375,-1298935
376,-1318512
377,-1339743
378,-1359588
379,-1380398
380,-1400661
381,-1420266
382,-1439909
383,-1458685
384,-1476115
385,-1492527
386,-1507177
387,-1519521
388,-1529439
389,-1536492
390,-1540201
391,-1540861
392,-1536793
393,-1529085
394,-1516507
395,-1500161
396,-1478578
397,-1452022
398,-1420892
399,-1385343
400,-1344886
401,-1300714
402,-1252355
403,-1200106
404,-1144096
405,-1085508
406,-1023391
407,-960170
408,-894949
409,-828264
410,-761355
411,-694790
412,-628865
413,-564012
414,-501175
415,-439842
416,-381916
417,-327246
418,-275886
419,-229556
420,-187296
421,-150921
422,-118751
423,-92744
424,-73421
425,-58356
426,-49773
427,-48199
428,-51817
429,-61434
430,-77315
431,-97738
432,-124366
433,-156270
434,-191243
435,-232324
436,-276112
437,-323782
438,-373878
439,-426849
440,-481661
441,-538874
442,-596224
443,-654839
444,-713831
445,-773216
446,-831178
447,-889148
448,-946360
449,-1001612
450,-1056010
451,-1108153
452,-1158626
453,-1206564
454,-1252897
455,-1295400
456,-1336418
457,-1374263
458,-1408967
459,-1440307
460,-1469619
461,-1496120
462,-1519457
463,-1539775
464,-1557195
465,-1572277
466,-1583613
467,-1593748
468,-1599313
469,-1603702
470,-1604842
471,-1604527
472,-1601083
473,-1595847
474,-1588476
475,-1579386
476,-1568042
477,-1555290
478,-1540060
479,-1523520
480,-1505990
481,-1486247
482,-1464993
483,-1443086
484,-1418918
485,-1394385
486,-1367111
487,-1339832
488,-1309980
489,-1280172
490,-1247648
491,-1215136
492,-1180651
493,-1144915
494,-1107639
495,-1068464
496,-1027790
497,-985864
498,-942344
499,-896253
500,-849559
501,-800744
502,-750342
503,-697786
504,-643045
505,-587647
506,-530151
507,-471278
508,-411253
509,-349746
510,-287344
511,-224869
