# note,好棒 轻轻敲 铁头
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 12:43:48
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,26
# bottom_index,0
# distance_mm,247
# threshold,500000
# peak_abs,1990250
index,raw24
0,-46502
1,-48248
2,-49090
3,-50636
4,-51886
5,-52872
6,-54481
7,-55819
8,-56708
9,-57613
10,-58262
11,-59639
12,-61032
13,-61736
14,-63065
15,-63577
16,-64937
17,-65505
18,-66977
19,-68449
20,-69217
21,-70432
22,-71431
23,-73471
24,-74846
25,-76037
26,-77771
27,-79130
28,-80880
29,-82014
30,-83916
31,-85162
32,-86623
33,-88301
34,-89418
35,-90863
36,-91668
37,-92857
38,-93902
39,-94898
40,-96670
41,-97339
42,-98295
43,-99843
44,-101767
45,-102890
46,-105102
47,-108697
48,-113067
49,-118326
50,-125071
51,-134464
52,-147375
53,-162037
54,-180330
55,-203540
56,-233515
57,-270094
58,-314989
59,-366815
60,-425002
61,-487006
62,-549475
63,-613919
64,-678076
65,-743554
66,-810647
67,-880412
68,-952192
69,-1025716
70,-1101063
71,-1174905
72,-1246985
73,-1314801
74,-1378688
75,-1437120
76,-1489689
77,-1533819
78,-1571367
79,-1600168
80,-1620092
81,-1630799
82,-1632599
83,-1625696
84,-1608634
85,-1582469
86,-1546532
87,-1501951
88,-1447000
89,-1383999
90,-1313654
91,-1235702
92,-1151655
93,-1062146
94,-968369
95,-870083
96,-769584
97,-666330
98,-564001
99,-461564
100,-361300
101,-263312
102,-168832
103,-78155
104,7159
105,86806
106,160363
107,227176
108,287012
109,340489
110,387399
111,428272
112,466004
113,499115
114,529606
115,556365
116,579985
117,600034
118,617289
119,629670
120,638529
121,643795
122,645700
123,645717
124,644095
125,641720
126,639402
127,637124
128,634598
129,631344
130,626571
131,621967
132,617155
133,612503
134,607349
135,602594
136,597641
137,592936
138,588280
139,583480
140,578496
141,573770
142,569284
143,564510
144,558793
145,553013
146,547434
147,541295
148,534933
149,527755
150,520819
151,512435
152,502565
153,491479
154,477683
155,462281
156,444921
157,424722
158,400854
159,374717
160,343640
161,309494
162,271464
163,229391
164,183667
165,135100
166,83244
167,29538
168,-26146
169,-83871
170,-141748
171,-199787
172,-257315
173,-314939
174,-370301
175,-423464
176,-473660
177,-520186
178,-561971
179,-598158
180,-627421
181,-650016
182,-664441
183,-669936
184,-666926
185,-653373
186,-632085
187,-599848
188,-558862
189,-507178
190,-446460
191,-376366
192,-298704
193,-212939
194,-119433
195,-19115
196,87200
197,197613
198,311949
199,427543
200,546379
201,664360
202,782479
203,898319
