# note,好棒 轻轻敲 铁头
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 12:43:54
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,108
# distance_mm,0
# threshold,1000000
# peak_abs,1689718
index,raw24
0,460929
1,474337
2,486319
3,498603
4,510327
5,521848
6,532128
7,542864
8,552197
9,560834
10,569877
11,578184
12,586985
13,594889
14,602065
15,609191
16,616893
17,622826
18,628886
19,634857
20,640875
21,646693
22,652510
23,657102
24,663134
25,668013
26,673004
27,677506
28,682007
29,685916
30,690456
31,694740
32,698711
33,702457
34,706036
35,709397
36,711327
37,713440
38,715729
39,716586
40,718482
41,719186
42,719882
43,721067
44,722347
45,723706
46,725298
47,726521
48,728641
49,731800
50,735534
51,740781
52,746714
53,754487
54,763179
55,774006
56,786887
57,801919
58,819645
59,838729
60,860227
61,884130
62,909982
63,937711
64,967076
65,998198
66,1031132
67,1064670
68,1100092
69,1136406
70,1173715
71,1210628
72,1248224
73,1285200
74,1321931
75,1357650
76,1392580
77,1425650
78,1457508
79,1487546
80,1514860
81,1541107
82,1564327
83,1586248
84,1604743
85,1621859
86,1636845
87,1649629
88,1660812
89,1670313
90,1677997
91,1682984
92,1687099
93,1689405
94,1689718
95,1689496
96,1687234
97,1684444
98,1679830
99,1674425
100,1667773
101,1660649
102,1651790
103,1641877
104,1631364
105,1619957
106,1608791
107,1596163
108,1582880
109,1569319
110,1555103
111,1540194
112,1524429
113,1509051
114,1493427
115,1476069
116,1460249
117,1442390
118,1424710
119,1406880
120,1388325
121,1369683
122,1351116
123,1332559
124,1312244
125,1292732
126,1272350
127,1252107
128,1231554
129,1210756
130,1189384
131,1167999
132,1146184
133,1124116
134,1101891
135,1079852
136,1056465
137,1033560
138,1010609
139,986934
140,963397
141,939760
142,915485
143,891285
144,866961
145,842303
146,818232
147,794372
148,769115
149,746061
150,721330
151,697018
152,673229
153,649579
154,626035
155,603287
156,580877
157,558366
158,537562
159,517200
160,496721
161,477501
162,459218
163,440762
164,423684
165,407313
166,391199
167,376535
168,362841
169,350333
170,337442
171,325729
172,315161
173,304331
174,294221
175,284946
176,274967
177,266709
178,257077
179,247877
180,238351
181,229386
182,218958
183,209219
184,198161
185,186049
186,173874
187,160565
188,145954
189,130808
190,115120
191,97978
192,80238
193,60508
194,40453
195,19440
196,-3483
197,-26474
198,-50391
199,-74913
200,-101000
201,-127115
202,-154260
203,-181673
204,-210323
205,-238913
206,-268404
207,-297891
208,-327743
209,-358415
210,-388515
211,-418836
212,-449520
213,-481258
214,-511647
215,-542296
216,-572606
217,-602616
218,-632871
219,-662641
220,-692145
221,-720916
222,-749316
223,-776816
224,-804754
225,-831799
226,-858810
227,-884985
228,-910933
229,-935710
230,-959931
231,-984118
232,-1006902
233,-1029923
234,-1051533
235,-1072981
236,-1093082
237,-1113229
238,-1132677
239,-1151202
240,-1169518
241,-1186671
242,-1202910
243,-1219043
244,-1234471
245,-1248880
246,-1262815
247,-1276125
248,-1289153
249,-1301148
250,-1312965
251,-1324053
252,-1333571
253,-1343833
254,-1351956
255,-1359967
256,-1367353
257,-1374906
258,-1381131
259,-1386674
260,-1391865
261,-1396647
262,-1400324
263,-1403529
264,-1406150
265,-1407562
266,-1408222
267,-1409371
268,-1409406
269,-1408634
270,-1407534
271,-1405443
272,-1402783
273,-1400308
274,-1395849
275,-1392758
276,-1387612
277,-1383099
278,-1378002
279,-1371962
280,-1366114
281,-1359772
282,-1353798
283,-1346656
284,-1341132
285,-1334128
286,-1327925
287,-1321307
288,-1315970
289,-1309321
290,-1303713
291,-1298674
292,-1293980
293,-1289766
294,-1285432
295,-1282363
296,-1279375
297,-1277723
298,-1275271
299,-1275091
300,-1274327
301,-1274828
302,-1275688
303,-1277820
304,-1279736
305,-1282660
306,-1286736
307,-1289882
308,-1294429
309,-1298911
310,-1304440
311,-1310345
312,-1316313
313,-1322616
314,-1328679
315,-1335933
316,-1342250
317,-1349382
318,-1355257
319,-1362156
320,-1368701
321,-1375094
322,-1380758
323,-1386742
324,-1391805
325,-1396995
326,-1401600
327,-1405381
328,-1409241
329,-1412085
330,-1414033
331,-1416396
332,-1417207
333,-1417386
334,-1417453
335,-1415856
336,-1414412
337,-1411903
338,-1408346
339,-1404407
340,-1399131
341,-1393864
342,-1387030
343,-1379765
344,-1371700
345,-1362581
346,-1353119
347,-1342689
348,-1331493
349,-1319131
350,-1306330
351,-1292722
352,-1279101
353,-1263744
354,-1248510
355,-1231942
356,-1214967
357,-1197763
358,-1179193
359,-1160481
360,-1140603
361,-1120584
362,-1099519
363,-1077977
364,-1056189
365,-1034588
366,-1011166
367,-987187
368,-964298
369,-940004
370,-915314
371,-889706
372,-864781
373,-838820
374,-812253
375,-786178
376,-759266
377,-731557
378,-704460
379,-676382
380,-648539
381,-620956
382,-592560
383,-564568
384,-536099
385,-508026
386,-479916
387,-451841
388,-423802
389,-395606
390,-367918
391,-339473
392,-313087
393,-286049
394,-259190
395,-232687
396,-206706
397,-181305
398,-156531
399,-131464
400,-107344
401,-83634
402,-60928
403,-38513
404,-15876
405,5278
406,25661
407,46002
408,65132
409,84612
410,102794
411,120150
412,137639
413,153998
414,170419
415,185766
416,200704
417,215551
418,229693
419,243401
420,256563
421,270020
422,282715
423,295312
424,308100
425,319991
426,331824
427,344159
428,356061
429,367913
430,380237
431,391910
432,404150
433,415941
434,428498
435,441030
436,453624
437,466441
438,479472
439,493181
440,507161
441,520395
442,534411
443,549194
444,563375
445,578722
446,593380
447,608939
448,625129
449,641317
450,657462
451,673774
452,691220
453,707863
454,725185
455,742232
456,759758
457,777609
458,796098
459,814201
460,831941
461,850648
462,868704
463,887438
464,905386
465,923803
466,942226
467,961159
468,979194
469,998330
470,1016209
471,1034548
472,1053502
473,1071238
474,1089387
475,1106982
476,1125751
477,1143237
478,1160810
479,1177788
480,1195172
481,1211802
482,1229326
483,1245704
484,1261528
485,1277718
486,1292778
487,1308404
488,1322973
489,1337859
490,1352104
491,1365979
492,1379740
493,1392171
494,1404793
495,1416350
496,1428761
497,1438683
498,1450131
499,1459410
500,1468920
501,1476909
502,1485552
503,1492147
504,1499365
505,1505254
506,1510950
507,1515469
508,1519428
509,1523203
510,1525249
511,1527559
