# note,好棒 轻轻敲 铁头
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 12:46:40
# points,512
# state,NORMAL
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,1000000
# peak_abs,1206125
index,raw24
0,359152
1,371588
2,384150
3,396439
4,407663
5,419661
6,431218
7,442637
8,453655
9,464584
10,476543
11,486829
12,498242
13,508989
14,521191
15,531887
16,543446
17,554396
18,565648
19,577283
20,588332
21,599629
22,611387
23,623385
24,634685
25,646151
26,658360
27,669640
28,681422
29,692955
30,703830
31,715280
32,726361
33,737960
34,749790
35,760587
36,771750
37,782672
38,793216
39,804263
40,815493
41,826081
42,837397
43,848134
44,858935
45,869558
46,880340
47,891240
48,901963
49,913189
50,924038
51,934917
52,945075
53,956063
54,966283
55,977421
56,987525
57,998645
58,1008155
59,1019736
60,1029915
61,1039758
62,1049583
63,1060679
64,1070149
65,1079554
66,1088887
67,1098170
68,1107044
69,1115868
70,1124252
71,1131699
72,1140209
73,1147134
74,1153690
75,1159757
76,1165807
77,1172177
78,1176890
79,1182634
80,1186306
81,1190641
82,1194391
83,1196686
84,1199628
85,1201985
86,1203230
87,1204507
88,1205240
89,1206125
90,1205954
91,1204639
92,1203140
93,1201889
94,1199926
95,1196868
96,1193729
97,1190000
98,1185558
99,1181478
100,1176301
101,1170726
102,1164783
103,1158529
104,1151163
105,1144239
106,1135723
107,1127920
108,1118999
109,1110174
110,1101191
111,1090992
112,1080899
113,1070263
114,1059396
115,1047683
116,1036635
117,1023989
118,1012064
119,999740
120,986818
121,973785
122,960595
123,947205
124,933538
125,919584
126,905319
127,891377
128,877596
129,862753
130,848520
131,833912
132,818722
133,803894
134,789068
135,773916
136,758405
137,743497
138,727470
139,711557
140,695678
141,679977
142,664246
143,647773
144,631958
145,615961
146,599798
147,583324
148,567109
149,550696
150,533325
151,516931
152,500196
153,483551
154,466460
155,449555
156,432668
157,415520
158,398845
159,381308
160,364310
161,346913
162,329743
163,312230
164,295080
165,277588
166,260578
167,243235
168,226421
169,208377
170,191904
171,174024
172,157315
173,139888
174,122239
175,104616
176,86923
177,70152
178,51760
179,34185
180,16701
181,-1325
182,-19133
183,-37226
184,-54934
185,-73503
186,-91102
187,-109499
188,-127702
189,-146446
190,-164516
191,-183776
192,-201825
193,-220545
194,-239046
195,-258105
196,-276721
197,-295719
198,-314611
199,-333629
200,-352852
201,-370921
202,-389532
203,-409244
204,-428082
205,-446374
206,-465199
207,-484375
208,-501971
209,-521126
210,-539431
211,-557917
212,-575625
213,-594170
214,-611986
215,-629423
216,-646602
217,-664035
218,-681306
219,-697935
220,-714618
221,-731731
222,-748993
223,-764518
224,-781144
225,-796233
226,-811576
227,-826597
228,-841896
229,-856321
230,-870288
231,-884166
232,-897898
233,-910949
234,-923957
235,-936373
236,-948794
237,-960838
238,-972345
239,-983458
240,-994266
241,-1004649
242,-1015182
243,-1024882
244,-1034701
245,-1043943
246,-1053104
247,-1061663
248,-1069293
249,-1077195
250,-1084879
251,-1092683
252,-1099237
253,-1106191
254,-1112272
255,-1118456
256,-1124856
257,-1130815
258,-1135781
259,-1140778
260,-1145951
261,-1150443
262,-1154886
263,-1158633
264,-1163220
265,-1166814
266,-1170591
267,-1173784
268,-1176977
269,-1179897
270,-1182897
271,-1185409
272,-1188136
273,-1190143
274,-1192158
275,-1194188
276,-1195475
277,-1197241
278,-1198759
279,-1199740
280,-1201154
281,-1201223
282,-1202620
283,-1202858
284,-1203927
285,-1204300
286,-1204521
287,-1205078
288,-1205715
289,-1204943
290,-1204996
291,-1204953
292,-1204662
293,-1204539
294,-1203976
295,-1204197
296,-1203026
297,-1203327
298,-1201268
299,-1201186
300,-1199639
301,-1198700
302,-1197042
303,-1196152
304,-1194430
305,-1193140
306,-1191778
307,-1189865
308,-1187656
309,-1185111
310,-1182854
311,-1180150
312,-1177814
313,-1174270
314,-1171478
315,-1168295
316,-1164465
317,-1161011
318,-1156813
319,-1152616
320,-1147707
321,-1142847
322,-1137683
323,-1132304
324,-1127118
325,-1120372
326,-1113860
327,-1106972
328,-1100317
329,-1092550
330,-1085865
331,-1077428
332,-1069609
333,-1060886
334,-1051677
335,-1042444
336,-1032949
337,-1023047
338,-1012874
339,-1002294
340,-991444
341,-980923
342,-969083
343,-957277
344,-945040
345,-933653
346,-920691
347,-906954
348,-894187
349,-880686
350,-867195
351,-852521
352,-838641
353,-823130
354,-808902
355,-793443
356,-778210
357,-762571
358,-746878
359,-731267
360,-714450
361,-698962
362,-682053
363,-666018
364,-649009
365,-632345
366,-615212
367,-598497
368,-581336
369,-564097
370,-546476
371,-529145
372,-511809
373,-493882
374,-476734
375,-458652
376,-441436
377,-423502
378,-405906
379,-388129
380,-370321
381,-352908
382,-335537
383,-318424
384,-300073
385,-283700
386,-265282
387,-248409
388,-230947
389,-213959
390,-196189
391,-178581
392,-161335
393,-143995
394,-126497
395,-109426
396,-93213
397,-76577
398,-60088
399,-43088
400,-26443
401,-10456
402,6017
403,22657
404,38006
405,54265
406,70307
407,85698
408,101471
409,117427
410,133101
411,148404
412,164090
413,179886
414,194736
415,210609
416,225631
417,241139
418,256494
419,270695
420,286269
421,300658
422,315406
423,330247
424,345255
425,359829
426,374729
427,389699
428,404323
429,418722
430,433407
431,448394
432,463147
433,477611
434,491856
435,506932
436,521294
437,535831
438,549973
439,564730
440,578589
441,593639
442,607814
443,622036
444,635984
445,650106
446,664195
447,678570
448,692703
449,706106
450,720364
451,734252
452,748499
453,761663
454,775362
455,788596
456,801675
457,814945
458,827694
459,840905
460,853354
461,865778
462,878752
463,891213
464,903232
465,915410
466,926898
467,939249
468,950230
469,961378
470,972941
471,984182
472,994686
473,1005165
474,1015258
475,1024702
476,1035601
477,1044226
478,1054027
479,1062698
480,1071497
481,1080190
482,1088634
483,1096317
484,1103599
485,1110800
486,1117737
487,1123920
488,1130335
489,1136677
490,1142498
491,1147831
492,1152883
493,1157030
494,1161561
495,1165979
496,1170165
497,1173990
498,1176150
499,1179095
500,1181279
501,1183887
502,1185526
503,1187069
504,1188684
505,1189619
506,1189794
507,1190105
508,1189632
509,1189270
510,1188757
511,1187076
