hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,12:41:45,hit_001_20260730_124145.csv,512,DEFECT,HIGH,0,26,111,260,500000,4007065,2666010,-4007065,-93944.9,,,,好棒 轻轻敲 铁头
2,12:41:45,hit_002_20260730_124145.csv,512,DEFECT,HIGH,0,24,110,242,500000,3623609,2151651,-3623609,-321280.2,,,,好棒 轻轻敲 铁头
3,12:41:46,hit_003_20260730_124146.csv,512,DEFECT,HIGH,0,84,111,730,500000,3438937,2133509,-3438937,-244246.1,,,,好棒 轻轻敲 铁头
4,12:41:46,hit_004_20260730_124146.csv,512,DEFECT,HIGH,0,38,110,383,500000,3387555,3387555,-2311512,-262827.7,,,,好棒 轻轻敲 铁头
5,12:41:46,hit_005_20260730_124146.csv,512,DEFECT,HIGH,0,23,110,232,500000,3192590,2235251,-3192590,-330554.3,,,,好棒 轻轻敲 铁头
6,12:41:47,hit_006_20260730_124147.csv,512,DEFECT,HIGH,0,23,109,234,500000,3318934,2381371,-3318934,-338725.1,,,,好棒 轻轻敲 铁头
7,12:41:47,hit_007_20260730_124147.csv,512,DEFECT,HIGH,0,25,109,255,500000,2597595,2574731,-2597595,-241984.9,,,,好棒 轻轻敲 铁头
8,12:41:47,hit_008_20260730_124147.csv,512,DEFECT,HIGH,0,26,109,265,500000,2558127,2558127,-2342497,-203052.5,,,,好棒 轻轻敲 铁头
9,12:41:48,hit_009_20260730_124148.csv,512,DEFECT,HIGH,0,28,110,282,500000,2746771,2746771,-2479640,-240140.8,,,,好棒 轻轻敲 铁头
10,12:41:48,hit_010_20260730_124148.csv,512,DEFECT,HIGH,0,24,110,242,500000,3230607,2460867,-3230607,-309008.6,,,,好棒 轻轻敲 铁头
11,12:41:48,hit_011_20260730_124148.csv,512,DEFECT,HIGH,0,26,108,268,500000,2455618,2455618,-2022443,-155965.7,,,,好棒 轻轻敲 铁头
12,12:41:49,hit_012_20260730_124149.csv,512,DEFECT,HIGH,0,29,111,290,500000,2689010,2689010,-2457799,-212822.7,,,,好棒 轻轻敲 铁头
13,12:41:49,hit_013_20260730_124149.csv,512,DEFECT,HIGH,0,30,108,309,500000,2506606,2506606,-1885971,-166217.5,,,,好棒 轻轻敲 铁头
14,12:41:49,hit_014_20260730_124149.csv,512,DEFECT,HIGH,0,30,115,265,500000,2267656,2267656,-1576773,-151515.1,,,,好棒 轻轻敲 铁头
15,12:41:49,hit_015_20260730_124149.csv,512,DEFECT,HIGH,0,25,110,252,500000,2576547,2576547,-2469653,-214643.5,,,,好棒 轻轻敲 铁头
16,12:41:50,hit_016_20260730_124150.csv,512,DEFECT,HIGH,0,28,112,277,500000,3019941,2560889,-3019941,-278491.8,,,,好棒 轻轻敲 铁头
17,12:41:50,hit_017_20260730_124150.csv,512,DEFECT,HIGH,0,27,109,275,500000,2756783,2628434,-2756783,-237795.0,,,,好棒 轻轻敲 铁头
18,12:41:50,hit_018_20260730_124150.csv,512,DEFECT,HIGH,0,31,110,313,500000,2288047,2288047,-1846299,-160194.8,,,,好棒 轻轻敲 铁头
19,12:41:51,hit_019_20260730_124151.csv,512,DEFECT,HIGH,0,25,111,250,500000,3399601,2345036,-3399601,-334125.5,,,,好棒 轻轻敲 铁头
20,12:41:51,hit_020_20260730_124151.csv,512,DEFECT,HIGH,0,25,108,257,500000,2383984,2383984,-1923285,-158302.8,,,,好棒 轻轻敲 铁头
21,12:41:52,hit_021_20260730_124152.csv,512,DEFECT,HIGH,0,26,109,265,500000,3118798,2650678,-3118798,-298152.5,,,,好棒 轻轻敲 铁头
22,12:41:52,hit_022_20260730_124152.csv,512,DEFECT,HIGH,0,31,116,274,500000,2482273,2482273,-1791311,-166863.1,,,,好棒 轻轻敲 铁头
23,12:41:52,hit_023_20260730_124152.csv,512,DEFECT,HIGH,0,27,110,272,500000,2480452,2480452,-2018923,-168224.1,,,,好棒 轻轻敲 铁头
24,12:41:53,hit_024_20260730_124153.csv,512,DEFECT,HIGH,0,27,111,270,500000,2568270,2568270,-2432085,-206567.8,,,,好棒 轻轻敲 铁头
25,12:41:53,hit_025_20260730_124153.csv,512,DEFECT,HIGH,0,23,111,230,500000,2433560,2308783,-2433560,-179250.3,,,,好棒 轻轻敲 铁头
26,12:41:54,hit_026_20260730_124154.csv,512,DEFECT,HIGH,0,27,111,270,500000,2478714,2478714,-2314947,-182274.3,,,,好棒 轻轻敲 铁头
27,12:41:54,hit_027_20260730_124154.csv,512,DEFECT,HIGH,0,29,110,292,500000,2717501,2717501,-2243515,-190053.2,,,,好棒 轻轻敲 铁头
28,12:41:54,hit_028_20260730_124154.csv,512,DEFECT,HIGH,0,26,113,254,500000,2866304,2421485,-2866304,-228748.6,,,,好棒 轻轻敲 铁头
29,12:41:55,hit_029_20260730_124155.csv,512,DEFECT,HIGH,0,22,113,215,500000,2804031,2240642,-2804031,-204780.6,,,,好棒 轻轻敲 铁头
30,12:41:55,hit_030_20260730_124155.csv,512,DEFECT,HIGH,0,86,115,721,500000,3757025,2281180,-3757025,-294078.0,,,,好棒 轻轻敲 铁头
31,12:41:55,hit_031_20260730_124155.csv,512,DEFECT,HIGH,0,25,114,242,501594,3074492,2531872,-3074492,-239934.6,,,,好棒 轻轻敲 铁头
32,12:41:56,hit_032_20260730_124156.csv,512,DEFECT,LOW,0,76,0,619,1000000,1204109,1204109,-1077796,102719.2,,,,好棒 轻轻敲 铁头
33,12:41:57,hit_033_20260730_124157.csv,512,DEFECT,HIGH,0,21,116,200,500000,4360490,2504491,-4360490,-441604.2,,,,好棒 轻轻敲 铁头
34,12:41:57,hit_034_20260730_124157.csv,512,DEFECT,HIGH,0,28,116,266,500000,2262645,2262645,-1872459,-155315.4,,,,好棒 轻轻敲 铁头
35,12:41:58,hit_035_20260730_124158.csv,512,DEFECT,HIGH,0,24,119,222,500000,3467311,2593887,-3467311,-305285.2,,,,好棒 轻轻敲 铁头
36,12:41:58,hit_036_20260730_124158.csv,512,DEFECT,HIGH,0,23,118,214,500000,3690415,2439851,-3690415,-323066.5,,,,好棒 轻轻敲 铁头
37,12:41:58,hit_037_20260730_124158.csv,512,DEFECT,HIGH,0,27,116,257,500000,2546889,2546889,-2107702,-175330.1,,,,好棒 轻轻敲 铁头
38,12:41:59,hit_038_20260730_124159.csv,512,DEFECT,HIGH,0,86,116,714,500000,3904420,2401940,-3904420,-301849.2,,,,好棒 轻轻敲 铁头
39,12:41:59,hit_039_20260730_124159.csv,512,DEFECT,HIGH,0,24,114,233,500000,2604839,2559339,-2604839,-194513.6,,,,好棒 轻轻敲 铁头
40,12:41:59,hit_040_20260730_124159.csv,512,DEFECT,HIGH,0,31,113,303,500000,3370893,2882639,-3370893,-275276.4,,,,好棒 轻轻敲 铁头
41,12:42:00,hit_041_20260730_124200.csv,512,DEFECT,HIGH,0,35,112,346,500000,2624967,2624967,-1947224,-181824.2,,,,好棒 轻轻敲 铁头
42,12:42:00,hit_042_20260730_124200.csv,512,DEFECT,HIGH,0,34,108,350,500000,1800537,1800537,-1326790,-147615.1,,,,好棒 轻轻敲 铁头
43,12:42:00,hit_043_20260730_124200.csv,512,DEFECT,HIGH,0,22,117,207,500000,4045414,2483334,-4045414,-233292.5,,,,好棒 轻轻敲 铁头
44,12:42:01,hit_044_20260730_124201.csv,512,DEFECT,HIGH,0,25,114,242,500000,3423192,2104797,-3423192,-222176.0,,,,好棒 轻轻敲 铁头
45,12:42:01,hit_045_20260730_124201.csv,512,DEFECT,HIGH,0,36,115,346,500000,2588180,2588180,-2200493,-174058.6,,,,好棒 轻轻敲 铁头
46,12:42:02,hit_046_20260730_124202.csv,512,DEFECT,HIGH,0,34,114,330,500000,2265373,2265373,-1787324,-160193.6,,,,好棒 轻轻敲 铁头
47,12:42:02,hit_047_20260730_124202.csv,512,DEFECT,HIGH,0,21,116,200,500000,4031997,2189243,-4031997,-308886.6,,,,好棒 轻轻敲 铁头
48,12:42:02,hit_048_20260730_124202.csv,512,DEFECT,HIGH,0,31,113,303,500000,2349495,2349495,-2178077,-144242.3,,,,好棒 轻轻敲 铁头
49,12:42:03,hit_049_20260730_124203.csv,512,DEFECT,HIGH,0,28,114,271,500000,3857407,2197814,-3857407,-246461.9,,,,好棒 轻轻敲 铁头
50,12:42:03,hit_050_20260730_124203.csv,512,DEFECT,HIGH,0,29,115,278,500000,3817500,2275777,-3817500,-248120.6,,,,好棒 轻轻敲 铁头
51,12:42:03,hit_051_20260730_124203.csv,512,DEFECT,HIGH,0,22,116,209,500000,3729032,2575881,-3729032,-268262.9,,,,好棒 轻轻敲 铁头
52,12:42:04,hit_052_20260730_124204.csv,512,DEFECT,HIGH,0,30,114,291,500000,3662811,2489660,-3662811,-268562.9,,,,好棒 轻轻敲 铁头
53,12:42:04,hit_053_20260730_124204.csv,512,DEFECT,HIGH,0,32,114,310,500000,2818606,2677770,-2818606,-195323.3,,,,好棒 轻轻敲 铁头
54,12:42:04,hit_054_20260730_124204.csv,512,DEFECT,HIGH,0,29,114,281,500000,3000988,2609013,-3000988,-219476.9,,,,好棒 轻轻敲 铁头
55,12:42:05,hit_055_20260730_124205.csv,512,DEFECT,HIGH,0,32,116,304,500000,3447559,2631409,-3447559,-274510.3,,,,好棒 轻轻敲 铁头
56,12:42:05,hit_056_20260730_124205.csv,512,DEFECT,HIGH,0,86,114,728,500000,3105365,2506023,-3105365,-215417.2,,,,好棒 轻轻敲 铁头
57,12:42:05,hit_057_20260730_124205.csv,512,DEFECT,HIGH,0,86,115,721,500000,3775308,2515892,-3775308,-288094.7,,,,好棒 轻轻敲 铁头
58,12:42:06,hit_058_20260730_124206.csv,512,DEFECT,HIGH,0,84,114,708,500000,3132656,2200127,-3132656,-200697.1,,,,好棒 轻轻敲 铁头
59,12:42:06,hit_059_20260730_124206.csv,512,DEFECT,HIGH,0,28,115,269,500000,3694562,2311381,-3694562,-150907.8,,,,好棒 轻轻敲 铁头
60,12:42:06,hit_060_20260730_124206.csv,512,DEFECT,HIGH,0,32,115,307,500000,3230443,2727453,-3230443,-251267.9,,,,好棒 轻轻敲 铁头
61,12:42:07,hit_061_20260730_124207.csv,512,DEFECT,HIGH,0,87,115,730,500000,3876152,2431764,-3876152,-326486.8,,,,好棒 轻轻敲 铁头
62,12:42:07,hit_062_20260730_124207.csv,512,DEFECT,HIGH,0,30,114,291,500000,3858733,2417754,-3858733,-263845.4,,,,好棒 轻轻敲 铁头
63,12:42:11,hit_063_20260730_124211.csv,512,DEFECT,HIGH,0,32,114,310,500000,2986924,2986924,-2159453,-222054.5,,,,好棒 轻轻敲 铁头
64,12:42:12,hit_064_20260730_124212.csv,512,DEFECT,HIGH,0,25,115,240,500000,3711250,2260904,-3711250,-276410.3,,,,好棒 轻轻敲 铁头
65,12:42:12,hit_065_20260730_124212.csv,512,DEFECT,HIGH,0,68,112,673,500000,3566156,2656118,-3566156,-1113.1,,,,好棒 轻轻敲 铁头
66,12:42:12,hit_066_20260730_124212.csv,512,DEFECT,HIGH,0,83,112,712,500000,3484308,2206322,-3484308,-144584.3,,,,好棒 轻轻敲 铁头
67,12:42:13,hit_067_20260730_124213.csv,512,DEFECT,HIGH,0,83,112,712,500000,3476767,2181304,-3476767,-220588.2,,,,好棒 轻轻敲 铁头
68,12:42:13,hit_068_20260730_124213.csv,512,DEFECT,HIGH,0,24,113,235,500000,3486742,2319116,-3486742,-134838.4,,,,好棒 轻轻敲 铁头
