# note,好棒_总长1000mm_任意重度敲_铁头
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 13:31:49
# points,512
# state,NORMAL
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,1000000
# peak_abs,1723753
index,raw24
0,309637
1,315063
2,319617
3,323570
4,326682
5,329474
6,331794
7,334162
8,336569
9,338648
10,340062
11,342085
12,343443
13,345073
14,346303
15,348069
16,349690
17,351864
18,353693
19,355073
20,355246
21,356627
22,356655
23,357212
24,357072
25,356468
26,354993
27,352821
28,349810
29,346144
30,342765
31,337987
32,333250
33,328770
34,323401
35,318818
36,313851
37,310349
38,307551
39,305713
40,304932
41,306823
42,310161
43,315355
44,323733
45,334813
46,348948
47,366426
48,386885
49,411550
50,439099
51,470318
52,504436
53,542503
54,583037
55,627421
56,674249
57,723094
58,774582
59,827464
60,881843
61,937039
62,993164
63,1049275
64,1105315
65,1159964
66,1214343
67,1267434
68,1317904
69,1365935
70,1412504
71,1455468
72,1495330
73,1531907
74,1566096
75,1596705
76,1622790
77,1646032
78,1665935
79,1683004
80,1696422
81,1707087
82,1714975
83,1719941
84,1722899
85,1723753
86,1722295
87,1718500
88,1713291
89,1706969
90,1698537
91,1689322
92,1678315
93,1666975
94,1653971
95,1639953
96,1625569
97,1610539
98,1594470
99,1578155
100,1560867
101,1543060
102,1525368
103,1506909
104,1488973
105,1469496
106,1451124
107,1431123
108,1411924
109,1391904
110,1371670
111,1351959
112,1331506
113,1311071
114,1290471
115,1270225
116,1249190
117,1228342
118,1207072
119,1186380
120,1165012
121,1143685
122,1122274
123,1101017
124,1078626
125,1056527
126,1034558
127,1012079
128,988940
129,965427
130,942133
131,918122
132,893722
133,869085
134,844043
135,818564
136,792944
137,767279
138,741329
139,715303
140,689584
141,663947
142,638722
143,614436
144,590393
145,567505
146,544748
147,523393
148,503553
149,484364
150,467225
151,450928
152,436657
153,423867
154,412320
155,402741
156,395132
157,389380
158,384436
159,381445
160,380151
161,380208
162,380730
163,382963
164,386029
165,388638
166,392174
167,395342
168,399758
169,402517
170,405900
171,408114
172,409673
173,409662
174,408924
175,406403
176,402137
177,396672
178,389519
179,379960
180,369081
181,356012
182,341001
183,324663
184,306432
185,285658
186,263591
187,240279
188,215106
189,187895
190,160480
191,131373
192,101117
193,70448
194,38744
195,5987
196,-27446
197,-61234
198,-94947
199,-129319
200,-163711
201,-198323
202,-232499
203,-267031
204,-301374
205,-335449
206,-369168
207,-403019
208,-435938
209,-468429
210,-500628
211,-532358
212,-564013
213,-593777
214,-623920
215,-653708
216,-683076
217,-711825
218,-740034
219,-767319
220,-794506
221,-821353
222,-847748
223,-874045
224,-898514
225,-923789
226,-948540
227,-972168
228,-995977
229,-1019504
230,-1042083
231,-1064268
232,-1086770
233,-1108165
234,-1129454
235,-1150380
236,-1170920
237,-1190801
238,-1209975
239,-1228356
240,-1246934
241,-1264238
242,-1281363
243,-1298103
244,-1312976
245,-1329216
246,-1343414
247,-1357394
248,-1369724
249,-1382445
250,-1393332
251,-1404106
252,-1413143
253,-1421650
254,-1429348
255,-1435254
256,-1440847
257,-1444407
258,-1448502
259,-1450902
260,-1452085
261,-1451723
262,-1450938
263,-1448265
264,-1445336
265,-1441376
266,-1435920
267,-1430024
268,-1423194
269,-1415868
270,-1407271
271,-1398219
272,-1388945
273,-1379591
274,-1369087
275,-1358496
276,-1348954
277,-1338189
278,-1327738
279,-1318320
280,-1308255
281,-1299087
282,-1290264
283,-1281723
284,-1273910
285,-1266907
286,-1260960
287,-1255470
288,-1250573
289,-1247132
290,-1243876
291,-1241892
292,-1240812
293,-1240677
294,-1241686
295,-1242702
296,-1245358
297,-1247758
298,-1252710
299,-1256509
300,-1262020
301,-1267809
302,-1274535
303,-1281027
304,-1287447
305,-1295065
306,-1302723
307,-1310188
308,-1317772
309,-1325796
310,-1333090
311,-1340783
312,-1347419
313,-1354591
314,-1360689
315,-1366899
316,-1372132
317,-1376925
318,-1380789
319,-1383732
320,-1386899
321,-1388714
322,-1389744
323,-1389663
324,-1389421
325,-1387876
326,-1385226
327,-1382001
328,-1377536
329,-1372000
330,-1365705
331,-1358730
332,-1350404
333,-1341447
334,-1330387
335,-1319169
336,-1307480
337,-1294120
338,-1279578
339,-1264230
340,-1248356
341,-1230779
342,-1213517
343,-1194433
344,-1174943
345,-1154496
346,-1133171
347,-1110704
348,-1086921
349,-1063140
350,-1038610
351,-1013819
352,-986304
353,-960319
354,-932466
355,-904456
356,-875818
357,-846447
358,-816959
359,-786268
360,-755484
361,-724687
362,-692839
363,-661714
364,-628786
365,-596557
366,-564228
367,-530287
368,-497694
369,-464026
370,-431417
371,-398196
372,-365252
373,-332079
374,-298774
375,-266522
376,-234065
377,-201965
378,-169884
379,-138927
380,-107606
381,-77937
382,-47968
383,-19362
384,9033
385,37231
386,64083
387,88851
388,114384
389,137706
390,160433
391,181886
392,202536
393,222311
394,241332
395,258038
396,274415
397,289765
398,303754
399,316845
400,328830
401,340350
402,349828
403,359634
404,367150
405,374353
406,381235
407,386669
408,391933
409,396389
410,400429
411,403460
412,406219
413,409017
414,411359
415,413685
416,415867
417,418160
418,419605
419,421610
420,423846
421,426226
422,429182
423,431682
424,434525
425,438360
426,442147
427,446637
428,451310
429,456351
430,462351
431,469359
432,476485
433,484155
434,492224
435,500996
436,509895
437,520513
438,530793
439,541368
440,553062
441,565299
442,577606
443,590751
444,603991
445,618269
446,632042
447,646973
448,662198
449,677301
450,692850
451,708749
452,724767
453,740806
454,757452
455,773991
456,790633
457,807840
458,824470
459,841921
460,858698
461,876242
462,893311
463,910329
464,927850
465,945473
466,962046
467,979848
468,996481
469,1013463
470,1031275
471,1047285
472,1063901
473,1080292
474,1097168
475,1113218
476,1128706
477,1143456
478,1159020
479,1174215
480,1188432
481,1202975
482,1216212
483,1229703
484,1242545
485,1254305
486,1265976
487,1276910
488,1287714
489,1297533
490,1305830
491,1314215
492,1322150
493,1328989
494,1334811
495,1340432
496,1344212
497,1348440
498,1351171
499,1352830
500,1354105
501,1353996
502,1353559
503,1352737
504,1349332
505,1347127
506,1342827
507,1337935
508,1332572
509,1326089
510,1319423
511,1311758
