# note,好棒_总长1000mm_任意重度敲_铁头
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 13:23:28
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,112
# distance_mm,0
# threshold,500000
# peak_abs,6823426
index,raw24
0,10559
1,10718
2,10717
3,10315
4,10802
5,10849
6,11103
7,11278
8,11108
9,10915
10,10970
11,11240
12,11263
13,11030
14,11348
15,11043
16,11113
17,10600
18,10767
19,10805
20,11292
21,11539
22,11297
23,11136
24,11086
25,12013
26,11300
27,11042
28,11257
29,11455
30,10990
31,10701
32,10787
33,10658
34,10225
35,10552
36,10182
37,9989
38,10028
39,9994
40,10001
41,8696
42,8943
43,8326
44,7405
45,7260
46,6403
47,4602
48,3642
49,1641
50,-2111
51,-8095
52,-19238
53,-32683
54,-47735
55,-66282
56,-91010
57,-123686
58,-165295
59,-211347
60,-271793
61,-346848
62,-510238
63,-745415
64,-970828
65,-1189294
66,-1394485
67,-1593778
68,-1789000
69,-1981557
70,-2169764
71,-2355979
72,-2537971
73,-2718037
74,-2891993
75,-3067008
76,-3233626
77,-3402783
78,-3563792
79,-3722965
80,-3581606
81,-3342345
82,-3123449
83,-2899628
84,-2683738
85,-2469066
86,-2258037
87,-2048985
88,-1843567
89,-1639438
90,-1439350
91,-1240622
92,-1045231
93,-852143
94,-663359
95,-477238
96,-296236
97,-119520
98,-2985
99,95607
100,223300
101,386168
102,556409
103,722717
104,887221
105,1047865
106,1207321
107,1362117
108,1516383
109,1665958
110,1814715
111,1960317
112,2104022
113,2245077
114,2383811
115,2520136
116,2654460
117,2786816
118,2916492
119,3044176
120,3169724
121,3294321
122,3415631
123,3537574
124,3655550
125,3772264
126,3888180
127,4000953
128,4113689
129,4223218
130,4331495
131,4437950
132,4544296
133,4646278
134,4744743
135,4838835
136,4930653
137,5020531
138,5107646
139,5193078
140,5278668
141,5367080
142,5456025
143,5546583
144,5635474
145,5724162
146,5810207
147,5896538
148,5978354
149,6057976
150,6133005
151,6203960
152,6271987
153,6331821
154,6388960
155,6438316
156,6482178
157,6520275
158,6551095
159,6569887
160,6573613
161,6557523
162,6511450
163,6426767
164,6283735
165,6067640
166,5774275
167,5467034
168,5162959
169,4868569
170,4581302
171,4303863
172,4032370
173,3766189
174,3506314
175,3248622
176,2997105
177,2745515
178,2501988
179,2255867
180,2021151
181,1775288
182,1542576
183,1284475
184,1259447
185,1437045
186,1587893
187,1751796
188,1902790
189,2057805
190,2205834
191,2354317
192,2498846
193,2641700
194,2782474
195,2921382
196,3056922
197,3190052
198,3322063
199,3450354
200,3577420
201,3701720
202,3824140
203,3944417
204,4061959
205,4178352
206,4291137
207,4403534
208,4512796
209,4620957
210,4727105
211,4832120
212,4934578
213,5035832
214,5135017
215,5232510
216,5328919
217,5422517
218,5516519
219,5600766
220,5645194
221,5642561
222,5601384
223,5524196
224,5417482
225,5287332
226,5140887
227,4987411
228,4832355
229,4685749
230,4552705
231,4440805
232,4353223
233,4295747
234,4269655
235,4277302
236,4316836
237,4385541
238,4480901
239,4588378
240,4696178
241,4801445
242,4906051
243,5007748
244,5109305
245,5208177
246,5305933
247,5402581
248,5496898
249,5590843
250,5681832
251,5771995
252,5859858
253,5951335
254,6035000
255,6119456
256,6203484
257,6287023
258,6366880
259,6446071
260,6526012
261,6602599
262,6678393
263,6752690
264,6807025
265,6823426
266,6808802
267,6758810
268,6676417
269,6560226
270,6411745
271,6233291
272,6021570
273,5781155
274,5505697
275,5214985
276,4921956
277,4629548
278,4338310
279,4050797
280,3767398
281,3488130
282,3213465
283,2941912
284,2674049
285,2410283
286,2155100
287,1929037
288,1800674
289,1796166
290,1914491
291,2066113
292,2210485
293,2356015
294,2496687
295,2637351
296,2774869
297,2911010
298,3045039
299,3177611
300,3307943
301,3435795
302,3561856
303,3685821
304,3807403
305,3926922
306,4045459
307,4160909
308,4275329
309,4386823
310,4497384
311,4605571
312,4711784
313,4816849
314,4919237
315,5021141
316,5120016
317,5218143
318,5313402
319,5408425
320,5500653
321,5592413
322,5674835
323,5711950
324,5706205
325,5657556
326,5569473
327,5440306
328,5276881
329,5077109
330,4848081
331,4589778
332,4314129
333,4035387
334,3758678
335,3483811
336,3211250
337,2943010
338,2677091
339,2415308
340,2156621
341,1903094
342,1652997
343,1408540
344,1168280
345,934153
346,705503
347,491361
348,296445
349,122529
350,-30742
351,-163427
352,-277135
353,-370877
