# note,好棒_总长1000mm_任意重度敲_铁头
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 13:24:31
# points,512
# state,INVALID
# confidence,NONE
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,500000
# peak_abs,8388607
index,raw24
0,6162
1,6041
2,5665
3,6160
4,6423
5,6166
6,6718
7,5789
8,6428
9,6355
10,6154
11,6346
12,5705
13,6336
14,5967
15,6535
16,6262
17,6541
18,6092
19,6436
20,6451
21,6802
22,6497
23,6616
24,6311
25,6343
26,6366
27,6125
28,6092
29,5812
30,6147
31,6322
32,6065
33,5769
34,6112
35,5647
36,6126
37,6150
38,5981
39,6140
40,6219
41,5467
42,5802
43,5881
44,5288
45,5240
46,5295
47,4822
48,5286
49,5421
50,5405
51,4596
52,4107
53,3035
54,2226
55,-998
56,-3982
57,-8325
58,-10692
59,-15283
60,-28713
61,-107206
62,-325480
63,-551249
64,-765293
65,-968856
66,-1123266
67,-1243385
68,-1378273
69,-1534177
70,-1739493
71,-1930417
72,-2124941
73,-2304978
74,-2195816
75,-1974628
76,-1773603
77,-1566539
78,-1366572
79,-1167437
80,-971750
81,-776888
82,-586049
83,-395369
84,-209889
85,-24007
86,155364
87,336857
88,507960
89,687186
90,846998
91,1032038
92,1051880
93,788984
94,556736
95,295572
96,142855
97,279070
98,458356
99,628404
100,798383
101,963734
102,1110504
103,1138201
104,1198238
105,1351643
106,1505686
107,1660534
108,1809612
109,1958215
110,2100264
111,2244399
112,2364645
113,2475613
114,2610967
115,2744368
116,2877233
117,3006569
118,3133890
119,3259372
120,3382582
121,3503857
122,3623805
123,3742035
124,3858514
125,3972443
126,4085646
127,4196435
128,4305419
129,4412678
130,4518691
131,4623315
132,4726711
133,4828638
134,4928432
135,5028063
136,5124137
137,5221440
138,5314986
139,5408713
140,5500877
141,5591806
142,5681403
143,5769173
144,5857485
145,5942738
146,6027485
147,6110349
148,6193635
149,6274575
150,6355009
151,6433233
152,6512544
153,6589325
154,6665137
155,6740259
156,6812556
157,6885564
158,6956140
159,7021867
160,7035122
161,6974727
162,6812147
163,6533428
164,6210494
165,5899584
166,5595088
167,5302397
168,5016430
169,4738361
170,4464311
171,4195078
172,3928566
173,3667526
174,3407190
175,3156999
176,2899653
177,2654875
178,2381103
179,2286036
180,2440901
181,2578627
182,2726817
183,2863924
184,3004894
185,3138919
186,3273920
187,3404376
188,3535129
189,3661305
190,3788818
191,3911308
192,4033206
193,4151882
194,4270679
195,4385846
196,4500222
197,4611249
198,4720750
199,4828566
200,4934152
201,5038782
202,5139383
203,5240476
204,5337868
205,5435184
206,5529097
207,5623262
208,5715359
209,5805446
210,5895417
211,5982393
212,6069367
213,6154458
214,6238411
215,6320097
216,6402022
217,6481728
218,6560297
219,6637648
220,6713342
221,6789242
222,6861166
223,6934368
224,6987562
225,7018357
226,7028644
227,7019562
228,6990657
229,6944828
230,6882476
231,6811100
232,6736796
233,6666174
234,6612184
235,6580753
236,6584014
237,6624690
238,6699153
239,6777263
240,6854020
241,6929263
242,7003273
243,7077811
244,7148771
245,7220602
246,7289384
247,7358615
248,7425260
249,7491658
250,7555047
251,7619165
252,7680595
253,7741761
254,7794696
255,7810297
256,7800591
257,7768471
258,7725139
259,7675220
260,7633579
261,7610311
262,7615566
263,7656084
264,7717158
265,7780776
266,7842194
267,7904245
268,7963048
