# note,好棒_总长1000mm_任意重度敲_铁头
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 13:25:05
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,73
# bottom_index,110
# distance_mm,737
# threshold,500000
# peak_abs,4238420
index,raw24
0,2335
1,1799
2,1855
3,2366
4,1846
5,1742
6,2166
7,2045
8,2245
9,1645
10,1612
11,1668
12,1972
13,1932
14,2132
15,2131
16,2323
17,1827
18,1674
19,2090
20,1442
21,1778
22,1266
23,1633
24,2097
25,1641
26,1681
27,1944
28,1688
29,1592
30,1000
31,1584
32,1319
33,1183
34,1375
35,1039
36,1447
37,1495
38,1326
39,1030
40,742
41,462
42,302
43,150
44,-354
45,-1082
46,-1978
47,-2962
48,-4241
49,-4881
50,-6160
51,-7039
52,-8375
53,-10006
54,-11852
55,-14187
56,-18721
57,-24431
58,-42268
59,-78607
60,-145205
61,-266259
62,-462411
63,-690962
64,-920358
65,-1146333
66,-1367154
67,-1581131
68,-1790674
69,-1995423
70,-2196443
71,-2393863
72,-2589323
73,-2781727
74,-2971427
75,-3157705
76,-3341511
77,-3522887
78,-3701017
79,-3878645
80,-4052932
81,-4205709
82,-4238420
83,-4127166
84,-3911583
85,-3684945
86,-3460943
87,-3242017
88,-3024549
89,-2810620
90,-2599045
91,-2390327
92,-2183587
93,-1979857
94,-1778991
95,-1580022
96,-1385357
97,-1191964
98,-1001147
99,-813216
100,-627725
101,-444224
102,-264898
103,-86234
104,88233
105,261630
106,426422
107,556154
108,665438
109,755909
110,836505
111,913666
112,993403
113,1074154
114,1152022
115,1223730
116,1288452
117,1344223
118,1393699
119,1438793
120,1482353
121,1527932
122,1575866
123,1623513
124,1669411
125,1708703
126,1740895
127,1768930
128,1793810
129,1818191
130,1844529
131,1870032
132,1895364
133,1917668
134,1937082
135,1954710
136,1969991
137,1984023
138,1998557
139,2011729
140,2024507
141,2035676
142,2044971
143,2053290
144,2060679
145,2068019
146,2073759
147,2080306
148,2085676
149,2090725
150,2094302
151,2097718
152,2099398
153,2099326
154,2096334
155,2088782
156,2075159
157,2050297
158,2013751
159,1956641
160,1876370
161,1762541
162,1609022
163,1404650
164,1162790
165,913752
166,663585
167,415880
168,172429
169,-66752
170,-302600
171,-533507
172,-761002
173,-983653
174,-1202853
175,-1418490
176,-1631597
177,-1841350
178,-2048509
179,-2253523
180,-2453816
181,-2627740
182,-2701507
183,-2642042
184,-2464911
185,-2252858
186,-2048743
187,-1844997
188,-1644324
189,-1445123
190,-1248843
191,-1054578
192,-862145
193,-672464
194,-483838
195,-299099
196,-115638
197,64432
198,241760
199,416642
200,589399
201,758239
202,923859
203,1086490
204,1246485
205,1403997
206,1558458
207,1709004
208,1857715
209,2003360
210,2146772
211,2286990
212,2424918
213,2560838
214,2692910
215,2799221
216,2877871
217,2934520
218,2971034
219,2989207
220,2990874
221,2975613
222,2945658
223,2901378
224,2847152
225,2781604
226,2711409
227,2635934
228,2559924
229,2485420
230,2412452
231,2342766
232,2275944
233,2212138
234,2150068
235,2087669
236,2024934
237,1960967
238,1894592
239,1827457
240,1757977
241,1689059
242,1621701
243,1558343
244,1500960
245,1450737
246,1411064
247,1382636
248,1367387
249,1365900
250,1379677
251,1406597
252,1447889
253,1503256
254,1569257
255,1644833
