# note,好棒_总长1000mm_任意重度敲_铁头
# rod_len_mm,
# defect_true_mm,
# err_mm,
# time,2026-07-30 13:26:52
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,63
# bottom_index,0
# distance_mm,495
# threshold,705438
# peak_abs,1337729
index,raw24
0,219634
1,214407
2,208093
3,200147
4,191099
5,181427
6,171357
7,160240
8,148693
9,135411
10,121994
11,107243
12,91382
13,74435
14,56778
15,38531
16,19622
17,1004
18,-19188
19,-38698
20,-58765
21,-79798
22,-100252
23,-121712
24,-142377
25,-163200
26,-183500
27,-202646
28,-221613
29,-239834
30,-257644
31,-273717
32,-288940
33,-301848
34,-314179
35,-323037
36,-330510
37,-334997
38,-336996
39,-335795
40,-332418
41,-324754
42,-314106
43,-299644
44,-281567
45,-259933
46,-234221
47,-204672
48,-171391
49,-134914
50,-94370
51,-50734
52,-4072
53,45416
54,98131
55,152543
56,210196
57,268963
58,328930
59,390250
60,451346
61,513235
62,575068
63,636142
64,696024
65,754451
66,811247
67,865620
68,918122
69,967834
70,1014476
71,1058936
72,1099919
73,1137625
74,1172438
75,1203327
76,1231316
77,1256254
78,1276684
79,1294728
80,1309338
81,1320978
82,1329593
83,1334887
84,1337612
85,1337729
86,1335157
87,1330594
88,1323040
89,1314638
90,1303382
91,1291607
92,1277113
93,1261501
94,1245115
95,1227523
96,1209037
97,1189522
98,1168968
99,1147682
100,1126334
101,1103396
102,1080845
103,1056993
104,1033136
105,1008458
106,983975
107,959135
108,934042
109,908768
110,883081
111,858165
112,832524
113,806727
114,780740
115,754869
116,729177
117,703080
118,676970
119,650623
120,625168
121,598699
122,572658
123,546652
124,520754
125,494690
126,468758
127,442724
128,417438
129,392131
130,366923
131,342399
132,319133
133,295454
134,272338
135,250489
136,228810
137,209318
138,189828
139,171717
140,154600
141,139053
142,124468
143,112621
144,101447
145,92435
146,84912
147,79613
148,76548
149,75018
150,75649
151,77728
152,82078
153,87740
154,95450
155,104846
156,115273
157,128083
158,141611
159,155866
160,170287
161,186586
162,201771
163,218587
164,234304
165,250243
166,265317
167,279500
168,293090
169,305775
170,316721
171,326995
172,335195
173,342234
174,346848
175,349766
176,351523
177,350760
178,348701
179,344274
180,338840
181,330975
182,321383
183,309911
184,297842
185,283541
186,268579
187,251986
188,234227
189,215758
190,196060
191,176788
192,155214
193,134067
194,112091
195,90381
196,67914
197,45154
198,22701
199,-86
200,-22398
201,-44803
202,-66686
203,-88686
204,-110275
205,-131838
206,-152901
207,-173299
208,-194158
209,-214182
210,-233636
211,-252831
212,-272312
213,-290831
214,-309052
215,-328118
216,-346134
217,-364291
218,-381711
219,-399952
220,-417751
221,-435732
222,-454255
223,-472152
224,-490342
225,-508738
226,-526844
227,-545572
228,-564433
229,-582940
230,-602685
231,-621411
232,-640640
233,-659489
234,-679081
235,-698358
236,-717001
237,-736153
238,-754823
239,-773811
240,-792293
241,-809340
242,-826257
243,-842692
244,-858141
245,-873109
246,-887458
247,-900254
248,-911936
249,-922920
250,-934016
251,-942694
252,-951339
253,-957190
254,-963354
255,-967692
256,-970742
257,-972679
258,-972857
259,-972546
260,-970155
261,-967149
262,-962831
263,-957257
264,-950604
265,-942696
266,-934213
267,-924947
268,-915010
269,-904362
270,-892716
271,-880655
272,-868643
273,-856209
274,-843793
275,-831378
276,-819212
277,-806776
278,-794678
279,-783821
280,-772189
281,-762623
282,-752634
283,-743774
284,-735955
285,-728977
286,-722896
287,-717752
288,-714232
289,-710929
290,-709002
291,-707900
292,-707629
293,-709087
294,-711184
295,-714441
296,-718602
297,-724154
298,-729826
299,-737033
300,-744335
301,-752172
302,-761232
303,-770091
304,-779157
305,-789774
306,-799070
307,-809692
308,-819033
309,-829109
310,-839152
311,-848170
312,-857522
313,-866977
314,-875503
315,-882757
316,-890457
317,-897284
318,-903142
319,-908296
320,-912897
321,-916618
322,-918938
323,-920994
324,-921873
325,-921169
326,-920784
327,-918560
328,-915112
329,-910952
330,-905593
331,-899338
332,-891772
333,-882848
334,-873148
335,-862185
336,-850528
337,-837664
338,-823610
339,-808629
340,-792211
341,-775162
342,-757203
343,-738135
344,-717125
345,-696173
346,-674944
347,-651694
348,-627926
349,-604105
350,-578224
351,-552585
352,-525982
353,-498997
354,-471040
355,-442807
356,-414105
357,-384102
358,-355087
359,-324740
360,-294332
361,-263976
362,-233584
363,-202604
364,-171547
365,-140598
366,-109717
367,-79023
368,-48870
369,-18472
370,11323
371,41065
372,69484
373,98284
374,126064
375,153264
376,179837
377,205256
378,230006
379,253682
380,275939
381,297770
382,319013
383,337782
384,355941
385,372666
386,387924
387,401981
388,415668
389,426297
390,436821
391,445240
392,452377
393,458154
394,462906
395,465089
396,467473
397,467432
398,466470
399,464278
400,461509
401,455980
402,450829
403,443934
404,436560
405,428154
406,419070
407,409427
408,399177
409,387584
410,376321
411,365011
412,353166
413,340755
414,328465
415,316841
416,304739
417,292901
418,281290
419,270319
420,259654
421,249151
422,239120
423,230027
424,221391
425,213596
426,206746
427,200096
428,195096
429,189856
430,186345
431,182226
432,181308
433,179158
434,179016
435,178658
436,180732
437,181934
438,184488
439,188129
440,192138
441,197035
442,202707
443,209202
444,215857
445,223110
446,231179
447,239687
448,248785
449,257643
450,267908
451,278099
452,288721
453,299438
454,311241
455,322427
456,334500
457,346203
458,358753
459,371381
460,383967
461,396633
462,410040
463,422982
464,436450
465,449485
466,462606
467,476254
468,489740
469,503536
470,517042
471,530499
472,543610
473,556504
474,569196
475,582343
476,595367
477,607527
478,619557
479,631369
480,642908
481,654637
482,665653
483,675196
484,685434
485,694766
486,703889
487,712475
488,720124
489,727052
490,733580
491,739730
492,744712
493,749453
494,753457
495,755909
496,757713
497,758828
498,760104
499,759507
500,758606
501,756554
502,754341
503,750377
504,746022
505,741186
506,735760
507,729238
508,722061
509,713701
510,705534
511,696400
