hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,13:19:57,hit_001_20260730_131957.csv,512,DEFECT,HIGH,0,21,112,207,500000,3305743,2096873,-3305743,-253164.2,,,,好棒_总长1000mm_任意重度敲_铁头
2,13:19:57,hit_002_20260730_131957.csv,512,DEFECT,HIGH,0,96,112,841,500000,3659723,2303998,-3659723,-135510.6,,,,好棒_总长1000mm_任意重度敲_铁头
3,13:19:58,hit_003_20260730_131958.csv,512,DEFECT,HIGH,0,23,111,230,500000,3530106,2609422,-3530106,231868.8,,,,好棒_总长1000mm_任意重度敲_铁头
4,13:19:58,hit_004_20260730_131958.csv,512,DEFECT,HIGH,0,21,113,185,500000,3491305,2703346,-3491305,75990.7,,,,好棒_总长1000mm_任意重度敲_铁头
5,13:19:58,hit_005_20260730_131958.csv,512,NORMAL,HIGH,0,0,109,0,500000,3055902,3055902,-2994010,498264.1,,,,好棒_总长1000mm_任意重度敲_铁头
6,13:19:59,hit_006_20260730_131959.csv,512,NORMAL,HIGH,0,0,109,0,500000,3763881,3763881,-3036913,683360.4,,,,好棒_总长1000mm_任意重度敲_铁头
7,13:19:59,hit_007_20260730_131959.csv,512,DEFECT,HIGH,0,29,112,287,693900,4192653,3474150,-4192653,-558185.2,,,,好棒_总长1000mm_任意重度敲_铁头
8,13:20:00,hit_008_20260730_132000.csv,512,DEFECT,HIGH,0,22,113,194,500000,3658354,2489615,-3658354,-509001.8,,,,好棒_总长1000mm_任意重度敲_铁头
9,13:20:00,hit_009_20260730_132000.csv,512,DEFECT,HIGH,0,94,110,838,500000,3341932,2410899,-3341932,108118.6,,,,好棒_总长1000mm_任意重度敲_铁头
10,13:20:00,hit_010_20260730_132000.csv,512,DEFECT,HIGH,0,24,111,240,500000,3810695,2256256,-3810695,-287521.4,,,,好棒_总长1000mm_任意重度敲_铁头
11,13:20:01,hit_011_20260730_132001.csv,512,DEFECT,HIGH,0,67,111,670,500000,3164747,2852628,-3164747,268832.4,,,,好棒_总长1000mm_任意重度敲_铁头
12,13:20:01,hit_012_20260730_132001.csv,512,DEFECT,HIGH,0,24,111,240,500000,3371425,3028084,-3371425,211871.8,,,,好棒_总长1000mm_任意重度敲_铁头
13,13:20:02,hit_013_20260730_132002.csv,512,DEFECT,HIGH,0,98,111,870,500000,3625213,2971246,-3625213,24823.9,,,,好棒_总长1000mm_任意重度敲_铁头
14,13:20:02,hit_014_20260730_132002.csv,512,DEFECT,HIGH,0,27,112,267,500000,3746760,2582497,-3746760,-263371.4,,,,好棒_总长1000mm_任意重度敲_铁头
15,13:20:02,hit_015_20260730_132002.csv,512,DEFECT,HIGH,0,24,118,224,500000,3479988,2835872,-3479988,-298521.0,,,,好棒_总长1000mm_任意重度敲_铁头
16,13:20:03,hit_016_20260730_132003.csv,512,DEFECT,HIGH,0,32,108,329,500000,4156260,2819507,-4156260,-331990.2,,,,好棒_总长1000mm_任意重度敲_铁头
17,13:20:03,hit_017_20260730_132003.csv,512,DEFECT,HIGH,0,27,113,264,591702,2875026,2875026,-2640303,-222466.2,,,,好棒_总长1000mm_任意重度敲_铁头
18,13:20:04,hit_018_20260730_132004.csv,512,DEFECT,HIGH,0,39,120,357,500000,3530212,3265357,-3530212,-308236.9,,,,好棒_总长1000mm_任意重度敲_铁头
19,13:20:04,hit_019_20260730_132004.csv,512,DEFECT,HIGH,0,42,123,375,500000,3192401,3192401,-2876466,-220460.5,,,,好棒_总长1000mm_任意重度敲_铁头
20,13:20:04,hit_020_20260730_132004.csv,512,DEFECT,HIGH,0,29,123,258,500000,4357582,2787997,-4357582,-387750.4,,,,好棒_总长1000mm_任意重度敲_铁头
21,13:20:04,hit_021_20260730_132004.csv,512,DEFECT,HIGH,0,25,120,229,500000,4554605,2664693,-4554605,-403281.0,,,,好棒_总长1000mm_任意重度敲_铁头
22,13:20:05,hit_022_20260730_132005.csv,512,DEFECT,HIGH,0,38,108,391,515310,3097592,3089620,-3097592,-253637.6,,,,好棒_总长1000mm_任意重度敲_铁头
23,13:20:05,hit_023_20260730_132005.csv,512,DEFECT,HIGH,0,34,108,350,851622,2474100,2474100,-1956246,-211986.9,,,,好棒_总长1000mm_任意重度敲_铁头
24,13:20:05,hit_024_20260730_132005.csv,512,DEFECT,HIGH,0,39,118,364,500000,3293082,3293082,-2738579,-239192.7,,,,好棒_总长1000mm_任意重度敲_铁头
25,13:20:06,hit_025_20260730_132006.csv,512,DEFECT,HIGH,0,55,116,523,500000,3673836,3673836,-3405271,-250992.5,,,,好棒_总长1000mm_任意重度敲_铁头
26,13:20:06,hit_026_20260730_132006.csv,512,DEFECT,HIGH,0,46,122,414,500000,3047624,3047624,-2510031,-200894.3,,,,好棒_总长1000mm_任意重度敲_铁头
27,13:20:06,hit_027_20260730_132006.csv,512,DEFECT,HIGH,0,51,115,490,500000,3608552,3608552,-3064229,-217685.0,,,,好棒_总长1000mm_任意重度敲_铁头
28,13:20:07,hit_028_20260730_132007.csv,512,DEFECT,HIGH,0,54,108,556,500000,3192148,3192148,-2560777,-176402.9,,,,好棒_总长1000mm_任意重度敲_铁头
29,13:20:07,hit_029_20260730_132007.csv,512,DEFECT,HIGH,0,51,108,525,500000,3016161,3016161,-2403635,-183095.0,,,,好棒_总长1000mm_任意重度敲_铁头
30,13:20:07,hit_030_20260730_132007.csv,512,DEFECT,HIGH,0,49,108,505,500000,2985786,2985786,-2357871,-184006.1,,,,好棒_总长1000mm_任意重度敲_铁头
31,13:20:08,hit_031_20260730_132008.csv,512,DEFECT,HIGH,0,50,117,471,500000,3631317,3631317,-2931171,-212248.3,,,,好棒_总长1000mm_任意重度敲_铁头
32,13:20:08,hit_032_20260730_132008.csv,512,DEFECT,HIGH,0,53,108,546,500000,3880815,3880815,-3792415,-262606.1,,,,好棒_总长1000mm_任意重度敲_铁头
33,13:20:08,hit_033_20260730_132008.csv,512,DEFECT,HIGH,0,48,118,448,500000,4600072,3629071,-4600072,-414558.6,,,,好棒_总长1000mm_任意重度敲_铁头
34,13:20:09,hit_034_20260730_132009.csv,512,DEFECT,HIGH,0,48,121,436,500000,3780305,3780305,-3764535,-302323.3,,,,好棒_总长1000mm_任意重度敲_铁头
35,13:20:09,hit_035_20260730_132009.csv,512,DEFECT,HIGH,0,53,108,546,500000,3784674,3784674,-3658981,-265012.2,,,,好棒_总长1000mm_任意重度敲_铁头
