# note,坏棒 总长1002mm 轻轻敲 塑料头
# rod_len_mm,
# defect_true_mm,695
# err_mm,
# time,2026-07-30 13:53:02
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,108
# distance_mm,0
# threshold,500000
# peak_abs,6026388
index,raw24
0,2058
1,2066
2,2081
3,2105
4,1921
5,1865
6,1912
7,1664
8,2008
9,1944
10,2391
11,2263
12,2023
13,1783
14,2278
15,1758
16,1990
17,2206
18,1949
19,1589
20,1461
21,2157
22,1956
23,2092
24,1828
25,1708
26,1939
27,1987
28,1867
29,1779
30,2482
31,1930
32,2586
33,2233
34,2769
35,2073
36,2289
37,1992
38,1864
39,2072
40,1896
41,1839
42,1431
43,1807
44,1703
45,1382
46,1870
47,814
48,1110
49,1606
50,2117
51,1517
52,2357
53,2653
54,23604
55,23889
56,-39442
57,-116637
58,-90790
59,83333
60,63610
61,-180245
62,-393143
63,-616303
64,-825948
65,-1038039
66,-1243424
67,-1445873
68,-1648312
69,-1858311
70,-2064548
71,-2254656
72,-2441021
73,-2616987
74,-2800467
75,-2964381
76,-3159068
77,-3167370
78,-2926743
79,-2718314
80,-2493526
81,-2286142
82,-2072159
83,-1867074
84,-1661110
85,-1459963
86,-1259385
87,-1062823
88,-868149
89,-676403
90,-488985
91,-304045
92,-122296
93,57607
94,235728
95,411139
96,582753
97,750650
98,915646
99,1078126
100,1237739
101,1394140
102,1546786
103,1696117
104,1844590
105,1990012
106,2133242
107,2274413
108,2413719
109,2551105
110,2686785
111,2805609
112,2855787
113,2923126
114,3046849
115,3174869
116,3300018
117,3423647
118,3544285
119,3660988
120,3747486
121,3824172
122,3912369
123,3993748
124,4044996
125,4025798
126,3893387
127,3648840
128,3368194
129,3089631
130,2813126
131,2542078
132,2274008
133,2013251
134,1763573
135,1593749
136,1583371
137,1713514
138,1867496
139,2017028
140,2164166
141,2308950
142,2451268
143,2591897
144,2730196
145,2866743
146,3001857
147,3133691
148,3264036
149,3391558
150,3516984
151,3639818
152,3760686
153,3877739
154,3995546
155,4083146
156,3994991
157,3731768
158,3444912
159,3168628
160,2901713
161,2644311
162,2392236
163,2145744
164,1901114
165,1660538
166,1421391
167,1185873
168,952321
169,723172
170,496268
171,272792
172,52310
173,-167512
174,-381292
175,-597941
176,-810692
177,-1042985
178,-1146442
179,-970390
180,-778255
181,-582896
182,-394409
183,-205497
184,-21056
185,163579
186,342759
187,520565
188,694373
189,866192
190,1034815
191,1199488
192,1362134
193,1521256
194,1678230
195,1832281
196,1984241
197,2133271
198,2279851
199,2424580
200,2566172
201,2706107
202,2842833
203,2978078
204,3109090
205,3239679
206,3366851
207,3492264
208,3614974
209,3734877
210,3852389
211,3968206
212,4082050
213,4194120
214,4304120
215,4411130
216,4517624
217,4621856
218,4715300
219,4777780
220,4824933
221,4863360
222,4904631
223,4960104
224,5042330
225,5141427
226,5236951
227,5333744
228,5426973
229,5519886
230,5610628
231,5700888
232,5787736
233,5874877
234,5945584
235,5934418
236,5836574
237,5660045
238,5421962
239,5141212
240,4854257
241,4571920
242,4321738
243,4130243
244,4021514
245,4014471
246,4109133
247,4227696
248,4341636
249,4456178
250,4567122
251,4678708
252,4787465
253,4896305
254,5003339
255,5109016
256,5213272
257,5314996
258,5415363
259,5512286
260,5609917
