# note,坏棒 总长1002mm 轻轻敲 塑料头
# rod_len_mm,
# defect_true_mm,695
# err_mm,-391
# time,2026-07-30 13:53:10
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,32
# bottom_index,0
# distance_mm,304
# threshold,500000
# peak_abs,1020233
index,raw24
0,-833
1,-1185
2,-465
3,-769
4,-697
5,-504
6,-360
7,-840
8,-776
9,-712
10,-784
11,-704
12,-232
13,-904
14,-880
15,-631
16,-399
17,-583
18,-647
19,-1151
20,-1111
21,-511
22,-591
23,-663
24,-247
25,-807
26,-750
27,-1438
28,-1070
29,-1614
30,-1838
31,-3030
32,-5205
33,-8292
34,-12963
35,-18970
36,-26400
37,-35884
38,-47904
39,-60522
40,-75051
41,-90937
42,-107310
43,-124545
44,-143058
45,-162776
46,-183853
47,-207414
48,-231933
49,-257832
50,-283465
51,-309134
52,-334977
53,-360328
54,-385716
55,-411117
56,-436058
57,-460189
58,-485533
59,-508650
60,-531148
61,-552923
62,-573807
63,-592929
64,-611761
65,-628038
66,-643329
67,-656075
68,-666603
69,-675217
70,-681503
71,-685660
72,-687080
73,-687476
74,-683096
75,-678093
76,-669474
77,-658632
78,-645168
79,-629113
80,-610924
81,-590018
82,-567506
83,-541804
84,-514706
85,-485211
86,-455352
87,-423864
88,-390725
89,-357309
90,-323201
91,-289474
92,-253671
93,-219552
94,-186093
95,-153198
96,-120659
97,-90021
98,-59338
99,-30466
100,-1615
101,26314
102,53198
103,79072
104,103862
105,126842
106,148578
107,169112
108,187507
109,205644
110,221851
111,236584
112,250363
113,262549
114,272709
115,280731
116,287217
117,292038
118,295266
119,298230
120,300202
121,302021
122,303288
123,303299
124,302646
125,300737
126,298525
127,295192
128,291820
129,288704
130,285613
131,282706
132,279968
133,277022
134,273900
135,269722
136,265249
137,259513
138,252289
139,243866
140,234717
141,223704
142,210877
143,196787
144,181627
145,164485
146,145353
147,124511
148,102576
149,77915
150,52554
151,25107
152,-3048
153,-32288
154,-62692
155,-94516
156,-126376
157,-159009
158,-190982
159,-223414
160,-255387
161,-286508
162,-316505
163,-345762
164,-373544
165,-399138
166,-423449
167,-445542
168,-465215
169,-482151
170,-496244
171,-507007
172,-515113
173,-519874
174,-521491
175,-519243
176,-513100
177,-503645
178,-490256
179,-473092
180,-453146
181,-429307
182,-402086
183,-371589
184,-337664
185,-301046
186,-262818
187,-220002
188,-176199
189,-129705
190,-82817
191,-33031
192,17037
193,68979
194,120818
195,172804
196,224822
197,276475
198,327833
199,378569
200,428243
201,476511
202,524300
203,569788
204,614191
205,656652
206,697140
207,734959
208,771917
209,805759
210,837492
211,867286
212,894052
213,918055
214,940295
215,959484
216,975103
217,989424
218,1000135
219,1009661
220,1015530
221,1018838
222,1020233
223,1019309
224,1016424
225,1011708
226,1005201
227,997350
228,987732
229,977020
230,965316
231,952599
232,938954
233,925128
234,910607
235,896288
236,881186
237,866463
238,851381
239,835893
240,821255
241,806122
242,790520
243,775648
244,759993
245,745196
246,729081
247,713120
248,696809
249,680012
250,662161
251,644720
252,625777
253,606165
254,586835
255,565787
256,544982
257,522180
258,499132
259,475183
260,450293
261,425246
262,399658
263,372337
264,345532
265,318098
266,290443
267,263207
268,235319
269,208202
270,181201
271,154843
272,128784
273,103704
274,80164
275,57066
276,36123
277,16758
278,-1788
279,-18036
280,-31977
281,-44525
282,-54552
283,-63017
284,-69034
285,-72969
286,-73672
287,-72991
288,-70374
289,-64766
290,-57598
291,-48951
292,-37545
293,-24980
294,-10249
295,5776
296,23807
297,42629
298,62287
299,83872
300,105285
301,128409
302,151353
303,174654
304,198361
305,221977
306,245494
307,269128
308,292591
309,314635
310,336437
311,357556
312,377784
313,397050
314,414993
315,431855
316,447282
317,461275
318,474123
319,485249
320,494982
321,503025
322,508740
323,514150
324,516399
325,517344
326,516489
327,513778
328,510035
329,504213
330,496463
331,487819
332,476895
333,465557
334,452820
335,438493
336,422703
337,406252
338,389562
339,370930
340,352621
341,333866
342,314009
343,294731
344,274655
345,254909
346,234710
347,214794
348,194199
349,175696
350,155970
351,137447
352,118974
353,101112
354,83140
355,65545
356,48257
357,32075
358,15839
359,46
360,-15290
361,-30881
362,-45301
363,-60431
364,-74128
365,-88167
366,-102516
367,-116264
368,-130377
369,-143793
370,-157248
371,-171485
372,-184336
373,-197593
374,-211137
375,-223983
376,-237020
377,-250295
378,-262880
379,-274600
380,-287423
381,-299084
382,-311151
383,-322377
384,-333802
385,-344777
386,-355287
387,-364924
388,-374095
389,-382777
390,-390683
391,-398763
392,-405922
393,-411513
394,-417558
395,-422051
396,-425296
397,-428740
398,-430839
399,-432011
400,-432326
401,-432481
402,-430901
403,-428720
404,-425212
