# note,坏棒 总长1002mm 轻轻敲 塑料头
# rod_len_mm,
# defect_true_mm,695
# err_mm,-490
# time,2026-07-30 13:53:17
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,21
# bottom_index,113
# distance_mm,205
# threshold,500000
# peak_abs,3882648
index,raw24
0,1569
1,1097
2,649
3,1105
4,904
5,1064
6,992
7,1016
8,560
9,872
10,248
11,904
12,1088
13,583
14,671
15,879
16,655
17,1247
18,1279
19,1519
20,1199
21,1054
22,1366
23,1102
24,638
25,1254
26,854
27,869
28,701
29,725
30,685
31,589
32,877
33,677
34,813
35,613
36,517
37,236
38,748
39,692
40,388
41,276
42,404
43,276
44,444
45,44
46,460
47,420
48,84
49,-44
50,92
51,132
52,60
53,220
54,116
55,-124
56,-164
57,-2372
58,-19084
59,-62618
60,-139290
61,-253161
62,-407746
63,-611216
64,-834998
65,-1059464
66,-1284534
67,-1504562
68,-1720658
69,-1933344
70,-2141820
71,-2341582
72,-2535456
73,-2723059
74,-2906399
75,-3084652
76,-3255763
77,-3407206
78,-3533358
79,-3636222
80,-3720507
81,-3790876
82,-3847334
83,-3882648
84,-3881854
85,-3835100
86,-3733808
87,-3580344
88,-3378315
89,-3160063
90,-2944525
91,-2732685
92,-2523824
93,-2316900
94,-2112985
95,-1911631
96,-1712702
97,-1515853
98,-1321971
99,-1131290
100,-943432
101,-757549
102,-587952
103,-428408
104,-268676
105,-108771
106,46186
107,192292
108,329397
109,463029
110,595444
111,728315
112,858810
113,977762
114,1079738
115,1156558
116,1209753
117,1243838
118,1263814
119,1272747
120,1271728
121,1265557
122,1258418
123,1256505
124,1258999
125,1265614
126,1271451
127,1271104
128,1259973
129,1236259
130,1199604
131,1154881
132,1106116
133,1055573
134,1004613
135,951650
136,894174
137,835521
138,779459
139,730907
140,694010
141,670213
142,659244
143,659939
144,668011
145,681817
146,699630
147,721936
148,748000
149,779941
150,815934
151,856034
152,899113
153,945572
154,993608
155,1044807
156,1095455
157,1144434
158,1187446
159,1220053
160,1237856
161,1233185
162,1202362
163,1138952
164,1038604
165,896054
166,708640
167,479682
168,242031
169,1946
170,-238767
171,-476825
172,-709519
173,-939625
174,-1164790
175,-1387056
176,-1604710
177,-1819146
178,-2029732
179,-2236573
180,-2437404
181,-2630650
182,-2817865
183,-2995001
184,-3145947
185,-3250171
186,-3310614
187,-3318186
188,-3273709
189,-3173686
190,-3014738
191,-2808890
192,-2596075
193,-2387406
194,-2181163
195,-1977441
196,-1775759
197,-1576958
198,-1380254
199,-1186669
200,-995005
201,-806123
202,-619225
203,-435381
204,-253504
205,-73801
206,102936
207,277307
208,449426
209,618499
210,784407
211,948327
212,1108044
213,1266636
214,1421234
215,1573764
216,1723508
217,1870778
218,2015173
219,2158103
220,2295592
221,2410448
222,2497649
223,2563088
224,2609792
225,2639033
226,2655887
227,2662803
228,2662861
229,2658472
230,2651452
231,2642384
232,2630006
233,2615237
234,2596605
235,2571992
236,2540710
237,2502248
238,2455383
239,2401171
240,2338126
241,2269136
242,2193923
243,2115072
244,2034341
245,1954253
246,1876494
247,1803665
248,1738205
249,1680769
250,1633908
251,1598148
252,1573281
253,1559689
254,1556683
255,1564189
256,1581510
257,1606613
258,1640401
259,1679600
260,1724659
261,1773905
262,1825600
263,1878185
264,1930356
265,1979160
266,2023175
267,2058872
268,2083244
269,2093950
270,2088359
271,2062272
272,2013508
273,1940534
274,1842001
275,1716640
276,1564207
277,1387008
278,1187278
279,966669
280,733783
281,499462
282,266729
283,34856
284,-193876
285,-418500
286,-640177
287,-855755
288,-1065123
289,-1260417
290,-1432895
291,-1580560
292,-1702887
293,-1795287
294,-1859380
295,-1891729
296,-1893826
297,-1864211
298,-1803215
299,-1710883
300,-1588282
301,-1437608
302,-1260161
303,-1069159
304,-878932
305,-691737
306,-505901
307,-322863
308,-142543
309,35242
310,211782
311,384004
312,554205
313,721561
314,886473
315,1047381
316,1206093
317,1363130
318,1516620
319,1667314
320,1815183
321,1960929
322,2104346
323,2246049
324,2383399
325,2504228
326,2603826
327,2686964
328,2752012
329,2800852
330,2832726
331,2849621
332,2851561
333,2838565
334,2813850
335,2775675
336,2727704
337,2668555
338,2601125
339,2525631
340,2441731
341,2352577
342,2257066
343,2156942
344,2050999
345,1942853
346,1829751
347,1714592
348,1597423
349,1478820
350,1359375
351,1239617
352,1120442
353,1002137
354,886679
355,774434
356,665012
357,560851
358,461622
359,367990
360,281369
361,201231
362,129622
363,64342
364,7950
365,-41683
366,-83502
367,-116851
368,-144853
369,-166131
370,-181207
371,-191033
372,-196242
373,-198042
374,-196890
375,-194762
376,-191370
377,-188834
378,-187355
379,-188556
380,-193349
381,-202678
382,-217573
383,-237818
384,-264669
385,-299197
386,-339841
387,-388359
388,-443344
389,-504266
390,-572132
391,-643758
392,-721192
393,-801239
394,-883374
395,-966858
396,-1050620
397,-1132932
398,-1213825
399,-1290389
400,-1363431
401,-1430145
402,-1491322
403,-1544892
404,-1591464
405,-1629246
406,-1658327
407,-1678356
408,-1688743
409,-1689969
410,-1680547
411,-1662734
412,-1634235
413,-1597771
414,-1550936
415,-1496955
416,-1433476
417,-1364045
418,-1286854
419,-1203561
420,-1114926
421,-1021006
422,-923418
423,-822665
424,-719116
425,-613381
426,-507634
427,-400596
428,-294763
429,-189831
430,-87256
431,12059
432,108337
433,199244
434,285476
435,365833
436,439988
437,506375
438,566425
439,617676
440,662144
441,697031
442,723658
443,741674
444,750159
445,750868
446,742264
447,724901
448,699637
449,665600
450,624214
451,573834
452,517404
453,454077
454,384909
455,309110
456,228609
457,142949
458,53467
459,-39611
460,-135870
461,-234206
462,-334497
463,-435768
464,-537955
465,-639610
466,-741043
467,-840913
468,-939146
469,-1035200
470,-1127793
471,-1218096
472,-1303571
473,-1385836
474,-1462435
475,-1535656
476,-1602597
477,-1664209
478,-1720918
479,-1772172
480,-1817235
481,-1857485
482,-1891811
483,-1920484
484,-1945513
485,-1964388
486,-1980484
487,-1992042
488,-2000751
489,-2005699
490,-2008598
491,-2009657
492,-2009259
493,-2007238
494,-2004481
495,-2001492
496,-1998816
497,-1996204
498,-1993416
499,-1992885
500,-1991010
501,-1990255
502,-1990052
503,-1990593
504,-1990166
505,-1990259
506,-1989544
507,-1987517
508,-1985218
509,-1980192
510,-1974222
511,-1964661
