# note,坏棒 总长1002mm 轻轻敲 塑料头
# rod_len_mm,
# defect_true_mm,695
# err_mm,87
# time,2026-07-30 13:57:53
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,79
# bottom_index,112
# distance_mm,782
# threshold,500000
# peak_abs,3990250
index,raw24
0,3664
1,3447
2,3639
3,3943
4,3670
5,3446
6,3589
7,3285
8,3452
9,3364
10,3187
11,3099
12,3459
13,3914
14,3066
15,3497
16,3193
17,3576
18,3408
19,3632
20,3167
21,3327
22,3278
23,3070
24,3661
25,3605
26,3357
27,3652
28,3236
29,3459
30,3787
31,3570
32,3434
33,3641
34,3521
35,3361
36,3616
37,3368
38,3487
39,3375
40,3510
41,3078
42,3277
43,3341
44,3453
45,3268
46,3740
47,3259
48,3875
49,3842
50,3522
51,3073
52,3073
53,3273
54,3336
55,3112
56,4511
57,7559
58,-3794
59,-52082
60,-134867
61,-248883
62,-403636
63,-611899
64,-842176
65,-1069786
66,-1293391
67,-1512745
68,-1728144
69,-1940405
70,-2148489
71,-2354394
72,-2555027
73,-2752939
74,-2947299
75,-3138899
76,-3327036
77,-3509518
78,-3681857
79,-3821920
80,-3916213
81,-3973735
82,-3990250
83,-3951091
84,-3851937
85,-3685682
86,-3471401
87,-3250881
88,-3034788
89,-2820033
90,-2609393
91,-2400491
92,-2194902
93,-1991410
94,-1790631
95,-1593060
96,-1396618
97,-1203695
98,-1013092
99,-825344
100,-639036
101,-456350
102,-274702
103,-96500
104,79631
105,252326
106,424063
107,580323
108,702684
109,804438
110,888100
111,955680
112,1000611
113,1031217
114,1054275
115,1081874
116,1115574
117,1155118
118,1198137
119,1240559
120,1277295
121,1302499
122,1315628
123,1320548
124,1325275
125,1333713
126,1345398
127,1352522
128,1350053
129,1332408
130,1299709
131,1253822
132,1196949
133,1132635
134,1064177
135,994799
136,925894
137,860293
138,799628
139,747842
140,706903
141,679968
142,667701
143,666780
144,677410
145,698672
146,731050
147,774817
148,830274
149,896445
150,972888
151,1056489
152,1145704
153,1237476
154,1329445
155,1419219
156,1504869
157,1582206
158,1646325
159,1692908
160,1714589
161,1705948
162,1660291
163,1570433
164,1430761
165,1234234
166,993884
167,746474
168,496615
169,250002
170,5692
171,-234405
172,-470640
173,-701815
174,-930633
175,-1153695
176,-1373459
177,-1590563
178,-1802945
179,-2013413
180,-2219047
181,-2422824
182,-2621736
183,-2812928
184,-2982985
185,-3084268
186,-3099116
187,-3030706
188,-2875888
189,-2665849
190,-2454579
191,-2246184
192,-2040781
193,-1837612
194,-1637076
195,-1438092
196,-1242404
197,-1048173
198,-857437
199,-667764
200,-481491
201,-297136
202,-115596
203,63939
204,240899
205,415133
206,585875
207,753955
208,919623
209,1081927
210,1241435
211,1397923
212,1551984
213,1702619
214,1851523
215,1996265
216,2140189
217,2280416
218,2418674
219,2533923
220,2619765
221,2683637
222,2726102
223,2750521
224,2758721
225,2754840
226,2739760
227,2717818
228,2689790
229,2659678
230,2628769
231,2597536
232,2567459
233,2537441
234,2507564
235,2474858
236,2438603
237,2397226
238,2350069
239,2294446
240,2232638
241,2162718
242,2087870
243,2008127
244,1925985
245,1843750
246,1763213
247,1688654
248,1622680
249,1566682
250,1524547
251,1497768
252,1487386
253,1494100
254,1519414
255,1561188
256,1621301
257,1695944
258,1785032
259,1885239
260,1993952
261,2109085
262,2226740
263,2342748
264,2454574
265,2557202
266,2648018
267,2723327
268,2776818
269,2810015
270,2814824
271,2791353
272,2735236
273,2646278
274,2521059
275,2360679
276,2164375
277,1932631
278,1683419
279,1432605
280,1181830
281,931286
282,681652
283,433289
284,189332
285,-53323
286,-291780
287,-527657
288,-755944
289,-978356
290,-1191941
291,-1396699
292,-1567337
293,-1689521
294,-1758651
295,-1775588
296,-1739588
297,-1650671
298,-1510862
299,-1326573
300,-1132363
301,-940449
302,-750398
303,-563779
304,-379238
305,-196487
306,-17079
307,161523
308,336015
309,508390
310,677832
311,843981
312,1007478
313,1168243
314,1326284
315,1481675
316,1634182
317,1783830
318,1932060
319,2075977
320,2219283
321,2357732
322,2496660
323,2631092
324,2765082
325,2884729
326,2972537
327,3034622
328,3072091
329,3087604
330,3081651
331,3058107
332,3016590
333,2960702
334,2889660
335,2808643
336,2715725
337,2614369
338,2504026
339,2388120
340,2266181
341,2140080
342,2009539
343,1876277
344,1740600
345,1602620
346,1464320
347,1324165
348,1184300
349,1044915
350,907364
351,771381
352,637991
353,507929
354,382667
355,262788
356,148580
357,42290
358,-55715
359,-144629
360,-224059
361,-292712
362,-349356
363,-395633
364,-430401
365,-454388
366,-467229
367,-469324
368,-462162
369,-445826
370,-421580
371,-391064
372,-355176
373,-315645
374,-274358
375,-232037
376,-190409
377,-151937
378,-116735
379,-89105
380,-66774
381,-54221
382,-50143
383,-56585
384,-74602
385,-103905
386,-144348
387,-196602
388,-260194
389,-333043
390,-416090
391,-506671
392,-604201
393,-707007
394,-812537
395,-920310
396,-1026934
397,-1132968
398,-1233422
399,-1329095
400,-1416685
401,-1495680
402,-1563874
403,-1620363
404,-1663221
405,-1693178
406,-1708243
407,-1708107
408,-1693866
409,-1663323
410,-1618800
411,-1558947
412,-1486164
413,-1399991
414,-1301612
415,-1191669
416,-1072420
417,-943977
418,-807813
419,-665627
420,-517961
421,-366170
422,-212869
423,-57667
424,97676
425,251048
426,402737
427,549568
428,692461
429,829200
430,960059
431,1082022
432,1197026
433,1302223
434,1399001
435,1485126
436,1561352
437,1627266
438,1681651
439,1725982
440,1758043
441,1779717
442,1789763
443,1788481
444,1775990
445,1753270
446,1718912
447,1675038
448,1620321
449,1556107
450,1482773
451,1400216
452,1310101
453,1211662
454,1106402
455,995171
456,877433
457,754614
458,628178
459,497717
460,364504
461,228796
462,92392
463,-45251
464,-181358
465,-316648
466,-449025
467,-578554
468,-704484
469,-825718
470,-941121
471,-1050118
472,-1153374
473,-1249265
474,-1338664
475,-1419573
476,-1493184
477,-1559409
478,-1617339
479,-1667366
480,-1711386
481,-1746785
482,-1774916
483,-1796643
484,-1813840
485,-1824410
486,-1830132
487,-1831772
488,-1829093
489,-1824741
490,-1817751
491,-1807505
492,-1798028
493,-1787672
494,-1776958
495,-1767293
496,-1758350
497,-1749591
498,-1742881
499,-1737084
500,-1734240
501,-1731349
502,-1729801
503,-1729590
504,-1729843
505,-1729992
506,-1729469
507,-1728697
508,-1725574
509,-1720860
510,-1713018
511,-1702249
