hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,13:49:44,hit_001_20260730_134944.csv,512,DEFECT,HIGH,0,78,110,787,500000,4205014,3517814,-4205014,487507.7,,695,92,坏棒 总长1002mm 轻轻敲 塑料头
2,13:49:45,hit_002_20260730_134945.csv,512,DEFECT,HIGH,0,76,112,752,500000,3764538,2230663,-3764538,-165540.7,,695,57,坏棒 总长1002mm 轻轻敲 塑料头
3,13:49:45,hit_003_20260730_134945.csv,512,DEFECT,HIGH,0,77,111,770,500000,3920619,2494724,-3920619,-32735.5,,695,75,坏棒 总长1002mm 轻轻敲 塑料头
4,13:49:46,hit_004_20260730_134946.csv,512,DEFECT,HIGH,0,77,111,770,500000,4166003,2664196,-4166003,-74793.0,,695,75,坏棒 总长1002mm 轻轻敲 塑料头
5,13:49:46,hit_005_20260730_134946.csv,512,DEFECT,HIGH,0,22,111,220,500000,4219876,2558132,-4219876,-233819.0,,695,-475,坏棒 总长1002mm 轻轻敲 塑料头
6,13:49:47,hit_006_20260730_134947.csv,512,DEFECT,HIGH,0,21,111,210,500000,4342159,2654790,-4342159,-174856.7,,695,-485,坏棒 总长1002mm 轻轻敲 塑料头
7,13:49:47,hit_007_20260730_134947.csv,512,DEFECT,HIGH,0,22,112,217,500000,4342599,2668136,-4342599,-184293.7,,695,-478,坏棒 总长1002mm 轻轻敲 塑料头
8,13:49:48,hit_008_20260730_134948.csv,512,DEFECT,HIGH,0,21,110,212,500000,4519679,3261620,-4519679,162795.7,,695,-483,坏棒 总长1002mm 轻轻敲 塑料头
9,13:49:49,hit_009_20260730_134949.csv,512,DEFECT,HIGH,0,21,110,212,500000,4516048,3301215,-4516048,147866.8,,695,-483,坏棒 总长1002mm 轻轻敲 塑料头
10,13:49:49,hit_010_20260730_134949.csv,512,DEFECT,HIGH,0,21,111,210,500000,4379825,2873441,-4379825,-63395.0,,695,-485,坏棒 总长1002mm 轻轻敲 塑料头
11,13:49:50,hit_011_20260730_134950.csv,512,DEFECT,HIGH,0,21,112,207,500000,3878649,2454119,-3878649,-215937.4,,695,-488,坏棒 总长1002mm 轻轻敲 塑料头
12,13:49:50,hit_012_20260730_134950.csv,512,DEFECT,HIGH,0,22,112,217,500000,4458109,2765663,-4458109,-104279.4,,695,-478,坏棒 总长1002mm 轻轻敲 塑料头
13,13:49:51,hit_013_20260730_134951.csv,512,DEFECT,HIGH,0,21,111,210,500000,4346048,2656118,-4346048,-183376.1,,695,-485,坏棒 总长1002mm 轻轻敲 塑料头
14,13:49:51,hit_014_20260730_134951.csv,512,DEFECT,HIGH,0,23,113,225,500000,4442525,2664057,-4442525,-200029.3,,695,-470,坏棒 总长1002mm 轻轻敲 塑料头
15,13:49:52,hit_015_20260730_134952.csv,512,DEFECT,HIGH,0,22,111,220,500000,4711371,3297662,-4711371,130062.5,,695,-475,坏棒 总长1002mm 轻轻敲 塑料头
16,13:49:52,hit_016_20260730_134952.csv,512,DEFECT,HIGH,0,23,112,227,500000,4283138,2668751,-4283138,-278021.0,,695,-468,坏棒 总长1002mm 轻轻敲 塑料头
17,13:49:53,hit_017_20260730_134953.csv,512,DEFECT,HIGH,0,23,112,227,500000,4745572,3033231,-4745572,-65973.8,,695,-468,坏棒 总长1002mm 轻轻敲 塑料头
18,13:49:53,hit_018_20260730_134953.csv,512,DEFECT,HIGH,0,22,113,215,500000,3981396,2514892,-3981396,-215159.5,,695,-480,坏棒 总长1002mm 轻轻敲 塑料头
19,13:49:54,hit_019_20260730_134954.csv,512,DEFECT,HIGH,0,24,114,233,500000,3056754,2693400,-3056754,-128827.9,,695,-462,坏棒 总长1002mm 轻轻敲 塑料头
20,13:49:54,hit_020_20260730_134954.csv,512,DEFECT,HIGH,0,24,113,235,500000,4687217,2923079,-4687217,-193783.9,,695,-460,坏棒 总长1002mm 轻轻敲 塑料头
21,13:49:55,hit_021_20260730_134955.csv,512,DEFECT,HIGH,0,35,114,339,500000,3206963,2371085,-3206963,-168503.5,,695,-356,坏棒 总长1002mm 轻轻敲 塑料头
22,13:49:56,hit_022_20260730_134956.csv,512,DEFECT,HIGH,0,22,112,217,500000,4196775,2589936,-4196775,-199640.5,,695,-478,坏棒 总长1002mm 轻轻敲 塑料头
23,13:49:56,hit_023_20260730_134956.csv,512,DEFECT,HIGH,0,22,112,217,500000,4491482,2718908,-4491482,-180547.3,,695,-478,坏棒 总长1002mm 轻轻敲 塑料头
24,13:49:57,hit_024_20260730_134957.csv,512,DEFECT,HIGH,0,22,112,217,500000,4441557,2689947,-4441557,-215735.6,,695,-478,坏棒 总长1002mm 轻轻敲 塑料头
25,13:49:58,hit_025_20260730_134958.csv,512,DEFECT,HIGH,0,22,112,217,500000,4471786,2769132,-4471786,-137120.0,,695,-478,坏棒 总长1002mm 轻轻敲 塑料头
26,13:49:58,hit_026_20260730_134958.csv,512,DEFECT,HIGH,0,22,112,217,500000,4435333,2724386,-4435333,-223467.1,,695,-478,坏棒 总长1002mm 轻轻敲 塑料头
27,13:49:59,hit_027_20260730_134959.csv,512,DEFECT,HIGH,0,22,112,217,500000,4508784,2787891,-4508784,-158559.5,,695,-478,坏棒 总长1002mm 轻轻敲 塑料头
28,13:49:59,hit_028_20260730_134959.csv,512,DEFECT,HIGH,0,22,112,217,500000,4417228,2824723,-4417228,-114925.0,,695,-478,坏棒 总长1002mm 轻轻敲 塑料头
29,13:50:00,hit_029_20260730_135000.csv,512,DEFECT,HIGH,0,22,113,215,500000,4390708,2698792,-4390708,-197365.7,,695,-480,坏棒 总长1002mm 轻轻敲 塑料头
30,13:50:01,hit_030_20260730_135001.csv,512,DEFECT,HIGH,0,22,113,215,500000,4100477,2624742,-4100477,-205142.8,,695,-480,坏棒 总长1002mm 轻轻敲 塑料头
31,13:50:01,hit_031_20260730_135001.csv,512,DEFECT,HIGH,0,22,113,215,500000,4111167,2568274,-4111167,-235682.6,,695,-480,坏棒 总长1002mm 轻轻敲 塑料头
32,13:50:02,hit_032_20260730_135002.csv,512,DEFECT,HIGH,0,43,115,413,500000,3590875,2770044,-3590875,-221416.9,,695,-282,坏棒 总长1002mm 轻轻敲 塑料头
33,13:50:02,hit_033_20260730_135002.csv,512,DEFECT,HIGH,0,24,114,233,500000,3885551,2577073,-3885551,-241791.5,,695,-462,坏棒 总长1002mm 轻轻敲 塑料头
34,13:50:03,hit_034_20260730_135003.csv,512,DEFECT,HIGH,0,23,113,225,500000,4413823,2681415,-4413823,-242298.0,,695,-470,坏棒 总长1002mm 轻轻敲 塑料头
35,13:50:04,hit_035_20260730_135004.csv,512,DEFECT,HIGH,0,23,113,225,500000,4516676,2715969,-4516676,-260044.9,,695,-470,坏棒 总长1002mm 轻轻敲 塑料头
36,13:50:04,hit_036_20260730_135004.csv,512,DEFECT,HIGH,0,23,113,225,500000,4336494,2687834,-4336494,-253721.4,,695,-470,坏棒 总长1002mm 轻轻敲 塑料头
37,13:50:05,hit_037_20260730_135005.csv,512,DEFECT,HIGH,0,22,112,217,500000,4465790,2733533,-4465790,-213812.2,,695,-478,坏棒 总长1002mm 轻轻敲 塑料头
38,13:50:05,hit_038_20260730_135005.csv,512,DEFECT,HIGH,0,21,112,207,500000,4303711,2651190,-4303711,-178920.9,,695,-488,坏棒 总长1002mm 轻轻敲 塑料头
39,13:50:06,hit_039_20260730_135006.csv,512,DEFECT,HIGH,0,23,112,227,500000,4651127,2960818,-4651127,-107238.9,,695,-468,坏棒 总长1002mm 轻轻敲 塑料头
40,13:50:06,hit_040_20260730_135006.csv,512,DEFECT,HIGH,0,40,114,388,500000,4019289,2721486,-4019289,-256022.8,,695,-307,坏棒 总长1002mm 轻轻敲 塑料头
41,13:50:07,hit_041_20260730_135007.csv,512,DEFECT,HIGH,0,24,115,230,500000,3482465,2617464,-3482465,-196259.3,,695,-465,坏棒 总长1002mm 轻轻敲 塑料头
42,13:50:11,hit_042_20260730_135011.csv,512,DEFECT,HIGH,0,24,113,235,500000,4278504,2815981,-4278504,-234073.3,,695,-460,坏棒 总长1002mm 轻轻敲 塑料头
43,13:50:15,hit_043_20260730_135015.csv,512,DEFECT,HIGH,0,36,115,346,500000,2628189,2628189,-2173863,-61786.5,,695,-349,坏棒 总长1002mm 轻轻敲 塑料头
44,13:50:16,hit_044_20260730_135016.csv,512,DEFECT,HIGH,0,21,114,203,500000,4118904,2587345,-4118904,-204316.0,,695,-492,坏棒 总长1002mm 轻轻敲 塑料头
45,13:50:17,hit_045_20260730_135017.csv,512,DEFECT,HIGH,0,80,113,784,500000,3990421,2902830,-3990421,155309.4,,695,89,坏棒 总长1002mm 轻轻敲 塑料头
46,13:50:18,hit_046_20260730_135018.csv,512,DEFECT,HIGH,0,78,113,764,500000,3636535,2401474,-3636535,-41548.8,,695,69,坏棒 总长1002mm 轻轻敲 塑料头
47,13:50:19,hit_047_20260730_135019.csv,512,DEFECT,HIGH,0,28,110,282,500000,1375339,1375339,-1123794,-29208.8,,695,-413,坏棒 总长1002mm 轻轻敲 塑料头
48,13:50:19,hit_048_20260730_135019.csv,512,DEFECT,HIGH,0,79,114,766,500000,3613196,2300959,-3613196,-85426.3,,695,71,坏棒 总长1002mm 轻轻敲 塑料头
49,13:50:20,hit_049_20260730_135020.csv,512,DEFECT,HIGH,0,27,113,264,500000,1946671,1946671,-1800470,-38115.7,,695,-431,坏棒 总长1002mm 轻轻敲 塑料头
50,13:50:20,hit_050_20260730_135020.csv,512,DEFECT,HIGH,0,29,114,281,500000,2459274,1951216,-2459274,-87613.0,,695,-414,坏棒 总长1002mm 轻轻敲 塑料头
51,13:50:21,hit_051_20260730_135021.csv,512,DEFECT,HIGH,0,28,113,274,500000,2001664,2001664,-1897581,-43841.9,,695,-421,坏棒 总长1002mm 轻轻敲 塑料头
52,13:50:22,hit_052_20260730_135022.csv,512,DEFECT,HIGH,0,29,115,278,500000,2553129,1914023,-2553129,-90519.1,,695,-417,坏棒 总长1002mm 轻轻敲 塑料头
53,13:50:22,hit_053_20260730_135022.csv,512,DEFECT,HIGH,0,28,114,271,500000,2228889,1956623,-2228889,-61016.5,,695,-424,坏棒 总长1002mm 轻轻敲 塑料头
54,13:50:23,hit_054_20260730_135023.csv,512,DEFECT,HIGH,0,32,115,307,500000,2140765,2140765,-1875061,-29976.7,,695,-388,坏棒 总长1002mm 轻轻敲 塑料头
55,13:50:23,hit_055_20260730_135023.csv,512,DEFECT,HIGH,0,32,115,307,500000,3193181,2188156,-3193181,-144543.5,,695,-388,坏棒 总长1002mm 轻轻敲 塑料头
56,13:50:24,hit_056_20260730_135024.csv,512,DEFECT,HIGH,0,80,115,750,500000,3148288,2129986,-3148288,-150971.0,,695,55,坏棒 总长1002mm 轻轻敲 塑料头
57,13:50:24,hit_057_20260730_135024.csv,512,DEFECT,HIGH,0,32,115,307,500000,2958520,2118121,-2958520,-131776.9,,695,-388,坏棒 总长1002mm 轻轻敲 塑料头
