# note,坏棒 总长 1002m 任意重度敲 塑料头
# rod_len_mm,
# defect_true_mm,695
# err_mm,
# time,2026-07-30 14:22:53
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,109
# distance_mm,0
# threshold,500000
# peak_abs,5441234
index,raw24
0,-23789
1,-23706
2,-23887
3,-23308
4,-23705
5,-23334
6,-23227
7,-23656
8,-23806
9,-23995
10,-23920
11,-24045
12,-23962
13,-23583
14,-23588
15,-23817
16,-23582
17,-23379
18,-23552
19,-23757
20,-23963
21,-23240
22,-23749
23,-23546
24,-23911
25,-23492
26,-23705
27,-24174
28,-23955
29,-23960
30,-23901
31,-23867
32,-24504
33,-23997
34,-24586
35,-24639
36,-24540
37,-24529
38,-24502
39,-24691
40,-24840
41,-24996
42,-24665
43,-24686
44,-24875
45,-25320
46,-25541
47,-25746
48,-25607
49,-25740
50,-25249
51,-25422
52,-25234
53,-25767
54,-25852
55,-26729
56,-26822
57,-27962
58,-28439
59,-26139
60,-17088
61,-115758
62,-350216
63,-582229
64,-805374
65,-1017788
66,-1225048
67,-1427330
68,-1626780
69,-1822613
70,-2014439
71,-2202937
72,-2387428
73,-2569320
74,-2752447
75,-2943703
76,-3113367
77,-3133275
78,-2954309
79,-2734268
80,-2521638
81,-2308995
82,-2099665
83,-1892592
84,-1688193
85,-1485955
86,-1287422
87,-1089697
88,-895564
89,-704118
90,-515272
91,-329617
92,-146585
93,32449
94,208861
95,366779
96,455822
97,531735
98,613790
99,723883
100,880411
101,1042063
102,1200664
103,1357285
104,1510312
105,1651943
106,1737518
107,1802249
108,1878765
109,1974952
110,2096783
111,2237919
112,2375302
113,2513596
114,2621089
115,2668305
116,2691963
117,2727547
118,2796734
119,2892424
120,2993687
121,3087482
122,3177041
123,3259613
124,3335223
125,3399544
126,3455145
127,3504923
128,3546687
129,3565342
130,3545795
131,3477794
132,3360170
133,3202487
134,2999720
135,2753514
136,2491066
137,2230914
138,1972378
139,1720393
140,1486759
141,1322817
142,1255272
143,1298175
144,1437464
145,1593841
146,1745566
147,1895977
148,2043330
149,2189536
150,2333285
151,2475000
152,2613858
153,2751451
154,2885251
155,3017747
156,3146002
157,3274514
158,3396506
159,3522260
160,3601198
161,3537854
162,3319046
163,3036521
164,2762007
165,2491701
166,2232461
167,1978869
168,1733219
169,1491471
170,1254865
171,1018776
172,787412
173,558196
174,333344
175,109031
176,-109663
177,-328649
178,-540121
179,-759535
180,-970450
181,-1202108
182,-1277177
183,-1090189
184,-899384
185,-702986
186,-514852
187,-324086
188,-139182
189,45227
190,225829
191,405514
192,580432
193,753257
194,922629
195,1088893
196,1252408
197,1412535
198,1569947
199,1724723
200,1877296
201,2026923
202,2172644
203,2316522
204,2457848
205,2596108
206,2732423
207,2865017
208,2996227
209,3124150
210,3250952
211,3373587
212,3495616
213,3608541
214,3681556
215,3725907
216,3762668
217,3804705
218,3862400
219,3938001
220,4033424
221,4143204
222,4253482
223,4362259
224,4468358
225,4572669
226,4676326
227,4770100
228,4837949
229,4881583
230,4904051
231,4906644
232,4897957
233,4877903
234,4851732
235,4815844
236,4772408
237,4718289
238,4651441
239,4569185
240,4467587
241,4348802
242,4215487
243,4074077
244,3927643
245,3784380
246,3651550
247,3540168
248,3459064
249,3418850
250,3427928
251,3495318
252,3613035
253,3734722
254,3854866
255,3973044
256,4090599
257,4206059
258,4320394
259,4433186
260,4543549
261,4653627
262,4760115
263,4866165
264,4968707
265,5070293
266,5168426
267,5265691
268,5360056
269,5441234
270,5413170
271,5239653
272,4956981
273,4654952
274,4359800
275,4069604
276,3788011
277,3510972
278,3241120
279,2974916
280,2714465
281,2456270
282,2202658
283,1951581
284,1703543
285,1455847
286,1209661
287,963121
288,718220
289,479948
290,343233
291,410455
292,581637
293,749966
294,917411
295,1081523
296,1243647
297,1402999
298,1560364
299,1715061
300,1867140
301,2017752
302,2165065
303,2310601
304,2452575
305,2593196
306,2730327
307,2866162
308,2999788
309,3130862
310,3259856
311,3386242
312,3510820
313,3633256
314,3753572
315,3871698
316,3987929
317,4101890
318,4214710
319,4323531
320,4432451
321,4538790
322,4643276
323,4746221
324,4847546
325,4946658
326,5025087
327,5077945
328,5108261
329,5118070
330,5108093
331,5080405
332,5032769
333,4967147
334,4879988
335,4774169
336,4648578
337,4504162
338,4343029
339,4164410
340,3971966
341,3767041
342,3552917
343,3329868
344,3103133
345,2872586
346,2643708
347,2417913
348,2199106
349,1988669
350,1789258
351,1603952
352,1434140
353,1283549
354,1150888
355,1039708
356,952221
357,890481
358,855260
359,848620
360,871724
361,924706
362,1009425
363,1125461
364,1269108
365,1425009
366,1577019
367,1727571
368,1875360
369,2020891
370,2163604
371,2304772
372,2443034
373,2579944
374,2713485
375,2845738
376,2974983
377,3101747
378,3224601
379,3310647
380,3348075
381,3337530
382,3279619
383,3173274
384,3022983
385,2831270
386,2600860
387,2346479
388,2089760
389,1833425
390,1578282
391,1326409
392,1078255
393,833163
394,594278
395,361605
396,147537
397,-26969
398,-153766
399,-227779
400,-247127
401,-208697
402,-113352
403,36694
404,212434
