# note,坏棒 总长 1002m 任意重度敲 塑料头
# rod_len_mm,
# defect_true_mm,695
# err_mm,-458
# time,2026-07-30 14:18:02
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,24
# bottom_index,112
# distance_mm,237
# threshold,500000
# peak_abs,5014601
index,raw24
0,1987
1,2387
2,2483
3,2682
4,2602
5,2842
6,2633
7,3201
8,2945
9,2568
10,3048
11,2744
12,3431
13,3079
14,2894
15,2958
16,2718
17,3469
18,2949
19,2964
20,2844
21,3412
22,3363
23,3291
24,3058
25,3026
26,3098
27,3217
28,2841
29,2744
30,3136
31,3120
32,3455
33,3287
34,3646
35,3238
36,3470
37,3533
38,3461
39,2844
40,2940
41,3148
42,3099
43,3211
44,2570
45,3162
46,3194
47,3537
48,3521
49,3928
50,3880
51,3943
52,4655
53,4710
54,4686
55,4429
56,4892
57,4308
58,5867
59,10283
60,-6311
61,-146494
62,-382332
63,-616805
64,-849098
65,-1073770
66,-1293095
67,-1506769
68,-1715505
69,-1920832
70,-2124270
71,-2324746
72,-2521646
73,-2717387
74,-2909559
75,-3100556
76,-3288153
77,-3473968
78,-3656024
79,-3835033
80,-4012117
81,-4185059
82,-4356605
83,-4522857
84,-4690185
85,-4849636
86,-5005940
87,-5014601
88,-4804845
89,-4563018
90,-4327821
91,-4094789
92,-3865745
93,-3641321
94,-3419269
95,-3200675
96,-2984837
97,-2772896
98,-2560302
99,-2352613
100,-2147422
101,-1945336
102,-1745522
103,-1549261
104,-1354520
105,-1162923
106,-972693
107,-786510
108,-601454
109,-419948
110,-238985
111,-63644
112,113708
113,253438
114,357775
115,453315
116,521508
117,569348
118,598255
119,639374
120,714304
121,820856
122,928468
123,1020443
124,1084798
125,1127586
126,1153296
127,1173187
128,1193756
129,1218154
130,1242222
131,1260230
132,1255548
133,1216427
134,1143822
135,1045819
136,934515
137,821673
138,715309
139,619725
140,539746
141,483080
142,453493
143,451685
144,474654
145,520700
146,581829
147,658054
148,744125
149,838218
150,939684
151,1049513
152,1167777
153,1295411
154,1430804
155,1571214
156,1714750
157,1858653
158,1999202
159,2131150
160,2243602
161,2328368
162,2372163
163,2365786
164,2293961
165,2147721
166,1918819
167,1659680
168,1399886
169,1143251
170,892199
171,645458
172,402244
173,163899
174,-69986
175,-300033
176,-526300
177,-749692
178,-969417
179,-1186306
180,-1399825
181,-1611222
182,-1818866
183,-2026492
184,-2229092
185,-2431228
186,-2629011
187,-2820362
188,-2954594
189,-2962945
190,-2836440
191,-2625918
192,-2415341
193,-2206406
194,-2001737
195,-1796860
196,-1596865
197,-1397294
198,-1201316
199,-1006137
200,-814110
201,-624395
202,-436774
203,-251177
204,-68610
205,112062
206,289672
207,464485
208,636828
209,805911
210,971836
211,1134909
212,1295507
213,1452781
214,1608475
215,1759703
216,1909152
217,2055583
218,2198964
219,2340808
220,2479354
221,2615211
222,2747980
223,2879757
224,3007021
225,3135462
226,3243591
227,3320851
228,3375550
229,3412954
230,3435673
231,3447678
232,3454001
233,3454291
234,3450966
235,3443280
236,3432100
237,3413153
238,3386520
239,3347267
240,3297146
241,3232328
242,3155141
243,3067004
244,2968438
245,2863611
246,2755390
247,2647221
248,2543106
249,2448052
250,2365673
251,2302656
252,2260047
253,2242819
254,2252833
255,2290502
256,2356679
257,2450015
258,2569260
259,2703618
260,2838504
261,2971294
262,3101723
263,3230656
264,3356670
265,3481052
266,3602395
267,3722307
268,3839213
269,3955640
270,4046701
271,4095871
272,4100475
273,4056855
274,3962088
275,3814076
276,3612738
277,3360945
278,3090495
279,2819758
280,2547718
281,2279287
282,2014848
283,1753666
284,1496252
285,1242062
286,991438
287,742485
288,496882
289,253758
290,13239
291,-223739
292,-458224
293,-682392
294,-895492
295,-1064655
