# note,坏棒 总长 1002m 任意重度敲 塑料头
# rod_len_mm,
# defect_true_mm,695
# err_mm,90
# time,2026-07-30 14:18:42
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,77
# bottom_index,109
# distance_mm,785
# threshold,500000
# peak_abs,4952611
index,raw24
0,749
1,957
2,685
3,557
4,669
5,885
6,932
7,1220
8,636
9,1004
10,1620
11,468
12,1116
13,676
14,595
15,795
16,459
17,1259
18,651
19,827
20,611
21,1139
22,579
23,538
24,594
25,626
26,394
27,322
28,898
29,714
30,874
31,514
32,418
33,690
34,313
35,113
36,689
37,457
38,345
39,377
40,161
41,417
42,-183
43,57
44,-79
45,25
46,-63
47,-143
48,377
49,345
50,337
51,185
52,369
53,601
54,305
55,-47
56,345
57,6865
58,11720
59,-35442
60,-180621
61,-345647
62,-443901
63,-560039
64,-782067
65,-1005603
66,-1219928
67,-1427883
68,-1632773
69,-1834526
70,-2033190
71,-2234934
72,-2437485
73,-2631603
74,-2828138
75,-3017201
76,-3201608
77,-3378537
78,-3554861
79,-3718147
80,-3889069
81,-4042026
82,-4225053
83,-4178401
84,-3926611
85,-3705332
86,-3473263
87,-3255519
88,-3036058
89,-2824303
90,-2612367
91,-2404480
92,-2196930
93,-1991566
94,-1787547
95,-1587057
96,-1390879
97,-1199061
98,-1008971
99,-821208
100,-634267
101,-450150
102,-268103
103,-89198
104,88405
105,261890
106,433106
107,601429
108,767444
109,931022
110,1092940
111,1225815
112,1212857
113,1141157
114,1138962
115,1251567
116,1409366
117,1561450
118,1713323
119,1841082
120,1894977
121,1891498
122,1876603
123,1894710
124,1968535
125,2079830
126,2177945
127,2224503
128,2205143
129,2133474
130,2038637
131,1926909
132,1794849
133,1646926
134,1487661
135,1327224
136,1182838
137,1069405
138,1004867
139,996888
140,1044910
141,1140527
142,1262915
143,1392753
144,1525591
145,1658365
146,1791218
147,1926624
148,2066413
149,2207064
150,2348851
151,2486668
152,2623301
153,2756548
154,2888252
155,3017299
156,3143259
157,3268427
158,3384772
159,3448559
160,3432642
161,3326911
162,3109961
163,2836677
164,2562843
165,2294458
166,2032682
167,1778042
168,1528361
169,1284638
170,1044233
171,808018
172,574111
173,342825
174,112607
175,-114951
176,-340649
177,-564791
178,-785986
179,-1007098
180,-1224791
181,-1442770
182,-1654761
183,-1866487
184,-2017844
185,-1992405
186,-1810010
187,-1606901
188,-1407409
189,-1210157
190,-1014353
191,-821293
192,-630249
193,-441716
194,-254318
195,-69919
196,112305
197,291076
198,467384
199,640759
200,810601
201,978198
202,1142174
203,1303859
204,1462276
205,1618017
206,1771020
207,1922035
208,2069433
209,2214668
210,2357366
211,2497038
212,2635253
213,2769380
214,2902289
215,3031111
216,3159541
217,3283355
218,3406715
219,3527379
220,3645988
221,3739087
222,3797759
223,3832495
224,3848131
225,3854109
226,3856223
227,3863320
228,3878369
229,3907719
230,3951250
231,4006368
232,4066023
233,4121902
234,4165807
235,4189355
236,4187987
237,4154748
238,4089777
239,3991342
240,3866910
241,3720854
242,3563064
243,3402461
244,3249902
245,3115985
246,3011797
247,2945197
248,2918989
249,2938281
250,3002418
251,3110956
252,3240176
253,3367125
254,3493057
255,3615567
256,3737910
257,3857197
258,3975967
259,4091409
260,4206742
261,4318300
262,4428861
263,4535632
264,4641903
265,4744328
266,4846957
267,4934413
268,4952611
269,4889942
270,4742113
271,4507382
272,4220560
273,3932309
274,3644629
275,3364856
276,3087773
277,2816732
278,2549572
279,2286717
280,2027286
281,1770903
282,1518350
283,1267965
284,1020922
285,774350
286,531135
287,289470
288,50251
289,-184907
290,-401909
291,-548060
292,-588137
293,-527121
294,-367761
295,-183604
296,-3133
297,174923
298,351310
299,523875
300,694571
301,862638
302,1027693
303,1190775
304,1350326
305,1507513
306,1661705
307,1813934
308,1962785
309,2109433
310,2253680
311,2395989
312,2535624
313,2673315
314,2807916
315,2941221
316,3071174
317,3199871
318,3326433
319,3450323
320,3572502
321,3691433
322,3809959
323,3925502
324,4039439
325,4150753
326,4261815
327,4357310
328,4409931
329,4426376
330,4410340
331,4365705
332,4294365
333,4201752
334,4087839
335,3958148
336,3811913
337,3653328
338,3480994
339,3299681
340,3108806
341,2911707
342,2706727
343,2497205
344,2281916
345,2062909
346,1842025
347,1619121
348,1395867
349,1174529
350,957521
351,746492
352,544105
353,351255
354,172004
355,6335
356,-142746
357,-274561
358,-386951
359,-479824
360,-550893
361,-599770
362,-626993
363,-632892
364,-617159
365,-581916
366,-528388
367,-458276
368,-374948
369,-279558
370,-175652
371,-64983
372,48177
373,162763
374,273144
375,378142
376,474056
377,558678
378,629234
379,684325
380,720354
381,737754
382,735560
383,713270
384,670239
385,608037
386,527883
387,431626
388,319421
389,195094
390,60927
391,-80361
392,-226151
393,-372707
394,-517014
395,-655551
396,-784855
397,-902863
398,-1004777
399,-1091006
400,-1156169
401,-1201300
402,-1222313
403,-1219388
404,-1190751
405,-1137582
406,-1057659
407,-953202
408,-824221
409,-671617
410,-497367
411,-315626
412,-135531
413,42397
414,216688
415,389302
416,558382
417,725186
418,888849
419,1050237
420,1208485
421,1364569
422,1516778
423,1668073
424,1815854
425,1961696
426,2104632
427,2245728
428,2384661
429,2521154
430,2655878
431,2787866
432,2918014
433,3045850
434,3171998
435,3295859
436,3418216
437,3538455
438,3656143
439,3772721
440,3879356
441,3961579
442,4021343
443,4060556
444,4077180
445,4075835
446,4053553
447,4013002
448,3953168
449,3876630
450,3783317
451,3674199
452,3550142
453,3412981
454,3261348
455,3098110
456,2923804
457,2739439
458,2545569
459,2342122
460,2133892
461,1918471
462,1700149
463,1479062
464,1257193
465,1034968
466,816137
467,600902
468,390188
469,186901
470,-8642
471,-193825
472,-369138
473,-531556
474,-681388
475,-817976
476,-940629
477,-1049930
478,-1145897
479,-1229694
480,-1300359
481,-1360401
482,-1409227
483,-1449183
484,-1479926
485,-1504105
486,-1522017
487,-1535152
488,-1545316
489,-1553728
490,-1559682
491,-1566643
492,-1572940
493,-1581156
494,-1590651
495,-1602881
496,-1617213
497,-1633192
498,-1652272
499,-1672783
500,-1695490
501,-1718555
502,-1741554
503,-1764381
504,-1784654
505,-1802492
506,-1816440
507,-1825434
508,-1827971
509,-1824460
510,-1812821
511,-1793016
