# note,坏棒 总长 1002m 任意重度敲 塑料头
# rod_len_mm,
# defect_true_mm,695
# err_mm,
# time,2026-07-30 14:21:18
# points,512
# state,INVALID
# confidence,NONE
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,581928
# peak_abs,911714
index,raw24
0,176442
1,164636
2,151672
3,138878
4,125677
5,110565
6,96112
7,80404
8,62930
9,46506
10,28453
11,9857
12,-9480
13,-29703
14,-49891
15,-70877
16,-92748
17,-114569
18,-136211
19,-158122
20,-179703
21,-201625
22,-221960
23,-242213
24,-261944
25,-280416
26,-297389
27,-312865
28,-327267
29,-339859
30,-350609
31,-358471
32,-364899
33,-368142
34,-369625
35,-367436
36,-363487
37,-356203
38,-346407
39,-333453
40,-317604
41,-298798
42,-277305
43,-253263
44,-225416
45,-196005
46,-163589
47,-129209
48,-91673
49,-53174
50,-12439
51,29370
52,72695
53,116998
54,161711
55,207196
56,252890
57,298179
58,343335
59,387165
60,430966
61,473321
62,514615
63,554121
64,592237
65,628885
66,662952
67,694991
68,724730
69,752746
70,778222
71,802007
72,822525
73,840680
74,857602
75,871217
76,883087
77,892635
78,900262
79,906184
80,909545
81,911714
82,910875
83,910436
84,907885
85,902854
86,896992
87,890426
88,881797
89,872738
90,863047
91,851518
92,839174
93,826711
94,813802
95,799967
96,785781
97,771069
98,756199
99,740667
100,725897
101,710072
102,694825
103,678628
104,662538
105,647017
106,630106
107,613829
108,596922
109,580825
110,564074
111,547293
112,530386
113,513330
114,495291
115,478062
116,460500
117,441876
118,424062
119,405234
120,386505
121,367009
122,348213
123,328106
124,308722
125,288220
126,267609
127,248168
128,227514
129,207398
130,187957
131,168654
132,148697
133,130503
134,111967
135,94898
136,77814
137,62629
138,47541
139,34367
140,22115
141,11568
142,2151
143,-5834
144,-11657
145,-15871
146,-18702
147,-20259
148,-19097
149,-16958
150,-12668
151,-7307
152,542
153,10182
154,21205
155,32786
156,46958
157,62016
158,77585
159,94927
160,112548
161,130814
162,149710
163,168908
164,187959
165,207600
166,226895
167,245979
168,264741
169,282621
170,300042
171,316750
172,332495
173,346878
174,360604
175,372480
176,383514
177,393740
178,402012
179,408530
180,413977
181,418494
182,421635
183,423175
184,422460
185,420952
186,418837
187,415082
188,410263
189,403973
190,396395
191,388259
192,378852
193,368421
194,357232
195,344853
196,332459
197,319098
198,305067
199,290718
200,275554
201,260201
202,244481
203,228379
204,211503
205,195381
206,178933
207,162160
208,145580
209,128658
210,112666
211,95652
212,79649
213,63335
214,46983
215,31553
216,15934
217,268
218,-14844
219,-28883
220,-43991
221,-58210
222,-71931
223,-86082
224,-99271
225,-113203
226,-125997
227,-139038
228,-151669
229,-164418
230,-176494
231,-188489
232,-200394
233,-212961
234,-224343
235,-236148
236,-247903
237,-259217
238,-270361
239,-280816
240,-291198
241,-301330
242,-311005
243,-320871
244,-330336
245,-339248
246,-346918
247,-354556
248,-362241
249,-368892
250,-374943
251,-380754
252,-385427
253,-389788
254,-393997
255,-396956
256,-398956
257,-400179
258,-401154
259,-401289
260,-399928
261,-398439
262,-395935
263,-392246
264,-388239
265,-383887
266,-378944
267,-372754
268,-366028
269,-359328
270,-352116
271,-343881
272,-335559
273,-327126
274,-318734
275,-309719
276,-301169
277,-292228
278,-283073
279,-274902
280,-265925
