# note,坏棒 总长 1002m 任意重度敲 塑料头
# rod_len_mm,
# defect_true_mm,695
# err_mm,-410
# time,2026-07-30 14:21:28
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,30
# bottom_index,0
# distance_mm,285
# threshold,500000
# peak_abs,906560
index,raw24
0,3895
1,4127
2,4118
3,4334
4,3893
5,3861
6,3964
7,3972
8,4323
9,4331
10,4122
11,3874
12,4233
13,3960
14,3816
15,3440
16,3823
17,3127
18,3454
19,3678
20,3493
21,2949
22,3556
23,2812
24,2924
25,2787
26,2155
27,1659
28,842
29,58
30,-1070
31,-2678
32,-4797
33,-7661
34,-12732
35,-18090
36,-25776
37,-34701
38,-45168
39,-57563
40,-71492
41,-86731
42,-102185
43,-119732
44,-137045
45,-156685
46,-176650
47,-198324
48,-220524
49,-245169
50,-269835
51,-294914
52,-320686
53,-347207
54,-373292
55,-398735
56,-423622
57,-448274
58,-472676
59,-495162
60,-518445
61,-540286
62,-560924
63,-579944
64,-596081
65,-610928
66,-623013
67,-633201
68,-641148
69,-646078
70,-649151
71,-649008
72,-646712
73,-641865
74,-633619
75,-623510
76,-609945
77,-594751
78,-577286
79,-557248
80,-535268
81,-511411
82,-484740
83,-457089
84,-427289
85,-396541
86,-363028
87,-329272
88,-293840
89,-258796
90,-224420
91,-189433
92,-154922
93,-119879
94,-84912
95,-51094
96,-17264
97,15682
98,47928
99,78859
100,108705
101,135892
102,161147
103,184327
104,205177
105,224768
106,241828
107,257287
108,270063
109,280190
110,289076
111,296361
112,302221
113,306416
114,309986
115,311933
116,313046
117,313112
118,311458
119,309460
120,306702
121,303065
122,299700
123,295591
124,290563
125,284135
126,278157
127,272379
128,267146
129,262249
130,257185
131,252674
132,248299
133,244564
134,240670
135,236513
136,231588
137,227296
138,221324
139,215729
140,209063
141,201245
142,192357
143,183013
144,171847
145,159466
146,146118
147,130212
148,113029
149,95039
150,75795
151,54490
152,32299
153,8695
154,-16146
155,-41792
156,-69363
157,-96434
158,-125038
159,-154111
160,-183268
161,-212366
162,-241708
163,-270047
164,-298150
165,-325105
166,-350929
167,-374719
168,-396865
169,-417792
170,-434941
171,-450168
172,-462889
173,-473193
174,-479207
175,-482701
176,-482762
177,-479023
178,-472148
179,-461130
180,-446570
181,-428140
182,-406607
183,-380846
184,-352319
185,-319940
186,-284701
187,-247378
188,-206108
189,-163115
190,-117727
191,-70225
192,-21224
193,29075
194,80111
195,131205
196,183957
197,235151
198,286426
199,336887
200,386414
201,434879
202,482114
203,527167
204,569942
205,611457
206,649942
207,686087
208,719787
209,750667
210,778519
211,803800
212,826070
213,845169
214,861626
215,874889
216,886598
217,894778
218,901053
219,904527
220,906560
221,905282
222,902115
223,897997
224,891879
225,883786
226,874927
227,864636
228,853106
229,840674
230,827563
231,813606
232,799499
233,784473
234,769842
235,755084
236,740063
237,724909
238,711421
239,696846
240,682673
241,668645
242,655068
243,641924
244,629165
245,615929
246,602909
247,589972
248,576964
249,563189
250,550369
251,536269
252,522012
253,507740
254,492630
255,477362
256,461448
257,444079
258,427089
259,409221
260,390619
261,371875
262,351774
263,330579
264,310187
265,287893
266,265378
267,242473
268,219643
269,196305
270,173545
271,149668
272,126889
273,104098
274,81901
275,60499
276,39860
277,19887
278,1028
279,-16588
280,-31994
281,-46518
282,-59256
283,-69001
284,-77881
285,-84991
286,-89797
287,-92026
288,-92966
289,-90427
290,-86808
291,-80461
292,-71940
293,-61867
294,-49539
295,-34397
296,-18977
297,-911
298,18034
299,38415
300,60387
301,82635
302,105657
303,129620
304,153860
305,178018
306,202444
307,226539
308,250704
309,273297
310,295672
311,317395
312,338109
313,357003
314,375432
315,391874
316,407290
317,420784
318,432781
319,443136
320,452138
321,458771
322,464115
323,467410
324,468577
325,467792
326,465863
327,462190
328,456781
329,450382
330,442623
331,432753
332,422372
333,410128
334,396790
335,382598
336,368079
337,351762
338,335455
339,318758
340,300591
341,282986
342,264760
343,246792
344,228217
345,209509
346,191068
347,173053
348,155255
349,137244
350,120012
351,102845
352,86152
353,70278
354,54725
355,39383
356,24386
357,10223
358,-3906
359,-17842
360,-31736
361,-44404
362,-57310
363,-69687
364,-82271
365,-94861
366,-105993
367,-118004
368,-129526
369,-141030
370,-152133
371,-163146
372,-174302
373,-185769
374,-196818
375,-207634
376,-219465
377,-229910
378,-240978
379,-251413
380,-263022
381,-273150
382,-283916
383,-293794
384,-303678
385,-313305
386,-322170
387,-331467
388,-339459
389,-347377
390,-354423
391,-361228
392,-366335
393,-371771
394,-376165
395,-378743
396,-381985
397,-383666
398,-383700
399,-384117
400,-383102
401,-380767
402,-378177
403,-374402
404,-369349
405,-363824
406,-356987
407,-349464
408,-341869
409,-333475
410,-323594
411,-314259
412,-304108
413,-293327
414,-282244
415,-270945
416,-259880
417,-247904
418,-236930
419,-226013
420,-215553
421,-204327
422,-194238
423,-185302
424,-176368
425,-167690
426,-160790
427,-154106
428,-148215
429,-143181
430,-139524
431,-137323
432,-134618
433,-134273
434,-134913
435,-135880
436,-138656
437,-142351
438,-147270
439,-152820
440,-159769
441,-167477
442,-176233
443,-185563
444,-196581
445,-207981
446,-219259
447,-231968
448,-245020
449,-257990
450,-272199
451,-286477
452,-300554
453,-315926
454,-330007
455,-344639
456,-358781
457,-373273
458,-386803
459,-401076
460,-414051
461,-427121
462,-439380
463,-451407
464,-462856
465,-473255
466,-484093
467,-493802
468,-502614
469,-510305
470,-518282
471,-525115
472,-531131
473,-537210
474,-542320
475,-546750
476,-550139
477,-553192
478,-556045
479,-557809
480,-558661
481,-560313
482,-560620
483,-560008
484,-559643
485,-559263
486,-557411
487,-555671
488,-553723
489,-550527
490,-548052
491,-544577
492,-541055
493,-537949
494,-533331
495,-529362
496,-524097
497,-518897
498,-513362
499,-507379
500,-501469
501,-495504
502,-488659
503,-481624
504,-474349
505,-466691
506,-459170
507,-450610
508,-442483
509,-432621
510,-423808
511,-414140
