hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,14:14:44,hit_001_20260730_141444.csv,512,DEFECT,HIGH,0,24,111,240,500000,4986245,3933102,-4986245,195518.7,,695,-455,坏棒 总长 1002m 任意重度敲 塑料头
2,14:14:44,hit_002_20260730_141444.csv,512,DEFECT,HIGH,0,41,108,422,500000,4676421,4676421,-4383341,475025.0,,695,-273,坏棒 总长 1002m 任意重度敲 塑料头
3,14:14:44,hit_003_20260730_141444.csv,512,DEFECT,HIGH,0,41,108,422,500000,4634754,4634754,-3999105,718596.0,,695,-273,坏棒 总长 1002m 任意重度敲 塑料头
4,14:14:45,hit_004_20260730_141445.csv,512,DEFECT,HIGH,0,22,108,226,500000,4745713,3772563,-4745713,90838.3,,695,-469,坏棒 总长 1002m 任意重度敲 塑料头
5,14:14:45,hit_005_20260730_141445.csv,512,DEFECT,HIGH,0,42,108,432,500000,4717439,4717439,-4103488,787122.1,,695,-263,坏棒 总长 1002m 任意重度敲 塑料头
6,14:14:45,hit_006_20260730_141445.csv,512,DEFECT,HIGH,0,23,109,234,500000,4779613,3698429,-4779613,55864.4,,695,-461,坏棒 总长 1002m 任意重度敲 塑料头
7,14:14:46,hit_007_20260730_141446.csv,512,DEFECT,HIGH,0,24,110,242,500000,4997864,4135301,-4997864,118067.3,,695,-453,坏棒 总长 1002m 任意重度敲 塑料头
8,14:14:46,hit_008_20260730_141446.csv,512,DEFECT,HIGH,0,21,109,214,500000,4648750,4349852,-4648750,464000.4,,695,-481,坏棒 总长 1002m 任意重度敲 塑料头
9,14:14:46,hit_009_20260730_141446.csv,512,DEFECT,HIGH,0,21,109,214,500000,4564785,4374837,-4564785,456665.4,,695,-481,坏棒 总长 1002m 任意重度敲 塑料头
10,14:14:47,hit_010_20260730_141447.csv,512,DEFECT,HIGH,0,40,108,412,500000,4481581,3905999,-4481581,254600.7,,695,-283,坏棒 总长 1002m 任意重度敲 塑料头
11,14:14:47,hit_011_20260730_141447.csv,512,DEFECT,HIGH,0,21,108,216,500000,4521599,4367324,-4521599,440792.3,,695,-479,坏棒 总长 1002m 任意重度敲 塑料头
12,14:14:47,hit_012_20260730_141447.csv,512,DEFECT,HIGH,0,24,110,242,500000,5057327,3570992,-5057327,-245467.5,,695,-453,坏棒 总长 1002m 任意重度敲 塑料头
13,14:14:48,hit_013_20260730_141448.csv,512,DEFECT,HIGH,0,23,109,234,500000,4916078,3455587,-4916078,-66378.3,,695,-461,坏棒 总长 1002m 任意重度敲 塑料头
14,14:14:48,hit_014_20260730_141448.csv,512,DEFECT,HIGH,0,23,110,232,500000,4842312,4295318,-4842312,216831.4,,695,-463,坏棒 总长 1002m 任意重度敲 塑料头
15,14:14:48,hit_015_20260730_141448.csv,512,DEFECT,HIGH,0,22,110,222,500000,4799244,4118637,-4799244,291157.3,,695,-473,坏棒 总长 1002m 任意重度敲 塑料头
16,14:14:49,hit_016_20260730_141449.csv,512,DEFECT,HIGH,0,24,111,240,500000,5131487,4023805,-5131487,187421.2,,695,-455,坏棒 总长 1002m 任意重度敲 塑料头
17,14:14:49,hit_017_20260730_141449.csv,512,DEFECT,HIGH,0,23,110,232,500000,5058717,4191153,-5058717,186027.7,,695,-463,坏棒 总长 1002m 任意重度敲 塑料头
18,14:14:49,hit_018_20260730_141449.csv,512,DEFECT,HIGH,0,23,110,232,500000,4883847,4579888,-4883847,328610.7,,695,-463,坏棒 总长 1002m 任意重度敲 塑料头
19,14:14:50,hit_019_20260730_141450.csv,512,DEFECT,HIGH,0,23,111,230,500000,5000232,4353462,-5000232,313010.7,,695,-465,坏棒 总长 1002m 任意重度敲 塑料头
20,14:14:50,hit_020_20260730_141450.csv,512,DEFECT,HIGH,0,24,111,240,500000,4954473,3899688,-4954473,192793.8,,695,-455,坏棒 总长 1002m 任意重度敲 塑料头
21,14:14:50,hit_021_20260730_141450.csv,512,DEFECT,HIGH,0,23,110,232,500000,4870182,3734223,-4870182,157677.6,,695,-463,坏棒 总长 1002m 任意重度敲 塑料头
22,14:14:51,hit_022_20260730_141451.csv,512,DEFECT,HIGH,0,81,112,801,500000,4949409,4452413,-4949409,510589.7,,695,106,坏棒 总长 1002m 任意重度敲 塑料头
23,14:14:51,hit_023_20260730_141451.csv,512,DEFECT,HIGH,0,27,116,257,500000,5068769,3262729,-5068769,-350388.4,,695,-438,坏棒 总长 1002m 任意重度敲 塑料头
24,14:14:51,hit_024_20260730_141451.csv,512,DEFECT,HIGH,0,29,119,268,500000,4887593,3241440,-4887593,-341366.8,,695,-427,坏棒 总长 1002m 任意重度敲 塑料头
25,14:15:35,hit_025_20260730_141535.csv,512,DEFECT,HIGH,0,21,111,210,500000,4662184,4662184,-4606545,782487.9,,695,-485,坏棒 总长 1002m 任意重度敲 塑料头
26,14:15:35,hit_026_20260730_141535.csv,512,DEFECT,HIGH,0,21,112,207,500000,4489360,4376822,-4489360,637436.8,,695,-488,坏棒 总长 1002m 任意重度敲 塑料头
27,14:15:36,hit_027_20260730_141536.csv,512,DEFECT,HIGH,0,24,114,233,500000,5131965,4516868,-5131965,279706.7,,695,-462,坏棒 总长 1002m 任意重度敲 塑料头
28,14:15:36,hit_028_20260730_141536.csv,512,DEFECT,HIGH,0,81,109,826,500000,4953898,4953898,-3937272,965759.7,,695,131,坏棒 总长 1002m 任意重度敲 塑料头
29,14:15:36,hit_029_20260730_141536.csv,512,DEFECT,HIGH,0,80,109,816,500000,4970697,4970697,-3860258,990769.0,,695,121,坏棒 总长 1002m 任意重度敲 塑料头
30,14:15:37,hit_030_20260730_141537.csv,512,DEFECT,HIGH,0,25,115,240,500000,5174802,5075241,-5174802,890052.0,,695,-455,坏棒 总长 1002m 任意重度敲 塑料头
