# note,坏棒 总长1002mm 轻轻敲 铁头
# rod_len_mm,
# defect_true_mm,695
# err_mm,133
# time,2026-07-30 14:32:09
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,82
# bottom_index,110
# distance_mm,828
# threshold,500000
# peak_abs,4607081
index,raw24
0,1161
1,1097
2,649
3,705
4,768
5,1112
6,1168
7,1264
8,1592
9,1496
10,879
11,1111
12,1727
13,1303
14,1351
15,1175
16,1550
17,1230
18,1014
19,886
20,1094
21,1790
22,1229
23,1269
24,1149
25,1245
26,717
27,909
28,885
29,1428
30,980
31,1060
32,1156
33,788
34,1020
35,1116
36,179
37,547
38,875
39,579
40,331
41,395
42,715
43,923
44,395
45,627
46,155
47,715
48,602
49,730
50,1610
51,1706
52,1482
53,410
54,-614
55,-2830
56,-4998
57,-8061
58,-10684
59,-16123
60,-34753
61,-139093
62,-363132
63,-599007
64,-825302
65,-1040746
66,-1251187
67,-1453914
68,-1653976
69,-1849214
70,-2042309
71,-2234987
72,-2427162
73,-2621786
74,-2815946
75,-2996714
76,-3053317
77,-2933984
78,-2721754
79,-2509973
80,-2298939
81,-2092538
82,-1886475
83,-1684821
84,-1484031
85,-1286634
86,-1090453
87,-897360
88,-706490
89,-518908
90,-334452
91,-150524
92,28599
93,206491
94,380250
95,550236
96,714288
97,838753
98,925787
99,994042
100,1049448
101,1098456
102,1153018
103,1232414
104,1337535
105,1450540
106,1553619
107,1632317
108,1686502
109,1718088
110,1737638
111,1758586
112,1793435
113,1846392
114,1916655
115,1985501
116,2037227
117,2067010
118,2081638
119,2091903
120,2109536
121,2135919
122,2167994
123,2201737
124,2234412
125,2264020
126,2286823
127,2299256
128,2301199
129,2292278
130,2269231
131,2225378
132,2153698
133,2049123
134,1913025
135,1747471
136,1559986
137,1356708
138,1150278
139,955641
140,790541
141,672588
142,612378
143,615303
144,682580
145,809425
146,971550
147,1133519
148,1292669
149,1449055
150,1603854
151,1755435
152,1905324
153,2051564
154,2195777
155,2337325
156,2476704
157,2611753
158,2746739
159,2869051
160,2931349
161,2914367
162,2808171
163,2600325
164,2333207
165,2065658
166,1801366
167,1545154
168,1293166
169,1049032
170,808768
171,573261
172,341263
173,112941
174,-112433
175,-334619
176,-553770
177,-770598
178,-986600
179,-1202232
180,-1417909
181,-1633920
182,-1807920
183,-1766748
184,-1570588
185,-1373116
186,-1174173
187,-979941
188,-786230
189,-596398
190,-406845
191,-220851
192,-36600
193,145428
194,324674
195,501059
196,673598
197,843219
198,1009756
199,1173129
200,1333874
201,1491655
202,1646441
203,1797936
204,1947077
205,2093559
206,2236415
207,2377670
208,2515452
209,2650841
210,2783573
211,2914650
212,3042126
213,3167666
214,3266712
215,3334665
216,3384266
217,3421829
218,3455459
219,3487597
220,3523659
221,3560637
222,3598907
223,3635123
224,3667423
225,3692464
226,3708437
227,3714464
228,3710483
229,3698158
230,3677050
231,3650570
232,3618836
233,3585178
234,3549101
235,3512491
236,3473398
237,3430886
238,3383948
239,3329159
240,3268472
241,3197921
242,3120291
243,3035446
244,2946315
245,2857484
246,2771879
247,2695148
248,2633987
249,2593866
250,2581581
251,2602570
252,2661100
253,2760983
254,2890678
255,3023582
256,3153404
257,3281012
258,3408051
259,3531563
260,3655244
261,3774910
262,3894689
263,4009925
264,4123860
265,4235596
266,4345495
267,4451861
268,4556485
269,4607081
270,4574207
271,4461144
272,4257200
273,3985568
274,3699442
275,3416878
276,3136469
277,2862758
278,2593425
279,2328140
280,2066696
281,1808915
282,1554807
283,1303721
284,1055842
285,808729
286,565038
287,321609
288,81634
289,-150624
290,-323310
291,-374630
292,-301617
293,-131700
294,49644
295,227014
296,401987
297,573833
298,743875
299,909865
300,1074889
301,1236422
302,1396079
303,1552197
304,1705959
305,1856679
306,2005244
307,2151104
308,2294457
309,2435481
310,2574040
311,2710781
312,2843867
313,2976079
314,3104492
315,3232169
316,3356415
317,3479893
318,3599996
319,3717909
320,3834287
321,3948875
322,4059569
323,4141617
324,4193495
325,4221671
326,4228796
327,4216424
328,4188213
329,4142654
330,4083964
331,4010866
332,3925552
333,3827497
334,3717710
335,3597424
336,3465881
337,3326105
338,3176291
339,3020544
340,2856183
341,2688618
342,2515538
343,2340215
344,2163777
345,1986561
346,1810903
347,1637890
348,1469746
349,1307910
350,1152974
351,1006754
352,871079
353,747108
354,635433
355,537908
356,456402
357,390522
358,342459
359,313905
360,304874
361,314765
362,345959
363,397052
364,467556
365,556427
366,661855
367,782550
368,914911
369,1055935
370,1203998
371,1353643
372,1502430
373,1645494
374,1779694
375,1900260
376,2003564
377,2086552
378,2145921
379,2179147
380,2184249
381,2161750
382,2108950
383,2028141
384,1918813
385,1784379
386,1625161
387,1445851
388,1249874
389,1041938
390,825259
391,605534
392,388068
393,177276
394,-21585
395,-203055
396,-362798
397,-497153
398,-602453
399,-676995
400,-717536
401,-723681
402,-693729
403,-629620
404,-531311
405,-401374
406,-240429
407,-63080
408,114536
409,288818
410,460215
411,628503
412,794114
413,956761
414,1116820
415,1274060
416,1428720
417,1581306
418,1730273
419,1877437
420,2021992
421,2164561
422,2304233
423,2442040
424,2577198
425,2710963
426,2841416
427,2970549
428,3097755
429,3223081
430,3345911
431,3466687
432,3586855
433,3697594
434,3790838
435,3867063
436,3926975
437,3969256
438,3995076
439,4003348
440,3993603
441,3966604
442,3922207
443,3861745
444,3783705
445,3690139
446,3580417
447,3458564
448,3322333
449,3174896
450,3017180
451,2851636
452,2677656
453,2498377
454,2314920
455,2129237
456,1941857
457,1754676
458,1568390
459,1384815
460,1205406
461,1030427
462,861245
463,698316
464,543302
465,397012
466,259515
467,131956
468,16364
469,-88886
470,-182259
471,-263029
472,-332453
473,-388372
474,-432437
475,-464272
476,-484688
477,-493772
478,-492536
479,-481612
480,-462337
481,-435777
482,-403067
483,-366274
484,-326854
485,-286406
486,-246715
487,-208933
488,-175163
489,-145902
490,-122700
491,-106093
492,-97176
493,-96380
494,-103296
495,-117388
496,-138501
497,-165652
498,-197952
499,-233952
500,-272283
501,-311018
502,-349316
503,-384705
504,-415578
505,-440760
