# note,坏棒 总长1002mm 轻轻敲 铁头
# rod_len_mm,
# defect_true_mm,695
# err_mm,
# time,2026-07-30 14:35:11
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,109
# distance_mm,0
# threshold,500000
# peak_abs,3761892
index,raw24
0,-2013
1,-2156
2,-1972
3,-1916
4,-2211
5,-1899
6,-1971
7,-1779
8,-1882
9,-2018
10,-1866
11,-1794
12,-1105
13,-1673
14,-1265
15,-1609
16,-1633
17,-1353
18,-1040
19,-1456
20,-1656
21,-696
22,-1272
23,-1360
24,-1383
25,-1311
26,-1159
27,-1119
28,-1447
29,-1526
30,-1718
31,-1310
32,-1470
33,-1126
34,-1486
35,-1165
36,-1645
37,-1253
38,-1413
39,-1645
40,-2076
41,-2108
42,-1948
43,-2372
44,-2643
45,-2203
46,-2307
47,-1778
48,-1258
49,-506
50,-978
51,846
52,1638
53,8814
54,40517
55,124464
56,273697
57,440239
58,473609
59,272416
60,24350
61,-208693
62,-433867
63,-653262
64,-869334
65,-1082948
66,-1298080
67,-1511322
68,-1725881
69,-1935790
70,-2144554
71,-2347884
72,-2504606
73,-2414716
74,-2201541
75,-1996744
76,-1791013
77,-1589834
78,-1391128
79,-1195350
80,-1001308
81,-810522
82,-620999
83,-433475
84,-249510
85,-68376
86,110249
87,285179
88,456968
89,619449
90,734165
91,817731
92,907823
93,1019001
94,1148300
95,1282600
96,1408571
97,1515999
98,1600238
99,1656539
100,1687081
101,1706891
102,1733930
103,1782927
104,1848021
105,1913732
106,1964410
107,1993778
108,2007607
109,2017770
110,2030547
111,2051971
112,2082065
113,2116971
114,2152384
115,2180714
116,2201439
117,2216331
118,2229964
119,2241996
120,2248202
121,2239536
122,2208270
123,2149209
124,2060290
125,1943887
126,1800889
127,1636638
128,1455774
129,1269172
130,1088265
131,927580
132,804571
133,733537
134,723255
135,776399
136,890208
137,1045203
138,1206588
139,1364433
140,1519770
141,1672224
142,1822428
143,1970486
144,2115709
145,2258347
146,2398367
147,2535682
148,2667597
149,2765663
150,2812830
151,2813766
152,2760151
153,2652566
154,2482546
155,2248611
156,1986984
