# note,坏棒 总长1002mm 轻轻敲 铁头
# rod_len_mm,
# defect_true_mm,695
# err_mm,-32
# time,2026-07-30 14:35:21
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,76
# bottom_index,109
# distance_mm,663
# threshold,500000
# peak_abs,4631074
index,raw24
0,771
1,475
2,1459
3,1035
4,867
5,875
6,1219
7,1450
8,1122
9,1642
10,1898
11,1922
12,1833
13,1553
14,1457
15,1425
16,1425
17,1720
18,1640
19,1664
20,1944
21,1695
22,1495
23,1047
24,1095
25,967
26,575
27,703
28,638
29,958
30,-202
31,430
32,-602
33,-274
34,-226
35,-346
36,-234
37,-218
38,-657
39,-257
40,-353
41,-505
42,-473
43,-497
44,-321
45,-673
46,-705
47,-217
48,-889
49,-793
50,-1033
51,104
52,496
53,680
54,559
55,343
56,-65
57,15
58,1511
59,5343
60,-11298
61,-105952
62,-314659
63,-553805
64,-784513
65,-1007369
66,-1220678
67,-1427945
68,-1629051
69,-1826292
70,-2018645
71,-2209935
72,-2397913
73,-2586332
74,-2772129
75,-2961574
76,-3145957
77,-3326805
78,-3286870
79,-3059605
80,-2847424
81,-2627604
82,-2417971
83,-2205300
84,-2000215
85,-1794179
86,-1593752
87,-1393669
88,-1197459
89,-1002609
90,-811710
91,-624923
92,-439839
93,-257249
94,-78578
95,99296
96,272804
97,445138
98,582172
99,652117
100,694309
101,747832
102,840317
103,975095
104,1129599
105,1285038
106,1415225
107,1505460
108,1560004
109,1591782
110,1619691
111,1658030
112,1714363
113,1781394
114,1848705
115,1908079
116,1957278
117,1997359
118,2034235
119,2070651
120,2109926
121,2152164
122,2195838
123,2238850
124,2279784
125,2314930
126,2342319
127,2360401
128,2364273
129,2351697
130,2315946
131,2255447
132,2164956
133,2043099
134,1889274
135,1708515
136,1505939
137,1294307
138,1086925
139,902016
140,755722
141,664086
142,635501
143,676839
144,786956
145,946268
146,1109001
147,1268881
148,1425806
149,1580864
150,1733303
151,1883316
152,2030718
153,2175238
154,2317420
155,2456306
156,2592742
157,2726993
158,2848380
159,2906545
160,2892158
161,2799557
162,2616167
163,2359504
164,2092544
165,1826192
166,1567961
167,1314178
168,1068345
169,826679
170,591066
171,358178
172,130022
173,-94666
174,-316670
175,-535256
176,-750454
177,-964555
178,-1177237
179,-1392853
180,-1605875
181,-1803919
182,-1803987
183,-1610687
184,-1412770
185,-1212910
186,-1018602
187,-823789
188,-633777
189,-443395
190,-257525
191,-72518
192,109835
193,289902
194,466602
195,640065
196,810107
197,977192
198,1141929
199,1302342
200,1460935
201,1616484
202,1768919
203,1917815
204,2065421
205,2209001
206,2350571
207,2488884
208,2625268
209,2757972
210,2889851
211,3018306
212,3140074
213,3227291
214,3282945
215,3318280
216,3340107
217,3357443
218,3374497
219,3396293
220,3422199
221,3453301
222,3485375
223,3518150
224,3548248
225,3572519
226,3591539
227,3601845
228,3607461
229,3607141
230,3604700
231,3600764
232,3597445
233,3595453
234,3595183
235,3595472
236,3593233
237,3585226
238,3566924
239,3535977
240,3487649
241,3423024
242,3339046
243,3241310
244,3131570
245,3016972
246,2905372
247,2805665
248,2728627
249,2683446
250,2679982
251,2724255
252,2822546
253,2954186
254,3085289
255,3215360
256,3341984
257,3469024
258,3592056
259,3714714
260,3833972
261,3952256
262,4067006
263,4180165
264,4291119
265,4399875
266,4506530
267,4602796
268,4631074
269,4571165
270,4427687
271,4193858
272,3912330
273,3626381
274,3344042
275,3065634
276,2793068
277,2524599
278,2260882
279,2000494
280,1744154
281,1491325
282,1241247
283,993976
284,747934
285,505499
286,262117
287,23837
288,-208886
289,-375348
290,-415310
291,-322740
292,-144324
293,35390
294,213801
295,389591
296,561543
297,732067
298,899442
299,1063772
300,1225746
301,1385228
302,1541867
303,1695879
304,1846888
305,1995286
306,2140987
307,2284885
308,2425974
309,2564510
310,2700965
311,2834940
312,2967041
313,3095799
314,3223565
315,3347828
316,3471067
317,3591187
318,3710205
319,3825728
320,3941469
321,4046148
322,4118038
323,4163079
324,4184811
325,4187756
326,4171909
327,4141176
328,4096054
329,4039530
330,3970117
331,3890216
332,3798997
333,3697598
334,3587042
335,3465276
336,3336517
337,3197830
338,3052288
339,2898683
340,2741465
341,2578379
342,2413280
343,2245089
344,2077159
345,1910538
346,1746216
347,1586435
348,1431393
