hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,14:29:47,hit_001_20260730_142947.csv,512,DEFECT,HIGH,0,77,109,785,500000,3865389,3746393,-3865389,616509.9,,695,90,坏棒 总长1002mm 轻轻敲 铁头
2,14:29:48,hit_002_20260730_142948.csv,512,DEFECT,HIGH,0,76,109,775,500000,3920113,3920113,-3672886,784955.7,,695,80,坏棒 总长1002mm 轻轻敲 铁头
3,14:29:48,hit_003_20260730_142948.csv,512,DEFECT,HIGH,0,31,111,298,500000,5056161,5056161,-2210439,1766932.8,,695,-397,坏棒 总长1002mm 轻轻敲 铁头
4,14:29:49,hit_004_20260730_142949.csv,512,DEFECT,HIGH,0,73,113,601,500000,4771554,4771554,-2823376,1552481.4,,695,-94,坏棒 总长1002mm 轻轻敲 铁头
5,14:29:49,hit_005_20260730_142949.csv,512,NORMAL,HIGH,0,0,113,0,500000,4712806,4712806,-2349902,1685772.4,,695,,坏棒 总长1002mm 轻轻敲 铁头
6,14:29:50,hit_006_20260730_142950.csv,512,DEFECT,HIGH,0,75,108,659,500000,3937984,3937984,-3209005,1098062.5,,695,-36,坏棒 总长1002mm 轻轻敲 铁头
7,14:29:50,hit_007_20260730_142950.csv,512,DEFECT,HIGH,0,74,114,611,500000,4727577,4727577,-3044561,1480816.7,,695,-84,坏棒 总长1002mm 轻轻敲 铁头
8,14:29:51,hit_008_20260730_142951.csv,512,DEFECT,HIGH,0,74,114,605,500000,3679828,3679828,-2810406,1126584.6,,695,-90,坏棒 总长1002mm 轻轻敲 铁头
9,14:29:51,hit_009_20260730_142951.csv,512,DEFECT,HIGH,0,73,113,607,500000,4555980,4555980,-2995029,1403093.2,,695,-88,坏棒 总长1002mm 轻轻敲 铁头
10,14:29:52,hit_010_20260730_142952.csv,512,DEFECT,HIGH,0,75,108,773,500000,4047314,4047314,-3317318,1100712.8,,695,78,坏棒 总长1002mm 轻轻敲 铁头
11,14:29:52,hit_011_20260730_142952.csv,512,DEFECT,HIGH,0,78,109,795,500000,3959743,3959743,-3682717,884497.4,,695,100,坏棒 总长1002mm 轻轻敲 铁头
12,14:29:53,hit_012_20260730_142953.csv,512,DEFECT,HIGH,0,76,108,783,500000,4210934,4210934,-3618073,1064936.0,,695,88,坏棒 总长1002mm 轻轻敲 铁头
13,14:29:53,hit_013_20260730_142953.csv,512,DEFECT,HIGH,0,76,108,783,500000,4082857,4082857,-3533685,1010018.7,,695,88,坏棒 总长1002mm 轻轻敲 铁头
14,14:29:54,hit_014_20260730_142954.csv,512,DEFECT,HIGH,0,76,108,783,500000,4205909,4205909,-3277198,1194241.5,,695,88,坏棒 总长1002mm 轻轻敲 铁头
15,14:29:54,hit_015_20260730_142954.csv,512,DEFECT,HIGH,0,77,108,793,500000,4419680,4419680,-3624208,1128616.8,,695,98,坏棒 总长1002mm 轻轻敲 铁头
16,14:29:55,hit_016_20260730_142955.csv,512,DEFECT,HIGH,0,76,108,783,500000,4290771,4290771,-3439208,1200360.2,,695,88,坏棒 总长1002mm 轻轻敲 铁头
17,14:29:55,hit_017_20260730_142955.csv,512,DEFECT,HIGH,0,76,108,783,500000,4208934,4208934,-3516215,1120559.2,,695,88,坏棒 总长1002mm 轻轻敲 铁头
18,14:29:56,hit_018_20260730_142956.csv,512,DEFECT,HIGH,0,76,108,783,500000,3925294,3925294,-3420352,1029007.9,,695,88,坏棒 总长1002mm 轻轻敲 铁头
19,14:29:56,hit_019_20260730_142956.csv,512,DEFECT,HIGH,0,76,108,783,500000,3795136,3795136,-3504833,868289.5,,695,88,坏棒 总长1002mm 轻轻敲 铁头
20,14:29:57,hit_020_20260730_142957.csv,512,DEFECT,HIGH,0,76,108,783,500000,3795407,3795407,-3192143,1033658.1,,695,88,坏棒 总长1002mm 轻轻敲 铁头
21,14:30:16,hit_021_20260730_143016.csv,512,DEFECT,HIGH,0,79,110,777,500000,3404037,3296474,-3404037,636084.3,,695,82,坏棒 总长1002mm 轻轻敲 铁头
22,14:30:17,hit_022_20260730_143017.csv,512,DEFECT,HIGH,0,76,109,775,500000,3371003,3290147,-3371003,557095.6,,695,80,坏棒 总长1002mm 轻轻敲 铁头
23,14:30:17,hit_023_20260730_143017.csv,512,DEFECT,HIGH,0,75,113,646,500000,3042258,2962594,-3042258,423983.4,,695,-49,坏棒 总长1002mm 轻轻敲 铁头
24,14:30:18,hit_024_20260730_143018.csv,512,NORMAL,HIGH,0,0,109,0,500000,3078149,3078149,-2216819,749907.7,,695,,坏棒 总长1002mm 轻轻敲 铁头
25,14:30:18,hit_025_20260730_143018.csv,512,DEFECT,HIGH,0,76,110,747,500000,2951844,1927293,-2951844,-110940.0,,695,52,坏棒 总长1002mm 轻轻敲 铁头
26,14:30:18,hit_026_20260730_143018.csv,512,DEFECT,HIGH,0,77,110,757,500000,3357013,2310936,-3357013,-55217.2,,695,62,坏棒 总长1002mm 轻轻敲 铁头
27,14:30:19,hit_027_20260730_143019.csv,512,DEFECT,HIGH,0,74,108,762,500000,3184373,2792118,-3184373,311895.0,,695,67,坏棒 总长1002mm 轻轻敲 铁头
28,14:30:19,hit_028_20260730_143019.csv,512,DEFECT,HIGH,0,73,108,752,500000,3546554,3546554,-2889404,827117.1,,695,57,坏棒 总长1002mm 轻轻敲 铁头
29,14:30:20,hit_029_20260730_143020.csv,512,DEFECT,HIGH,0,79,111,790,500000,4097529,4097529,-3908955,817898.2,,695,95,坏棒 总长1002mm 轻轻敲 铁头
30,14:30:20,hit_030_20260730_143020.csv,512,DEFECT,HIGH,0,75,108,773,500000,3601879,3601879,-3493943,620875.9,,695,78,坏棒 总长1002mm 轻轻敲 铁头
31,14:30:21,hit_031_20260730_143021.csv,512,DEFECT,HIGH,0,75,108,773,500000,3744664,3744664,-3222143,838598.2,,695,78,坏棒 总长1002mm 轻轻敲 铁头
32,14:30:21,hit_032_20260730_143021.csv,512,DEFECT,HIGH,0,74,114,711,500000,3524418,3524418,-2817560,893780.9,,695,16,坏棒 总长1002mm 轻轻敲 铁头
33,14:30:22,hit_033_20260730_143022.csv,512,DEFECT,HIGH,0,76,109,775,500000,3656968,3656968,-3614836,658321.1,,695,80,坏棒 总长1002mm 轻轻敲 铁头
34,14:30:22,hit_034_20260730_143022.csv,512,DEFECT,HIGH,0,75,108,773,500000,3675642,3675642,-3398384,732700.2,,695,78,坏棒 总长1002mm 轻轻敲 铁头
