# note,坏棒 总长 1002 任意重度敲 铁头
# rod_len_mm,
# defect_true_mm,695
# err_mm,
# time,2026-07-30 15:08:59
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,113
# distance_mm,0
# threshold,500000
# peak_abs,5493604
index,raw24
0,6461
1,6436
2,6260
3,6363
4,6114
5,6561
6,6113
7,6176
8,6575
9,6182
10,6557
11,6613
12,6532
13,6139
14,6546
15,6065
16,6513
17,5856
18,6407
19,6342
20,6486
21,6573
22,6772
23,6411
24,6770
25,6681
26,6337
27,7184
28,6415
29,6766
30,6669
31,6588
32,6908
33,6131
34,6722
35,6289
36,7032
37,6351
38,6751
39,6686
40,7213
41,6748
42,6979
43,6698
44,6426
45,6305
46,6552
47,6623
48,7366
49,7301
50,7949
51,7380
52,8491
53,8410
54,17393
55,29782
56,138691
57,307802
58,454948
59,310677
60,56471
61,-164792
62,-390428
63,-605780
64,-820938
65,-1029086
66,-1235953
67,-1436778
68,-1637098
69,-1831930
70,-2025795
71,-2213076
72,-2400253
73,-2593744
74,-2749044
75,-2599092
76,-2377295
77,-2168725
78,-1959252
79,-1754925
80,-1551590
81,-1352265
82,-1153748
83,-958879
84,-765010
85,-574069
86,-384895
87,-199432
88,-16727
89,162507
90,339511
91,513038
92,683255
93,850884
94,1012932
95,1173168
96,1303537
97,1434314
98,1585755
99,1735713
100,1883677
101,2029343
102,2171415
103,2311278
104,2413428
105,2473701
106,2533375
107,2641026
108,2775128
109,2904677
110,3035754
111,3149112
112,3212015
113,3241463
114,3271220
115,3334108
116,3431533
117,3543026
118,3654978
119,3746140
120,3803474
121,3830690
122,3830270
123,3808603
124,3763866
125,3688526
126,3569796
127,3392640
128,3150914
129,2885730
130,2621113
131,2359873
132,2104409
133,1870816
134,1697508
135,1605421
136,1602169
137,1694197
138,1843334
139,1992077
140,2138778
141,2283301
142,2425534
143,2566014
144,2704565
145,2840995
146,2974280
147,3106061
148,3235338
149,3362311
150,3486404
151,3607699
152,3727538
153,3833755
154,3872583
155,3828222
156,3681475
157,3425322
158,3142712
159,2866920
160,2598714
161,2338797
162,2086703
163,1839784
164,1599592
165,1360757
166,1125198
167,892509
168,662304
169,436663
170,212242
171,-8144
172,-229167
173,-446139
174,-670349
175,-887867
176,-1115678
177,-1170982
178,-987151
179,-796207
180,-601925
181,-414124
182,-225209
183,-40542
184,142703
185,323422
186,500638
187,675657
188,847127
189,1016359
190,1181915
191,1344235
192,1503359
193,1660463
194,1814740
195,1966191
196,2114519
197,2260469
198,2404089
199,2545003
200,2683493
201,2819365
202,2953005
203,3083300
204,3212756
205,3338676
206,3463788
207,3584989
208,3704432
209,3822044
210,3936993
211,4050512
212,4158394
213,4237190
214,4285489
215,4313038
216,4319583
217,4310120
218,4287762
219,4257215
220,4224423
221,4194715
222,4175707
223,4174741
224,4198096
225,4249695
226,4327448
227,4427760
228,4536748
229,4642178
230,4746483
231,4849320
232,4942920
233,4999140
234,5011682
235,4979302
236,4896191
237,4768873
238,4602027
239,4410345
240,4207623
241,4012669
242,3844883
243,3721694
244,3662703
245,3680472
246,3779439
247,3901290
248,4019533
249,4136299
250,4252210
251,4366475
252,4478374
253,4590379
254,4699738
255,4807397
256,4912514
257,5015682
258,5116678
259,5215501
260,5312409
261,5406536
262,5493604
263,5480470
264,5317984
265,5036919
266,4734352
267,4437102
268,4147793
269,3864446
270,3588599
271,3317889
272,3053068
273,2791655
274,2534226
275,2280349
276,2029622
277,1781991
278,1535709
279,1290410
280,1045436
281,800820
282,557075
283,322479
284,190191
285,251816
286,422945
287,594974
288,765357
289,932024
290,1096814
291,1259592
292,1419278
293,1577369
294,1732096
295,1884981
296,2035351
297,2183774
298,2327884
299,2471167
300,2611178
301,2749651
302,2885571
303,3018771
304,3150619
305,3279626
306,3406762
307,3531258
308,3654355
309,3774653
310,3893760
311,4009420
312,4124403
313,4236251
314,4346550
315,4453932
316,4561124
317,4664543
318,4768406
319,4850912
320,4888456
321,4893715
322,4866461
323,4814003
324,4736672
325,4638430
326,4520471
327,4386327
328,4235344
329,4071763
330,3895978
331,3708174
332,3511354
333,3305293
334,3093049
335,2872536
336,2648073
337,2418246
338,2187991
339,1957212
340,1728573
341,1503202
342,1283954
343,1070445
344,866427
345,674105
346,492287
347,326483
348,175971
349,45245
350,-63912
351,-148425
352,-208302
353,-238949
354,-240120
355,-210123
356,-149585
357,-57687
358,62256
359,210049
360,377671
361,547969
362,715334
363,879695
364,1040875
365,1200380
366,1356146
367,1509244
368,1660044
369,1807689
370,1954101
371,2091862
372,2199063
373,2270322
374,2306869
375,2306499
376,2270450
377,2197725
378,2093560
379,1958033
380,1795842
381,1610431
382,1406986
383,1191110
384,968877
385,747135
386,531971
387,329002
388,146306
389,-11504
390,-137878
391,-228989
392,-280137
393,-289063
394,-254084
395,-174013
396,-49648
397,115142
398,290312
399,461781
400,630621
401,796888
402,960038
403,1121457
404,1278864
405,1435148
406,1587133
407,1738251
408,1885247
409,2031433
410,2174073
411,2314807
412,2453781
413,2589873
414,2724613
415,2856088
416,2986244
417,3113623
418,3240155
419,3363807
420,3486493
421,3606675
422,3725179
423,3841540
424,3956599
425,4070268
426,4181387
427,4290941
428,4399001
429,4506216
430,4610034
431,4713527
432,4814448
433,4914772
434,5010172
435,5077601
436,5115453
437,5123756
438,5106211
439,5061419
440,4993722
441,4900824
442,4789226
443,4656649
444,4508401
445,4343714
446,4167168
447,3978723
448,3781910
449,3578320
450,3369099
451,3157144
452,2942334
453,2727807
454,2513162
455,2301079
456,2091343
457,1886719
458,1686897
459,1493779
460,1307813
461,1131597
462,965139
463,809933
464,667674
465,538377
466,424647
467,325379
468,241611
469,173974
470,120296
471,82442
472,58928
473,48288
474,48579
475,58045
476,75677
477,99396
478,128160
479,158624
480,189333
481,219710
482,246499
483,269565
484,287876
485,296993
486,300949
487,295704
488,282908
489,262681
490,235369
491,201460
492,162660
493,120768
494,77881
495,35504
496,-4589
497,-40540
498,-69007
499,-89383
500,-100564
501,-99456
502,-85523
503,-57265
504,-13194
505,47832
506,125770
507,222386
508,335775
509,468654
510,618053
511,780042
