# note,坏棒 总长 1002 任意重度敲 铁头
# rod_len_mm,
# defect_true_mm,695
# err_mm,
# time,2026-07-30 15:09:32
# points,512
# state,NORMAL
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,554694
# peak_abs,840485
index,raw24
0,-26019
1,-16064
2,-4398
3,6195
4,15706
5,25376
6,33389
7,39969
8,46580
9,51654
10,56856
11,61529
12,66217
13,71953
14,77848
15,83727
16,90428
17,97657
18,104053
19,110177
20,115331
21,118533
22,119623
23,117784
24,113234
25,105196
26,93319
27,77340
28,58402
29,38507
30,18230
31,-28
32,-15172
33,-25306
34,-30215
35,-27371
36,-19416
37,-4486
38,16363
39,41481
40,70972
41,102075
42,133991
43,165078
44,193442
45,216619
46,233800
47,239932
48,236694
49,220689
50,192254
51,151039
52,98932
53,37544
54,-29844
55,-100641
56,-173060
57,-243279
58,-309497
59,-371084
60,-426390
61,-475474
62,-517680
63,-554713
64,-582853
65,-604982
66,-617996
67,-623161
68,-619381
69,-607305
70,-586495
71,-558695
72,-523467
73,-483659
74,-438936
75,-391066
76,-341035
77,-288905
78,-236542
79,-183057
80,-129163
81,-74099
82,-17722
83,40448
84,99444
85,160751
86,222308
87,284545
88,344926
89,405460
90,461002
91,513802
92,560467
93,600375
94,632613
95,656576
96,670728
97,676334
98,671964
99,660234
100,641577
101,616395
102,587047
103,554952
104,521844
105,488124
106,455681
107,425009
108,394573
109,365965
110,337024
111,307111
112,274849
113,240840
114,203018
115,161618
116,115726
117,66144
118,12544
119,-43530
120,-102221
121,-160472
122,-219892
123,-276338
124,-331000
125,-381791
126,-429945
127,-473316
128,-514787
129,-552268
130,-587928
131,-621368
132,-653101
133,-683469
134,-712873
135,-739890
136,-765264
137,-788451
138,-808082
139,-823728
140,-835139
141,-840485
142,-839431
143,-831480
144,-815971
145,-793327
146,-762806
147,-724537
148,-680152
149,-628701
150,-572513
151,-511715
152,-447348
153,-380886
154,-312743
155,-246265
156,-179531
157,-114973
158,-53199
159,5792
160,61783
161,114183
162,162617
163,207397
164,249676
165,288054
166,322850
167,354635
168,382728
169,408185
170,428527
171,445443
172,458572
173,467316
174,471051
175,472002
176,469800
177,464599
178,457358
179,448622
180,438183
181,428538
182,417982
183,409947
184,403416
185,399463
186,398302
187,399862
188,403981
189,410260
190,418090
191,426351
192,434274
193,440437
194,445400
195,447449
196,446371
197,441940
198,431742
199,416569
200,395471
201,368942
202,336257
203,298288
204,254964
205,207637
206,156651
207,102248
208,46204
209,-12002
210,-71257
211,-130304
212,-188576
213,-245377
214,-300267
215,-352190
216,-399483
217,-443155
218,-480956
219,-514522
220,-542331
221,-563945
222,-580548
223,-589749
224,-592133
225,-587181
226,-574613
227,-555271
228,-530003
229,-498794
230,-463749
231,-424669
232,-382353
233,-337914
234,-290497
235,-242485
236,-195008
237,-148368
238,-103166
239,-60569
240,-19546
241,17985
