# note,坏棒 总长 1002 任意重度敲 铁头
# rod_len_mm,
# defect_true_mm,695
# err_mm,
# time,2026-07-30 15:12:13
# points,512
# state,INVALID
# confidence,NONE
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,651966
# peak_abs,851423
index,raw24
0,134666
1,130658
2,125394
3,119098
4,111060
5,101494
6,89746
7,75735
8,59894
9,40974
10,20281
11,-2633
12,-27425
13,-54429
14,-82311
15,-111477
16,-141695
17,-173646
18,-205561
19,-237615
20,-269634
21,-301489
22,-332693
23,-362972
24,-391080
25,-418432
26,-442901
27,-465975
28,-485646
29,-503163
30,-517445
31,-527470
32,-534206
33,-537804
34,-536955
35,-531969
36,-523720
37,-510760
38,-494642
39,-473509
40,-447820
41,-419197
42,-387266
43,-351274
44,-312360
45,-270265
46,-225376
47,-178325
48,-129623
49,-79839
50,-28005
51,24398
52,77883
53,130961
54,184105
55,236371
56,288206
57,338027
58,387634
59,434890
60,480797
61,523778
62,564970
63,603470
64,638796
65,671830
66,702020
67,729446
68,753589
69,775169
70,793802
71,809025
72,822655
73,833562
74,841268
75,846710
76,850518
77,851423
78,850423
79,846759
80,841319
81,834321
82,825571
83,815030
84,803371
85,790480
86,776480
87,762241
88,747604
89,733113
90,718207
91,703152
92,689066
93,674062
94,660339
95,646899
96,633804
97,620966
98,608531
99,596800
100,585447
101,574024
102,563322
103,553005
104,542553
105,532487
106,522726
107,512286
108,501296
109,490435
110,478511
111,466604
112,452963
113,438892
114,423702
115,408411
116,390849
117,372881
118,353668
119,333536
120,311576
121,289074
122,265070
123,241398
124,215904
125,189950
126,163479
127,137051
128,110394
129,84605
130,58802
131,33059
132,8919
133,-14594
134,-35808
135,-56460
136,-75173
137,-91484
138,-105689
139,-118852
140,-128245
141,-136270
142,-141533
143,-144372
144,-144562
145,-142328
146,-137975
147,-130694
148,-120590
149,-109551
150,-95546
151,-78966
152,-61493
153,-42181
154,-21040
155,1251
156,24690
157,48751
158,73033
159,99025
160,123796
161,148957
162,174067
163,198606
164,222102
165,244883
166,267437
167,288340
168,307449
169,325675
170,341979
171,357162
172,370062
173,380913
174,390210
175,397499
176,403546
177,406481
178,408143
179,407941
180,405844
181,402538
182,397161
183,389848
184,381305
185,371962
186,360549
187,348825
188,335078
189,321037
190,305782
191,290721
192,274181
193,257556
194,240060
195,222879
196,205428
197,187939
198,170036
199,153103
200,136308
201,119708
202,103493
203,87952
204,72765
205,58357
206,44677
207,31904
208,19412
209,7298
210,-3591
211,-13631
212,-23485
213,-33442
214,-41918
215,-49977
216,-58019
217,-65852
218,-73044
219,-79923
220,-87521
221,-94070
222,-100627
223,-107782
224,-114145
225,-121491
226,-128028
227,-135789
228,-143276
229,-150691
230,-158728
231,-166821
232,-175001
233,-183787
234,-192677
235,-201357
236,-211245
237,-219843
238,-229296
239,-239164
240,-248671
241,-257912
242,-267169
243,-276352
244,-285382
245,-294428
246,-303184
247,-311203
248,-318901
249,-326902
250,-333718
251,-340189
252,-345812
253,-351553
254,-355886
255,-359643
256,-362711
257,-364491
258,-366798
259,-367553
260,-367493
261,-367560
262,-365107
263,-363126
264,-360554
265,-356326
266,-352882
267,-348031
268,-341765
269,-336379
270,-329906
271,-323210
272,-317266
273,-309347
274,-302446
275,-295833
276,-288133
277,-281841
278,-275375
279,-268701
280,-263541
281,-258076
282,-253205
283,-248550
284,-245376
285,-242858
286,-240084
287,-238655
288,-237473
289,-237284
290,-237919
291,-239810
292,-241989
293,-245072
294,-248770
295,-253483
296,-258564
297,-264229
298,-271308
299,-278307
300,-286137
301,-293854
302,-303682
303,-312309
304,-321703
305,-331576
306,-341815
307,-351638
308,-361691
309,-372575
310,-382713
311,-392826
312,-402962
313,-413089
314,-422719
315,-431827
316,-440894
317,-448905
318,-457354
319,-464610
320,-472001
321,-478400
322,-484333
323,-489706
324,-494550
325,-498474
326,-502221
327,-505280
328,-507890
329,-509572
330,-510686
331,-511151
332,-511865
333,-511267
334,-510388
335,-509398
336,-507288
337,-505786
338,-503084
339,-500607
340,-496505
341,-493189
342,-489625
343,-485533
344,-482057
345,-477631
346,-472692
347,-467883
348,-462857
349,-457137
350,-452273
351,-446434
352,-440995
353,-435334
354,-428800
355,-423316
356,-417064
357,-410549
358,-403259
359,-396858
360,-389642
361,-382130
362,-375195
363,-366950
364,-359321
365,-350925
366,-342954
367,-333808
368,-325455
369,-315432
370,-306129
371,-296308
372,-286552
373,-276549
374,-266291
375,-256018
376,-245019
377,-234381
378,-223720
379,-213677
380,-203235
381,-192618
382,-182139
383,-172324
384,-162967
385,-152491
386,-143313
387,-134223
388,-125559
389,-117984
390,-109753
391,-102532
392,-96455
393,-90803
394,-84928
395,-80718
396,-76860
397,-73323
398,-70218
399,-68249
400,-67505
401,-66784
402,-67192
403,-68176
404,-69136
405,-71335
406,-73927
407,-77022
408,-81260
409,-85570
410,-90344
411,-95397
412,-101721
413,-107573
414,-113863
415,-120954
416,-126899
417,-133899
418,-140507
419,-147226
420,-154408
421,-161077
422,-167937
423,-174397
424,-179927
425,-186193
426,-192099
427,-197075
428,-202379
429,-206530
430,-210593
431,-214535
432,-218557
433,-220307
434,-223408
435,-225204
436,-226625
437,-227789
438,-227585
439,-227470
440,-227226
441,-226774
442,-225434
443,-223839
444,-221571
445,-219328
446,-216718
447,-213707
448,-209737
449,-206543
450,-202814
451,-198213
452,-193741
453,-188502
454,-182998
455,-177480
456,-172018
457,-166125
458,-160001
459,-153678
460,-147131
461,-140761
462,-132752
463,-126631
464,-118664
465,-110689
466,-103300
467,-94575
468,-86788
469,-78281
470,-69904
471,-60735
472,-51856
473,-42945
474,-33476
475,-24192
476,-15437
477,-5603
478,3902
479,13533
480,23052
481,32737
482,42413
483,51999
484,60921
485,69746
486,78713
487,87384
488,95909
489,104009
490,112164
491,120247
492,127456
493,134224
494,141648
495,148119
496,153837
497,159586
498,164718
499,169082
500,173710
501,177384
502,180739
503,183157
504,185830
505,187824
506,188905
507,190210
508,191266
509,191291
510,191476
511,190644
