# note,坏棒 总长 1002 任意重度敲 铁头
# rod_len_mm,
# defect_true_mm,695
# err_mm,-352
# time,2026-07-30 15:14:28
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,34
# bottom_index,110
# distance_mm,343
# threshold,500000
# peak_abs,4187991
index,raw24
0,1065
1,1201
2,785
3,1288
4,1552
5,1456
6,1424
7,1200
8,944
9,1311
10,783
11,1423
12,1711
13,975
14,1375
15,1822
16,1494
17,1366
18,1638
19,1254
20,1805
21,1581
22,1917
23,1661
24,1700
25,1996
26,1996
27,2516
28,2435
29,2411
30,2275
31,2299
32,2154
33,2218
34,1898
35,2265
36,2409
37,2281
38,2449
39,2248
40,2648
41,2288
42,2399
43,2127
44,2351
45,1678
46,2038
47,1974
48,1934
49,2541
50,3037
51,3149
52,3244
53,3076
54,3212
55,3395
56,2971
57,3042
58,4442
59,10761
60,-6352
61,-115303
62,-318377
63,-553874
64,-787111
65,-1013454
66,-1230075
67,-1439733
68,-1644509
69,-1846164
70,-2043611
71,-2238513
72,-2432864
73,-2624287
74,-2813879
75,-3001487
76,-3186513
77,-3370948
78,-3553376
79,-3727350
80,-3765855
81,-3587508
82,-3361254
83,-3141091
84,-2923420
85,-2708679
86,-2496092
87,-2287300
88,-2079789
89,-1876111
90,-1673354
91,-1473789
92,-1276465
93,-1082670
94,-890769
95,-702357
96,-516303
97,-332680
98,-151823
99,27123
100,202152
101,375783
102,543929
103,711399
104,845848
105,943249
106,1024710
107,1108369
108,1205321
109,1309694
110,1412142
111,1503714
112,1581930
113,1649729
114,1713824
115,1772311
116,1826094
117,1878479
118,1933290
119,1990406
120,2046779
121,2094553
122,2132921
123,2161301
124,2185205
125,2207754
126,2229269
127,2247893
128,2259130
129,2256159
130,2233299
131,2187227
132,2112664
133,2011478
134,1887464
135,1745466
136,1592901
137,1436666
138,1288587
139,1158269
140,1054544
141,984247
142,954351
143,965371
144,1015029
145,1101521
146,1218146
