# note,坏棒 总长 1002 任意重度敲 铁头
# rod_len_mm,
# defect_true_mm,695
# err_mm,78
# time,2026-07-30 15:07:32
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,75
# bottom_index,108
# distance_mm,773
# threshold,500000
# peak_abs,4384371
index,raw24
0,-992
1,-1208
2,-1352
3,-2111
4,-1703
5,-1455
6,-1831
7,-1774
8,-1790
9,-2366
10,-2462
11,-2301
12,-2237
13,-2637
14,-2317
15,-2652
16,-2108
17,-2820
18,-2971
19,-2931
20,-3026
21,-2994
22,-3074
23,-2801
24,-3265
25,-3465
26,-3288
27,-3120
28,-3287
29,-3279
30,-3254
31,-3590
32,-2990
33,-3325
34,-3445
35,-2916
36,-2948
37,-2988
38,-3211
39,-2899
40,-3378
41,-2906
42,-2738
43,-2945
44,-2817
45,-2873
46,-2928
47,-3336
48,-3319
49,-2903
50,-2743
51,-3070
52,-2014
53,-2526
54,-2045
55,-365
56,907
57,-6373
58,-20524
59,-54682
60,-101803
61,-218263
62,-445484
63,-680478
64,-907643
65,-1125876
66,-1338562
67,-1545143
68,-1748506
69,-1948837
70,-2146711
71,-2342769
72,-2535563
73,-2726573
74,-2915952
75,-3104772
76,-3293729
77,-3449847
78,-3450890
79,-3275461
80,-3052549
81,-2837800
82,-2623214
83,-2412806
84,-2204935
85,-1999106
86,-1795846
87,-1594859
88,-1396800
89,-1200358
90,-1007187
91,-815224
92,-627340
93,-441312
94,-257410
95,-76411
96,102247
97,276090
98,446529
99,605090
100,766744
101,928275
102,1063657
103,1195079
104,1337973
105,1472442
106,1566326
107,1622879
108,1675001
109,1749893
110,1850151
111,1956637
112,2037694
113,2098805
114,2153821
115,2212966
116,2262448
117,2293676
118,2315092
119,2346329
120,2385211
121,2424776
122,2454768
123,2474252
124,2487006
125,2492174
126,2476590
127,2431928
128,2356255
129,2254607
130,2131596
131,1985696
132,1817733
133,1636983
134,1455880
135,1288926
136,1147088
137,1039148
138,974662
139,960319
140,998337
141,1083815
142,1208859
143,1361840
144,1517753
145,1670544
146,1821468
147,1969718
148,2115845
149,2258891
150,2400103
151,2538186
152,2674492
153,2807318
154,2938807
155,3055728
156,3125395
157,3144054
158,3098342
159,2979628
160,2767600
161,2501294
162,2231661
163,1965804
164,1706476
165,1453884
166,1206075
167,964087
168,726202
169,491673
170,260789
171,32925
172,-192775
173,-416103
174,-636709
175,-856447
176,-1074798
177,-1293931
178,-1510397
179,-1722357
180,-1836930
181,-1749866
182,-1550589
183,-1352767
184,-1154682
185,-959989
186,-767288
187,-577018
188,-387780
189,-201884
190,-17148
191,164862
192,343834
193,519264
194,692401
195,861580
196,1027835
197,1192494
198,1352604
199,1510455
200,1664550
201,1816563
202,1965981
203,2112085
204,2255780
205,2397280
206,2535780
207,2671942
208,2805200
209,2935953
210,3065635
211,3191293
212,3316031
213,3438042
214,3555735
215,3643485
216,3702976
217,3739084
218,3755123
219,3753433
220,3736679
221,3707279
222,3669746
223,3628122
224,3586839
225,3550649
226,3521416
227,3504938
228,3500758
229,3508059
230,3525551
231,3547816
232,3570815
233,3589259
234,3596149
235,3586358
236,3556272
237,3501894
238,3424539
239,3322193
240,3200955
241,3063476
242,2918238
243,2774018
244,2640063
245,2526821
246,2444009
247,2400350
248,2402753
249,2456260
250,2563424
251,2699079
252,2834286
253,2967948
254,3099161
255,3229423
256,3357429
257,3482331
258,3606618
259,3727490
260,3847122
261,3963285
262,4078737
263,4189791
264,4301568
265,4384371
266,4382043
267,4296276
268,4114568
269,3852922
270,3567459
271,3285440
272,3006551
273,2735128
274,2466314
275,2203381
276,1944264
277,1688802
278,1435836
279,1186981
280,940508
281,696745
282,453732
283,212645
284,-27493
285,-263186
286,-487450
287,-638238
288,-666832
289,-575735
290,-397065
291,-212592
292,-30462
293,147526
294,325068
295,498972
296,670207
297,838941
298,1005471
299,1168492
300,1329349
301,1486019
302,1641174
303,1792893
304,1942482
305,2089901
306,2234182
307,2376277
308,2516171
309,2653848
310,2788412
311,2921232
312,3050907
313,3179431
314,3304579
315,3428479
316,3549213
317,3668443
318,3786532
319,3896557
320,3972226
321,4010821
322,4018827
323,3999121
324,3956360
325,3890413
326,3807611
327,3706914
328,3591877
329,3464383
330,3326576
331,3179522
332,3023590
333,2862708
334,2695655
335,2524422
336,2349426
337,2172363
338,1992570
339,1812902
340,1631793
341,1453322
342,1277865
343,1105741
344,938150
345,776499
346,621052
347,472592
348,332479
349,201174
350,80157
351,-28484
352,-124649
353,-206946
354,-273896
355,-324407
356,-357431
357,-371316
358,-367302
359,-344065
360,-301959
361,-241787
362,-163949
363,-70193
364,37064
365,155963
366,283312
367,415909
368,550211
369,684007
370,812572
371,933721
372,1043415
373,1138959
374,1216460
375,1275800
376,1313148
377,1328292
378,1318770
379,1286137
380,1229084
381,1149502
382,1047657
383,926777
384,788320
385,635840
386,471554
387,301089
388,127884
389,-44348
390,-210046
391,-366469
392,-508120
393,-632042
394,-735461
395,-815419
396,-869303
397,-895997
398,-893784
399,-864227
400,-805273
401,-719559
402,-605215
403,-468309
404,-307124
405,-130406
406,48073
407,223828
408,396704
409,565432
410,732139
411,896177
412,1057284
413,1215571
414,1370934
415,1524783
416,1674533
417,1822585
418,1967690
419,2110954
420,2251512
421,2390477
422,2526129
423,2660429
424,2792080
425,2921923
426,3050151
427,3175802
428,3300087
429,3421956
430,3538322
431,3636730
432,3720326
433,3786968
434,3838914
435,3872205
436,3889589
437,3889818
438,3872295
439,3838862
440,3787602
441,3722115
442,3640501
443,3545704
444,3436344
445,3316100
446,3183839
447,3042163
448,2891519
449,2732670
450,2567761
451,2397071
452,2222643
453,2044579
454,1863858
455,1681510
456,1499825
457,1317114
458,1137345
459,959270
460,784577
461,613217
462,447654
463,287512
464,134020
465,-12452
466,-149938
467,-278080
468,-396214
469,-503230
470,-599824
