# note,坏棒 总长 1002 任意重度敲 铁头
# rod_len_mm,
# defect_true_mm,695
# err_mm,-372
# time,2026-07-30 15:07:50
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,34
# bottom_index,0
# distance_mm,323
# threshold,500000
# peak_abs,1043199
index,raw24
0,-2359
1,-2927
2,-2926
3,-3262
4,-2422
5,-2709
6,-2541
7,-2581
8,-2668
9,-3044
10,-2683
11,-2627
12,-2163
13,-2571
14,-2578
15,-2682
16,-2913
17,-2641
18,-3137
19,-3168
20,-3656
21,-5343
22,-7951
23,-12838
24,-18732
25,-24642
26,-30095
27,-36331
28,-43999
29,-53457
30,-63987
31,-75203
32,-86802
33,-99135
34,-111739
35,-125565
36,-139014
37,-153669
38,-168122
39,-181862
40,-196400
41,-211624
42,-228790
43,-246882
44,-266228
45,-284867
46,-302840
47,-320539
48,-338652
49,-356499
50,-375463
51,-395274
52,-416265
53,-436494
54,-456577
55,-475545
56,-493631
57,-512723
58,-531540
59,-550795
60,-569480
61,-587859
62,-605691
63,-621953
64,-637869
65,-653319
66,-668095
67,-681422
68,-693531
69,-704510
70,-713072
71,-720401
72,-725721
73,-729256
74,-730639
75,-730374
76,-727341
77,-722860
78,-714868
79,-705269
80,-693374
81,-678890
82,-663287
83,-645038
84,-624543
85,-601459
86,-576866
87,-550227
88,-521920
89,-492824
90,-461388
91,-430380
92,-396807
93,-364071
94,-328706
95,-293650
96,-258814
97,-223583
98,-189171
99,-155020
100,-120609
101,-87490
102,-54928
103,-22401
104,8754
105,39241
106,67564
107,95796
108,122008
109,147985
110,171775
111,194594
112,216554
113,236624
114,256155
115,273531
116,290706
117,305559
118,319273
119,332322
120,343666
121,353688
122,361797
123,368496
124,372891
125,376190
126,378328
127,378914
128,378531
129,376205
130,373055
131,368018
132,361421
133,353633
134,344885
135,334403
136,322994
137,310435
138,297213
139,281777
140,266062
141,249062
142,231640
143,213715
144,195329
145,176401
146,157292
147,137968
148,118160
149,98617
150,78245
151,58516
152,38468
153,19176
154,-955
155,-20467
156,-40464
157,-60123
158,-78876
159,-98218
160,-116126
161,-134336
162,-151639
163,-168285
164,-184136
165,-199242
166,-213394
167,-226271
168,-239332
169,-249479
170,-258808
171,-266705
172,-272984
173,-278071
174,-279989
175,-280626
176,-278456
177,-274478
178,-267149
179,-258188
