hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,14:55:02,hit_001_20260730_145502.csv,512,DEFECT,HIGH,0,40,112,396,500000,4878363,4878363,-4108166,1000700.9,,695,-299,坏棒 总长 1002 任意重度敲 铁头
2,14:55:04,hit_002_20260730_145504.csv,512,DEFECT,HIGH,0,76,108,670,500000,5093959,5093959,-3473774,1615080.2,,695,-25,坏棒 总长 1002 任意重度敲 铁头
3,14:55:04,hit_003_20260730_145504.csv,512,DEFECT,HIGH,0,76,109,663,500000,5132207,5132207,-3552533,1580382.5,,695,-32,坏棒 总长 1002 任意重度敲 铁头
4,14:55:05,hit_004_20260730_145505.csv,512,NORMAL,HIGH,0,0,108,0,500000,4905179,4905179,-3649614,1533622.2,,695,,坏棒 总长 1002 任意重度敲 铁头
5,14:55:05,hit_005_20260730_145505.csv,512,DEFECT,HIGH,0,74,108,649,500000,4504434,4504434,-3492409,1292776.3,,695,-46,坏棒 总长 1002 任意重度敲 铁头
6,14:55:06,hit_006_20260730_145506.csv,512,DEFECT,HIGH,0,76,109,775,500000,3904987,3904987,-3528954,845484,,695,80,坏棒 总长 1002 任意重度敲 铁头
7,14:55:06,hit_007_20260730_145506.csv,512,DEFECT,HIGH,0,75,108,659,500000,4538004,4538004,-3539589,1261123.4,,695,-36,坏棒 总长 1002 任意重度敲 铁头
8,14:55:06,hit_008_20260730_145506.csv,512,DEFECT,HIGH,0,76,108,670,500000,5116875,5116875,-3497199,1650538.3,,695,-25,坏棒 总长 1002 任意重度敲 铁头
9,14:55:07,hit_009_20260730_145507.csv,512,NORMAL,HIGH,0,0,108,0,500000,5209763,5209763,-3357455,1814798,,695,,坏棒 总长 1002 任意重度敲 铁头
10,14:55:07,hit_010_20260730_145507.csv,512,DEFECT,HIGH,0,77,110,666,500000,4951337,4951337,-3718383,1361025.7,,695,-29,坏棒 总长 1002 任意重度敲 铁头
11,14:55:07,hit_011_20260730_145507.csv,512,DEFECT,HIGH,0,77,109,785,500000,4583663,4583663,-3584909,1236793.2,,695,90,坏棒 总长 1002 任意重度敲 铁头
12,14:55:08,hit_012_20260730_145508.csv,512,DEFECT,HIGH,0,77,110,666,500000,4925364,4925364,-3800532,1248676.4,,695,-29,坏棒 总长 1002 任意重度敲 铁头
13,14:55:08,hit_013_20260730_145508.csv,512,DEFECT,HIGH,0,78,110,787,500000,4213263,4213263,-3920524,833227.5,,695,92,坏棒 总长 1002 任意重度敲 铁头
14,14:55:09,hit_014_20260730_145509.csv,512,DEFECT,HIGH,0,76,108,670,500000,5500028,5500028,-3396978,1871920.8,,695,-25,坏棒 总长 1002 任意重度敲 铁头
15,14:55:09,hit_015_20260730_145509.csv,512,DEFECT,HIGH,0,75,108,659,500000,5019695,5019695,-3345362,1683666.4,,695,-36,坏棒 总长 1002 任意重度敲 铁头
16,14:55:10,hit_016_20260730_145510.csv,512,DEFECT,HIGH,0,73,108,639,500000,4368881,4368881,-3195431,1298003.1,,695,-56,坏棒 总长 1002 任意重度敲 铁头
17,14:55:10,hit_017_20260730_145510.csv,512,DEFECT,HIGH,0,77,109,785,500000,4527298,4527298,-3553372,1145105.8,,695,90,坏棒 总长 1002 任意重度敲 铁头
18,14:55:11,hit_018_20260730_145511.csv,512,DEFECT,HIGH,0,75,108,659,500000,5779976,5779976,-3248350,2075491.7,,695,-36,坏棒 总长 1002 任意重度敲 铁头
19,14:55:11,hit_019_20260730_145511.csv,512,DEFECT,HIGH,0,82,110,828,500000,4671819,4671819,-3394791,1353384.8,,695,133,坏棒 总长 1002 任意重度敲 铁头
20,14:55:12,hit_020_20260730_145512.csv,512,DEFECT,HIGH,0,74,108,649,500000,5158871,5158871,-3299499,1433283.4,,695,-46,坏棒 总长 1002 任意重度敲 铁头
21,14:55:12,hit_021_20260730_145512.csv,512,NORMAL,HIGH,0,0,115,0,500000,5342182,5342182,-2932692,1939718,,695,,坏棒 总长 1002 任意重度敲 铁头
22,14:55:13,hit_022_20260730_145513.csv,512,DEFECT,HIGH,0,82,110,828,500000,4476388,4476388,-3296563,1268012.4,,695,133,坏棒 总长 1002 任意重度敲 铁头
23,14:55:13,hit_023_20260730_145513.csv,512,DEFECT,HIGH,0,22,115,211,500000,4580078,3494454,-4580078,112524.6,,695,-484,坏棒 总长 1002 任意重度敲 铁头
24,14:55:14,hit_024_20260730_145514.csv,512,DEFECT,HIGH,0,83,111,830,500000,5053704,5053704,-3489295,1542165.3,,695,135,坏棒 总长 1002 任意重度敲 铁头
25,14:55:14,hit_025_20260730_145514.csv,512,DEFECT,HIGH,0,76,108,670,500000,5254534,5254534,-2875177,1829872.2,,695,-25,坏棒 总长 1002 任意重度敲 铁头
26,14:55:15,hit_026_20260730_145515.csv,512,DEFECT,HIGH,0,76,109,663,500000,5114094,5114094,-3293133,1585157.1,,695,-32,坏棒 总长 1002 任意重度敲 铁头
