# note,坏帮 总长1002 轻轻敲 塑料头 307
# rod_len_mm,
# defect_true_mm,307
# err_mm,315
# time,2026-07-30 16:02:50
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,61
# bottom_index,109
# distance_mm,622
# threshold,500000
# peak_abs,4859521
index,raw24
0,-4668
1,-4651
2,-4491
3,-4634
4,-4578
5,-4809
6,-4952
7,-4456
8,-4463
9,-4847
10,-4214
11,-4678
12,-3949
13,-3844
14,-3980
15,-2403
16,-307
17,4133
18,9132
19,13139
20,15962
21,14736
22,9278
23,5045
24,1308
25,-244
26,-1340
27,-3284
28,-4396
29,-2763
30,149
31,2325
32,3621
33,4581
34,6996
35,9827
36,10186
37,9313
38,5464
39,2663
40,1550
41,1590
42,3478
43,6902
44,11701
45,17099
46,22241
47,23423
48,23292
49,22641
50,23622
51,27411
52,34144
53,41676
54,47382
55,52009
56,53738
57,59876
58,80124
59,120787
60,197836
61,311052
62,448238
63,595327
64,715006
65,787383
66,807159
67,776220
68,705430
69,603599
70,479966
71,358315
72,248919
73,145169
74,38647
75,-84773
76,-221707
77,-366856
78,-527395
79,-706475
80,-903813
81,-1109782
82,-1312167
83,-1512806
84,-1709478
85,-1904573
86,-2096125
87,-2285781
88,-2475206
89,-2666792
90,-2856690
91,-3042437
92,-3225994
93,-3406248
94,-3583664
95,-3757963
96,-3929856
97,-4097544
98,-4261260
99,-4418380
100,-4570305
101,-4708147
102,-4805820
103,-4854297
104,-4859521
105,-4817959
106,-4729499
107,-4598594
108,-4426905
109,-4222700
110,-3997537
111,-3773521
112,-3550556
113,-3331971
114,-3115540
115,-2906839
116,-2721741
117,-2542544
118,-2352266
119,-2150643
120,-1950364
121,-1751830
122,-1556928
123,-1362906
124,-1172076
125,-982829
126,-795885
127,-611340
128,-428689
129,-247845
130,-69254
131,106890
132,280757
133,451387
134,620684
135,784352
136,948664
137,1073244
138,1135489
139,1165495
140,1188512
141,1221751
142,1274890
143,1348158
144,1431258
145,1509347
146,1568643
147,1604739
148,1624327
149,1638745
150,1654921
151,1675039
152,1692491
153,1703444
154,1703692
155,1692804
156,1670693
157,1637905
158,1594369
159,1537695
160,1463899
161,1368280
162,1246617
163,1100393
164,933027
165,748857
166,551213
167,339482
168,118721
169,-104630
170,-327369
171,-549769
172,-769862
173,-988592
174,-1204967
175,-1419580
176,-1630735
177,-1837624
178,-2040863
179,-2240998
180,-2437869
181,-2630523
182,-2821002
183,-3007770
184,-3191338
185,-3369333
186,-3543666
187,-3713889
188,-3878596
189,-4037498
190,-4188445
191,-4320470
192,-4420295
193,-4490563
194,-4525167
195,-4525782
