# note,坏帮 总长1002 轻轻敲 塑料头 307
# rod_len_mm,
# defect_true_mm,307
# err_mm,
# time,2026-07-30 16:03:25
# points,512
# state,NORMAL
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,0
# distance_mm,0
# threshold,1000000
# peak_abs,2310828
index,raw24
0,139063
1,150702
2,163932
3,179312
4,195506
5,213386
6,231256
7,250756
8,271637
9,292108
10,313328
11,335074
12,357177
13,379709
14,402535
15,425846
16,449266
17,472443
18,495985
19,521069
20,546493
21,572570
22,600100
23,627211
24,653871
25,679735
26,705196
27,729326
28,753117
29,776681
30,799642
31,822296
32,843756
33,865477
34,885747
35,907095
36,927792
37,948255
38,968939
39,990253
40,1011380
41,1032849
42,1054218
43,1075802
44,1097342
45,1118992
46,1139920
47,1160053
48,1180143
49,1200239
50,1219564
51,1238960
52,1257408
53,1274127
54,1290619
55,1307174
56,1322494
57,1338101
58,1353761
59,1369036
60,1385053
61,1401324
62,1418417
63,1435700
64,1453876
65,1472507
66,1490319
67,1507529
68,1525849
69,1543847
70,1562378
71,1581196
72,1599979
73,1619111
74,1637362
75,1656210
76,1673159
77,1689947
78,1705717
79,1721821
80,1737819
81,1753382
82,1770376
83,1787216
84,1806574
85,1825233
86,1845203
87,1866673
88,1886950
89,1908647
90,1931406
91,1954418
92,1978428
93,2003090
94,2027718
95,2050878
96,2072988
97,2094607
98,2114687
99,2134925
100,2152888
101,2170281
102,2187289
103,2202837
104,2218409
105,2231850
106,2244697
107,2256751
108,2268316
109,2278103
110,2288345
111,2295609
112,2302489
113,2306968
114,2309798
115,2310828
116,2309034
117,2304433
118,2296527
119,2286735
120,2272136
121,2255938
122,2235607
123,2213334
124,2188216
125,2161629
126,2133125
127,2102264
128,2070432
129,2036315
130,2002114
131,1966574
132,1928350
133,1888467
134,1847812
135,1804730
136,1760606
137,1715791
138,1669542
139,1623018
140,1576044
141,1528427
142,1481129
143,1433604
144,1386525
145,1338324
146,1290624
147,1243011
148,1196579
149,1149105
150,1102861
151,1056454
152,1010213
153,965386
154,920516
155,876851
156,832848
157,789243
158,746242
159,704799
160,663737
161,622672
162,582620
163,543917
164,504595
165,465997
166,428652
167,391568
168,355400
169,319028
170,282941
171,248147
172,214157
173,181858
174,149372
175,117802
176,86436
177,55953
178,25666
179,-4713
180,-33688
181,-63556
182,-91805
183,-119121
184,-146443
185,-173161
186,-199580
187,-224987
188,-250568
189,-274937
190,-298528
191,-321747
192,-344220
193,-365618
194,-386109
195,-405454
196,-425765
197,-443945
198,-461954
199,-479234
200,-495087
201,-510859
202,-525357
203,-539148
204,-551707
205,-564919
206,-575754
207,-586580
208,-595972
209,-603844
210,-611650
211,-618535
212,-624284
213,-629199
214,-632763
215,-635317
216,-638056
217,-638282
218,-636460
219,-633630
220,-628921
221,-624236
222,-618952
223,-614796
224,-610393
225,-606615
226,-603981
227,-601323
228,-599361
229,-597280
230,-594839
231,-592175
232,-589902
233,-586782
234,-584423
235,-582399
236,-580464
237,-578769
238,-577579
239,-576636
240,-576534
241,-576079
242,-575569
243,-575211
244,-575253
245,-575606
246,-575288
247,-576074
248,-576363
249,-577213
250,-578007
251,-578640
252,-579737
253,-580051
254,-580340
255,-581221
256,-582918
257,-583647
258,-585816
259,-587568
260,-589504
261,-591432
262,-592792
263,-594304
264,-595887
265,-596926
266,-597989
267,-598468
268,-598563
269,-598786
270,-598689
271,-598496
272,-598519
273,-597830
274,-596941
275,-597028
276,-595803
277,-594826
278,-594106
279,-593161
280,-591649
281,-589273
282,-587281
283,-584289
284,-582282
285,-578555
286,-575244
287,-571942
288,-568288
289,-565698
290,-561861
291,-558073
292,-554085
293,-549425
294,-544686
295,-539211
296,-532250
297,-523865
298,-512361
299,-498490
300,-483869
301,-469266
302,-455017
303,-441473
304,-429315
305,-418495
306,-408996
307,-401122
308,-393169
309,-386865
310,-380250
311,-373787
312,-367517
313,-361281
314,-355836
315,-350761
316,-346054
317,-342140
318,-338994
319,-336609
320,-334288
321,-332847
322,-331990
323,-331094
324,-330413
325,-329525
326,-328461
327,-326685
328,-325477
329,-324789
330,-324613
331,-325350
332,-326782
333,-329046
334,-331534
335,-334725
336,-338148
337,-340955
338,-344049
339,-347423
340,-349981
341,-352914
342,-355919
343,-358164
344,-360688
345,-362404
346,-364808
347,-366267
348,-368734
349,-370841
350,-373636
351,-375462
352,-378441
353,-381202
354,-383724
355,-386653
356,-389646
357,-392910
358,-395902
359,-397622
360,-399597
361,-401053
362,-402700
363,-403834
364,-405169
365,-406696
366,-408150
367,-408892
368,-410226
369,-410944
370,-411350
371,-410044
372,-407738
373,-404448
374,-398678
375,-391790
376,-383598
377,-374479
378,-363025
379,-348061
380,-329266
381,-306466
382,-282045
383,-258914
384,-237219
385,-218758
386,-202395
387,-188938
388,-176643
