# note,坏帮 总长1002 轻轻敲 塑料头 307
# rod_len_mm,
# defect_true_mm,307
# err_mm,-98
# time,2026-07-30 16:06:35
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,22
# bottom_index,116
# distance_mm,209
# threshold,500000
# peak_abs,4494984
index,raw24
0,-5702
1,-7117
2,-8413
3,-9579
4,-10970
5,-11441
6,-13112
7,-14358
8,-15044
9,-15794
10,-17216
11,-17574
12,-18700
13,-19594
14,-19823
15,-20829
16,-21498
17,-22392
18,-23621
19,-24466
20,-25023
21,-26452
22,-27593
23,-28333
24,-29242
25,-29246
26,-30211
27,-30695
28,-31275
29,-32031
30,-33243
31,-34375
32,-35539
33,-36799
34,-37586
35,-38590
36,-39081
37,-40340
38,-40671
39,-41690
40,-42773
41,-43824
42,-44979
43,-46005
44,-47264
45,-48754
46,-50636
47,-52110
48,-53983
49,-56377
50,-58618
51,-62091
52,-65795
53,-70979
54,-76370
55,-83897
56,-92159
57,-104371
58,-124407
59,-161055
60,-222452
61,-316649
62,-451122
63,-636787
64,-853877
65,-1074277
66,-1292298
67,-1503556
68,-1710620
69,-1911155
70,-2106386
71,-2297833
72,-2484985
73,-2670593
74,-2853747
75,-3035887
76,-3215004
77,-3393996
78,-3569893
79,-3744274
80,-3916449
81,-4083834
82,-4243160
83,-4385258
84,-4474931
85,-4494984
86,-4450604
87,-4339900
88,-4160787
89,-3934535
90,-3708838
91,-3485266
92,-3266352
93,-3048209
94,-2834077
95,-2622235
96,-2412667
97,-2206053
98,-2001343
99,-1799723
100,-1599687
101,-1403484
102,-1208761
103,-1017037
104,-826849
105,-639292
106,-453382
107,-271118
108,-90197
109,87798
110,263107
111,435987
112,603902
113,770924
114,933542
115,1092388
116,1209550
117,1279915
118,1318230
119,1334046
120,1330347
121,1313080
122,1289096
123,1265747
124,1245872
125,1230168
126,1214370
127,1192406
128,1161644
129,1122166
130,1076573
131,1026770
132,974508
133,917621
134,858493
135,794869
136,727228
137,656667
138,586291
139,519675
140,460612
141,412507
142,376025
143,352627
144,345056
145,355398
146,385994
147,436347
148,507310
149,595664
150,698831
151,815178
152,940734
153,1071892
154,1204585
155,1335062
156,1459699
157,1574577
158,1675512
159,1763236
160,1832477
161,1883085
162,1912679
163,1919173
164,1897387
165,1846140
166,1761338
167,1640299
168,1478699
169,1273086
170,1037787
171,798516
172,555371
173,314575
174,76065
175,-158537
176,-389605
177,-617294
178,-840266
179,-1059052
180,-1274443
181,-1487007
182,-1695129
183,-1900147
184,-2101499
185,-2300978
186,-2495841
187,-2686848
188,-2869160
189,-3031458
190,-3128048
191,-3147346
192,-3090954
193,-2954913
194,-2753688
195,-2539760
196,-2331050
197,-2123925
198,-1920106
199,-1717864
200,-1518638
201,-1320172
202,-1125147
203,-931666
204,-741848
205,-553262
206,-367178
207,-183045
208,-1551
209,177313
210,353796
211,526969
212,697680
213,865451
214,1030257
215,1191548
216,1351210
217,1507181
218,1660669
219,1810458
220,1958221
221,2103430
222,2245254
223,2385947
224,2521792
225,2657492
226,2774736
227,2853213
228,2903249
229,2929694
230,2937041
231,2928514
232,2908693
233,2879834
234,2844106
235,2801199
236,2754545
237,2703385
238,2649551
239,2592931
240,2535503
241,2476009
242,2416587
243,2357588
244,2300556
245,2245819
246,2196081
247,2152541
248,2116294
249,2089868
250,2074237
