# note,坏帮 总长1002 轻轻敲 塑料头 307
# rod_len_mm,
# defect_true_mm,307
# err_mm,
# time,2026-07-30 16:07:06
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,110
# distance_mm,0
# threshold,500000
# peak_abs,4507702
index,raw24
0,1908
1,2339
2,2115
3,1955
4,1915
5,1810
6,1994
7,1642
8,1858
9,1873
10,1521
11,1865
12,1537
13,2081
14,1784
15,1560
16,1424
17,1448
18,1567
19,1287
20,1527
21,1543
22,1351
23,2030
24,1790
25,1478
26,1830
27,1726
28,1653
29,1965
30,1845
31,2181
32,2012
33,1636
34,2020
35,2092
36,1939
37,1979
38,2643
39,2002
40,2066
41,2162
42,1962
43,1913
44,1537
45,1793
46,1537
47,1696
48,1368
49,1776
50,1656
51,1640
52,2079
53,1407
54,903
55,455
56,-1601
57,-5473
58,-12088
59,-30847
60,-85275
61,-195249
62,-381265
63,-607922
64,-833672
65,-1053522
66,-1267266
67,-1474039
68,-1674611
69,-1870911
70,-2064250
71,-2254494
72,-2442811
73,-2629857
74,-2816400
75,-3001832
76,-3184569
77,-3365637
78,-3537826
79,-3676954
80,-3716145
81,-3653259
82,-3484765
83,-3263740
84,-3045198
85,-2829290
86,-2616504
87,-2405849
88,-2198931
89,-1993551
90,-1792132
91,-1593065
92,-1396702
93,-1202124
94,-1011209
95,-821878
96,-635321
97,-449700
98,-267477
99,-86588
100,91398
101,267075
102,439907
103,609709
104,777435
105,941604
106,1103489
107,1262074
108,1418368
109,1572243
110,1723563
111,1871432
112,2017580
113,2161430
114,2302702
115,2440749
116,2578099
117,2710776
118,2843717
119,2959098
120,3008009
121,2987257
122,2895501
123,2742995
124,2535316
125,2292647
126,2041999
127,1792230
128,1544955
129,1301406
130,1060520
131,826214
132,600409
133,405208
134,257334
135,156023
136,99380
137,86344
138,110821
139,168648
140,253027
141,358884
142,479808
143,614278
144,761947
145,920902
146,1083205
147,1243241
148,1400425
149,1555238
150,1707912
151,1857040
152,2004589
153,2149304
154,2291418
155,2430282
156,2567418
157,2700120
158,2796519
159,2840777
160,2832343
161,2763317
162,2629971
163,2424202
164,2171538
165,1913801
166,1657168
167,1406173
168,1158386
169,915668
170,677429
171,444018
172,214332
173,-12247
174,-235997
175,-455624
176,-672609
177,-886951
178,-1099826
179,-1310292
180,-1519860
181,-1726266
182,-1931512
183,-2090268
184,-2107141
185,-1968259
186,-1761667
187,-1561652
188,-1361221
189,-1165079
190,-969081
191,-777307
192,-586404
193,-397980
194,-211036
195,-27226
196,154593
197,333495
198,508638
199,681696
200,851181
201,1017589
202,1180928
203,1341768
204,1498692
205,1653253
206,1804348
207,1953295
208,2098889
209,2242289
210,2383111
211,2521188
212,2657600
213,2791804
214,2922679
215,3051514
216,3179414
217,3303362
218,3427462
219,3548260
220,3668731
221,3784875
222,3900565
223,4014217
224,4127095
225,4231135
226,4316154
227,4386500
228,4438836
229,4477294
230,4499140
231,4507702
232,4500640
233,4480547
234,4445608
235,4396313
236,4332088
237,4253592
238,4162672
239,4058868
240,3946405
241,3825827
242,3703616
243,3582468
244,3469158
245,3366823
246,3280396
247,3213827
248,3169515
249,3149520
250,3154416
251,3184311
252,3235610
253,3307535
254,3395403
255,3498509
256,3609474
257,3725609
258,3843994
259,3959325
260,4072298
261,4175480
262,4267363
263,4344282
264,4403655
265,4441630
266,4455912
267,4441328
268,4395914
269,4314721
270,4194778
271,4032722
272,3824838
273,3573507
274,3306383
275,3040067
276,2771656
277,2508006
278,2247571
279,1991489
280,1737974
281,1488794
282,1241732
283,997764
284,757059
285,517854
286,282311
287,47453
288,-178921
289,-394187
290,-556435
291,-634167
292,-627330
293,-533325
294,-364292
295,-179616
296,1462
297,180174
298,356648
299,528924
300,700644
301,867990
302,1033652
303,1195774
304,1355204
305,1511535
306,1665390
307,1817299
308,1965717
309,2112485
310,2255867
311,2397920
312,2536571
313,2673421
314,2807087
315,2938688
316,3067738
317,3195603
318,3319413
319,3443616
320,3550867
321,3612522
322,3634865
323,3621821
324,3578299
325,3506334
326,3412578
327,3298034
328,3167783
329,3023636
330,2869539
331,2706245
332,2537315
333,2363485
334,2186692
335,2008113
336,1829612
337,1652253
338,1478499
339,1308799
340,1143695
341,986483
342,835499
343,693173
344,558808
345,433316
346,315887
347,207753
348,109311
349,20874
350,-58137
351,-126282
352,-183426
353,-230476
354,-265392
355,-290311
356,-304524
357,-308239
358,-303985
359,-290468
360,-269680
361,-243343
362,-212602
363,-178048
364,-141978
365,-104457
366,-68492
367,-33907
368,-3615
369,22713
370,43374
371,57441
372,63882
373,62474
374,50923
375,30236
376,17
377,-42127
378,-94090
379,-157535
380,-232787
381,-318607
382,-416200
383,-523893
384,-641829
385,-768335
386,-903465
387,-1045155
388,-1191363
389,-1340914
390,-1490886
391,-1638368
392,-1782832
393,-1920286
394,-2048980
395,-2166010
396,-2270938
397,-2359716
398,-2431188
399,-2484427
400,-2516812
401,-2529945
402,-2519900
403,-2489880
404,-2436760
405,-2363775
406,-2269630
407,-2156721
408,-2025138
409,-1878131
410,-1717270
411,-1544300
412,-1362503
413,-1174049
414,-984626
415,-796346
416,-610944
417,-427454
418,-246258
419,-67467
420,108885
421,282335
422,451613
423,612150
424,760883
425,898430
426,1024793
427,1139187
428,1242680
429,1333545
430,1412750
431,1480169
432,1536997
433,1581833
434,1616040
435,1637891
436,1649515
437,1649321
438,1637496
439,1614504
440,1579243
441,1533938
442,1475847
443,1407835
444,1327583
445,1237933
446,1137806
447,1028771
448,911477
449,786486
450,655142
451,518886
452,378726
453,236008
454,91395
455,-52856
456,-195761
457,-334585
458,-469153
459,-598479
460,-720278
461,-835302
462,-941200
463,-1037989
464,-1124863
465,-1201797
466,-1268459
467,-1326280
468,-1372494
469,-1409982
470,-1437482
471,-1455779
472,-1466569
473,-1470294
474,-1466298
475,-1456663
476,-1441278
477,-1421294
478,-1398024
479,-1370925
480,-1342854
481,-1313042
482,-1281762
483,-1251165
484,-1219653
485,-1189600
486,-1160215
487,-1133033
488,-1108495
489,-1086831
490,-1066587
491,-1050784
492,-1037008
493,-1026601
494,-1018684
495,-1012128
496,-1007660
497,-1003857
498,-1000223
499,-996412
500,-991203
501,-983978
502,-974802
503,-960851
504,-942213
505,-918362
506,-888082
507,-851438
508,-805750
509,-753267
510,-690863
511,-619515
