hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,16:02:38,hit_001_20260730_160238.csv,512,NORMAL,HIGH,0,0,114,0,500000,4613090,4613090,-4398128,367513.0,,307,,坏帮 总长1002 轻轻敲 塑料头 307
2,16:02:38,hit_002_20260730_160238.csv,512,DEFECT,HIGH,0,22,113,215,500000,4446163,3971252,-4446163,-117930.3,,307,-92,坏帮 总长1002 轻轻敲 塑料头 307
3,16:02:39,hit_003_20260730_160239.csv,512,DEFECT,HIGH,0,25,110,252,500000,4732887,4139150,-4732887,-122089.2,,307,-55,坏帮 总长1002 轻轻敲 塑料头 307
4,16:02:39,hit_004_20260730_160239.csv,512,DEFECT,HIGH,0,24,111,240,500000,4766323,4547704,-4766323,264384.9,,307,-67,坏帮 总长1002 轻轻敲 塑料头 307
5,16:02:40,hit_005_20260730_160240.csv,512,NORMAL,HIGH,0,0,113,0,500000,4937321,4937321,-3857385,810132.3,,307,,坏帮 总长1002 轻轻敲 塑料头 307
6,16:02:40,hit_006_20260730_160240.csv,512,DEFECT,HIGH,0,23,110,232,500000,4609092,4336105,-4609092,148072.5,,307,-75,坏帮 总长1002 轻轻敲 塑料头 307
7,16:02:41,hit_007_20260730_160241.csv,512,DEFECT,HIGH,0,32,114,310,500000,5871330,3864656,-5871330,-503928.7,,307,3,坏帮 总长1002 轻轻敲 塑料头 307
8,16:02:41,hit_008_20260730_160241.csv,512,DEFECT,HIGH,0,29,112,287,500000,5572681,4339754,-5572681,-18381.4,,307,-20,坏帮 总长1002 轻轻敲 塑料头 307
9,16:02:41,hit_009_20260730_160241.csv,512,DEFECT,HIGH,0,24,111,240,500000,4971137,4460367,-4971137,234688.5,,307,-67,坏帮 总长1002 轻轻敲 塑料头 307
10,16:02:42,hit_010_20260730_160242.csv,512,DEFECT,HIGH,0,25,110,252,500000,4992575,4469152,-4992575,209200.6,,307,-55,坏帮 总长1002 轻轻敲 塑料头 307
11,16:02:42,hit_011_20260730_160242.csv,512,DEFECT,HIGH,0,24,110,242,500000,4849396,4632418,-4849396,340974.2,,307,-65,坏帮 总长1002 轻轻敲 塑料头 307
12,16:02:42,hit_012_20260730_160242.csv,512,NORMAL,HIGH,0,0,110,0,500000,4684522,4684522,-4669935,414322.2,,307,,坏帮 总长1002 轻轻敲 塑料头 307
13,16:02:43,hit_013_20260730_160243.csv,512,DEFECT,HIGH,0,29,113,284,500000,5407338,4124175,-5407338,-208613.9,,307,-23,坏帮 总长1002 轻轻敲 塑料头 307
14,16:02:43,hit_014_20260730_160243.csv,512,DEFECT,HIGH,0,28,113,274,500000,5093791,3849944,-5093791,-360841.0,,307,-33,坏帮 总长1002 轻轻敲 塑料头 307
15,16:02:44,hit_015_20260730_160244.csv,512,DEFECT,HIGH,0,50,110,505,500000,5045956,3811022,-5045956,-458369.5,,307,198,坏帮 总长1002 轻轻敲 塑料头 307
16,16:02:44,hit_016_20260730_160244.csv,512,DEFECT,HIGH,0,25,119,221,500000,4737539,3730591,-4737539,-431116.6,,307,-86,坏帮 总长1002 轻轻敲 塑料头 307
17,16:02:44,hit_017_20260730_160244.csv,512,DEFECT,HIGH,0,32,124,283,500000,5491216,3917594,-5491216,-604139.9,,307,-24,坏帮 总长1002 轻轻敲 塑料头 307
18,16:02:44,hit_018_20260730_160244.csv,512,DEFECT,HIGH,0,39,113,345,500000,4149098,4149098,-3938635,-500236.0,,307,38,坏帮 总长1002 轻轻敲 塑料头 307
19,16:02:49,hit_019_20260730_160249.csv,512,DEFECT,HIGH,0,26,116,230,500000,4227079,3440877,-4227079,-496183.2,,307,-77,坏帮 总长1002 轻轻敲 塑料头 307
20,16:02:49,hit_020_20260730_160249.csv,512,DEFECT,HIGH,0,33,108,340,500000,4552349,4552349,-4400433,209897.0,,307,33,坏帮 总长1002 轻轻敲 塑料头 307
21,16:02:50,hit_021_20260730_160250.csv,512,DEFECT,HIGH,0,61,109,622,500000,4859521,3728254,-4859521,-577405.9,,307,315,坏帮 总长1002 轻轻敲 塑料头 307
22,16:02:50,hit_022_20260730_160250.csv,512,DEFECT,HIGH,0,38,124,336,500000,4693666,4115443,-4693666,-170609.0,,307,29,坏帮 总长1002 轻轻敲 塑料头 307
23,16:02:50,hit_023_20260730_160250.csv,512,DEFECT,HIGH,0,32,108,329,500000,5127543,5127543,-3906745,629536.9,,307,22,坏帮 总长1002 轻轻敲 塑料头 307
24,16:02:51,hit_024_20260730_160251.csv,512,DEFECT,HIGH,0,21,117,185,500000,4775064,4775064,-4479640,441250.6,,307,-122,坏帮 总长1002 轻轻敲 塑料头 307
25,16:02:51,hit_025_20260730_160251.csv,512,NORMAL,HIGH,0,0,108,0,500000,4713500,4713500,-3959078,495345.4,,307,,坏帮 总长1002 轻轻敲 塑料头 307
26,16:02:51,hit_026_20260730_160251.csv,512,NORMAL,HIGH,0,0,108,0,500000,4759034,4759034,-4463985,465118.0,,307,,坏帮 总长1002 轻轻敲 塑料头 307
27,16:02:52,hit_027_20260730_160252.csv,512,DEFECT,HIGH,0,59,110,595,500000,4905594,4587712,-4905594,210209.6,,307,288,坏帮 总长1002 轻轻敲 塑料头 307
28,16:02:52,hit_028_20260730_160252.csv,512,DEFECT,HIGH,0,48,108,494,500000,4921621,4921621,-3962656,571409.5,,307,187,坏帮 总长1002 轻轻敲 塑料头 307
29,16:02:52,hit_029_20260730_160252.csv,512,NORMAL,HIGH,0,0,116,0,500000,4927207,4927207,-4258859,544445.5,,307,,坏帮 总长1002 轻轻敲 塑料头 307
30,16:02:52,hit_030_20260730_160252.csv,512,DEFECT,HIGH,0,21,117,185,500000,4527700,4419094,-4527700,115850.8,,307,-122,坏帮 总长1002 轻轻敲 塑料头 307
31,16:02:53,hit_031_20260730_160253.csv,512,NORMAL,HIGH,0,0,108,0,500000,4566977,4566977,-4544808,294357.0,,307,,坏帮 总长1002 轻轻敲 塑料头 307
32,16:02:53,hit_032_20260730_160253.csv,512,DEFECT,HIGH,0,98,116,769,500000,4975081,4975081,-4322791,546475.6,,307,462,坏帮 总长1002 轻轻敲 塑料头 307
33,16:02:53,hit_033_20260730_160253.csv,512,DEFECT,HIGH,0,22,119,194,500000,4725417,4539841,-4725417,257880.5,,307,-113,坏帮 总长1002 轻轻敲 塑料头 307
34,16:02:54,hit_034_20260730_160254.csv,512,DEFECT,HIGH,0,97,113,761,500000,5097887,5097887,-4058617,740779.8,,307,454,坏帮 总长1002 轻轻敲 塑料头 307
35,16:02:54,hit_035_20260730_160254.csv,512,DEFECT,HIGH,0,44,116,389,500000,5153343,5153343,-4053434,658823.1,,307,82,坏帮 总长1002 轻轻敲 塑料头 307
36,16:02:54,hit_036_20260730_160254.csv,512,DEFECT,HIGH,0,24,108,247,500000,5177392,5177392,-4055717,760169.2,,307,-60,坏帮 总长1002 轻轻敲 塑料头 307
37,16:02:55,hit_037_20260730_160255.csv,512,DEFECT,HIGH,0,21,117,185,500000,4875873,4875873,-4421980,471965.5,,307,-122,坏帮 总长1002 轻轻敲 塑料头 307
38,16:02:55,hit_038_20260730_160255.csv,512,DEFECT,HIGH,0,21,116,185,500000,5085068,5085068,-4188554,550874.8,,307,-122,坏帮 总长1002 轻轻敲 塑料头 307
