# note,坏棒 总长1002 任意重度 塑料头 307
# rod_len_mm,
# defect_true_mm,307
# err_mm,188
# time,2026-07-30 16:17:10
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,54
# bottom_index,120
# distance_mm,495
# threshold,500000
# peak_abs,3731645
index,raw24
0,141137
1,140063
2,139278
3,137341
4,135684
5,134820
6,133027
7,131675
8,130195
9,129315
10,127531
11,125996
12,124524
13,122709
14,120590
15,118791
16,117121
17,115498
18,114252
19,111582
20,110057
21,108099
22,106278
23,104705
24,102476
25,100312
26,98331
27,95831
28,93812
29,91872
30,89653
31,87722
32,85487
33,83133
34,80531
35,77953
36,76095
37,73270
38,71621
39,68812
40,66652
41,63436
42,61180
43,58581
44,56189
45,53782
46,50776
47,48106
48,45356
49,42974
50,39897
51,36772
52,32896
53,27588
54,19488
55,7942
56,-8755
57,-34786
58,-71910
59,-122525
60,-186382
61,-260207
62,-342864
63,-431054
64,-522049
65,-615729
66,-709718
67,-804879
68,-903341
69,-1004527
70,-1111844
71,-1224637
72,-1343823
73,-1469027
74,-1597984
75,-1730461
76,-1864721
77,-2000774
78,-2135233
79,-2268661
80,-2398952
81,-2527099
82,-2651782
83,-2771195
84,-2884840
85,-2991624
86,-3091747
87,-3184650
88,-3271749
89,-3350517
90,-3421924
91,-3482715
92,-3533602
93,-3572306
94,-3598694
95,-3611903
96,-3611574
97,-3597837
98,-3571206
99,-3531890
100,-3479235
101,-3414250
102,-3335345
103,-3244882
104,-3140278
105,-3024527
106,-2895885
107,-2755748
108,-2604019
109,-2441205
110,-2268667
111,-2086335
112,-1898072
113,-1706024
114,-1513240
115,-1320063
116,-1129950
117,-941044
118,-754745
119,-571005
120,-389879
121,-211568
122,-37622
123,129975
124,291223
125,445155
126,591125
127,727037
128,852884
129,966260
130,1067398
131,1156036
132,1232191
133,1296824
134,1350738
135,1395197
136,1432075
137,1461964
138,1485297
139,1502732
140,1514372
141,1519268
142,1518522
143,1512273
144,1501296
145,1485489
146,1463395
147,1436545
148,1406473
149,1375982
150,1347206
151,1321041
152,1299008
153,1280489
154,1266269
155,1254435
156,1244961
157,1234393
158,1223379
159,1208701
160,1190802
161,1168448
162,1141762
163,1109302
164,1071207
165,1027212
166,976031
167,917640
168,851248
169,776024
170,692937
171,601788
172,502691
173,395829
174,281477
175,160579
176,32559
177,-99749
178,-235673
179,-375196
180,-514798
181,-654127
182,-790839
183,-924975
184,-1054838
185,-1179605
186,-1298477
187,-1411751
188,-1515842
189,-1611377
190,-1697101
191,-1772341
192,-1835237
193,-1885597
194,-1922055
195,-1943492
196,-1950255
197,-1940801
198,-1914940
199,-1872570
200,-1814301
201,-1738848
202,-1648732
203,-1543210
204,-1423086
205,-1288816
206,-1140827
207,-980464
208,-808240
209,-627373
210,-442809
211,-260483
212,-80315
213,97407
214,272603
215,444826
216,614500
217,781633
218,945457
219,1106446
220,1265623
221,1420460
222,1574135
223,1724606
224,1872156
225,2017903
226,2160473
227,2301401
228,2439344
229,2576207
230,2709700
231,2841401
232,2970742
233,3097460
234,3213018
235,3315761
236,3406365
237,3485261
238,3552811
239,3608666
240,3653737
241,3687523
242,3712489
243,3726020
244,3731645
245,3727749
246,3715934
247,3697113
248,3670429
249,3637413
250,3598553
251,3555418
252,3505800
253,3454460
254,3398750
255,3341911
256,3283479
257,3224087
258,3164013
259,3105155
260,3046232
261,2988268
262,2931575
263,2875201
264,2820394
265,2765738
266,2711384
267,2657821
268,2604121
269,2549835
270,2495332
271,2439827
272,2381945
273,2323206
274,2262435
275,2199798
276,2133826
277,2065805
278,1994105
279,1918830
280,1840468
