# note,坏棒 总长1002 任意重度 塑料头 307
# rod_len_mm,
# defect_true_mm,307
# err_mm,-86
# time,2026-07-30 16:18:16
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,23
# bottom_index,115
# distance_mm,221
# threshold,500000
# peak_abs,4495247
index,raw24
0,1053
1,949
2,845
3,1261
4,877
5,541
6,805
7,860
8,940
9,956
10,1036
11,1060
12,940
13,988
14,924
15,483
16,363
17,419
18,171
19,131
20,827
21,-45
22,-45
23,211
24,-357
25,-253
26,-181
27,-613
28,-709
29,-1525
30,-1772
31,-2268
32,-2460
33,-2564
34,-3715
35,-3227
36,-4042
37,-4330
38,-5361
39,-6033
40,-6832
41,-8095
42,-9902
43,-10717
44,-12244
45,-14322
46,-15208
47,-16438
48,-18708
49,-20082
50,-22984
51,-26517
52,-30546
53,-35110
54,-40738
55,-49637
56,-61934
57,-79935
58,-108829
59,-156032
60,-222029
61,-308578
62,-419724
63,-565641
64,-760628
65,-977047
66,-1195895
67,-1412093
68,-1622321
69,-1827939
70,-2029820
71,-2227380
72,-2421532
73,-2613509
74,-2802741
75,-2989783
76,-3173498
77,-3355471
78,-3533581
79,-3710278
80,-3880969
81,-4045815
82,-4202297
83,-4347256
84,-4449390
85,-4495247
86,-4486562
87,-4422998
88,-4309858
89,-4138548
90,-3919619
91,-3692908
92,-3471217
93,-3251234
94,-3034325
95,-2820466
96,-2609634
97,-2400524
98,-2194502
99,-1990835
100,-1789800
101,-1591829
102,-1394995
103,-1201968
104,-1010398
105,-820994
106,-634286
107,-450409
108,-268042
109,-88217
110,89114
111,262687
112,435135
113,596698
114,702665
115,765819
116,812702
117,858154
118,917202
119,990706
120,1073921
121,1158062
122,1232192
123,1287506
124,1319813
125,1329668
126,1318825
127,1294472
128,1257306
129,1209753
130,1150733
131,1079360
132,996949
133,904979
134,806084
135,703602
136,600508
137,500283
138,405630
139,320476
140,245373
141,183055
142,136473
143,107040
144,98555
145,110287
146,144553
147,200096
148,278295
149,377293
150,494239
151,624043
152,763671
153,904850
154,1044315
155,1177524
156,1299852
157,1409677
158,1502409
159,1577890
160,1635425
161,1672777
162,1688509
163,1682455
164,1649874
165,1588008
