# note,坏棒 总长1002 任意重度 塑料头 307
# rod_len_mm,
# defect_true_mm,307
# err_mm,
# time,2026-07-30 16:18:29
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,114
# distance_mm,0
# threshold,500000
# peak_abs,3929376
index,raw24
0,-5853
1,-6485
2,-6324
3,-6787
4,-6634
5,-7050
6,-7057
7,-7048
8,-6951
9,-6574
10,-6661
11,-6796
12,-6828
13,-6979
14,-6994
15,-6633
16,-6912
17,-6959
18,-6590
19,-7182
20,-7413
21,-7436
22,-7651
23,-8210
24,-8609
25,-8864
26,-9319
27,-10094
28,-11092
29,-12883
30,-13561
31,-14312
32,-16118
33,-17324
34,-18258
35,-20088
36,-21181
37,-22443
38,-24400
39,-25757
40,-27426
41,-28630
42,-30067
43,-31295
44,-33331
45,-35199
46,-36859
47,-39118
48,-41010
49,-44204
50,-45623
51,-49033
52,-52531
53,-56837
54,-62070
55,-68302
56,-76878
57,-86365
58,-98898
59,-117422
60,-150912
61,-226397
62,-381842
63,-601771
64,-826986
65,-1049413
66,-1264316
67,-1473802
68,-1676614
69,-1874841
70,-2068117
71,-2257560
72,-2444877
73,-2628706
74,-2810945
75,-2990090
76,-3170093
77,-3347634
78,-3525817
79,-3699947
80,-3864271
81,-3929376
82,-3825808
83,-3607477
84,-3383180
85,-3161887
86,-2944309
87,-2729230
88,-2516065
89,-2306006
90,-2098796
91,-1893156
92,-1690437
93,-1491030
94,-1293280
95,-1099899
96,-907900
97,-719269
98,-532766
99,-349325
100,-168186
101,10203
102,186441
103,358923
104,525911
105,687695
106,850435
107,1012763
108,1172311
109,1329320
110,1484134
111,1636512
112,1786137
113,1933271
114,2077739
115,2219925
116,2359158
117,2497646
118,2615677
119,2680174
120,2693183
121,2655046
122,2569866
123,2436752
124,2261270
125,2048250
126,1810904
127,1567539
128,1327204
129,1087634
130,853501
131,624533
132,415641
133,244174
134,114088
135,32482
136,606
137,19462
138,89412
139,203441
140,358208
141,528916
142,698796
143,865574
144,1029901
145,1190439
146,1348590
147,1503393
148,1656161
149,1803223
150,1923635
151,2019544
152,2094234
153,2150586
154,2191115
155,2218664
156,2234889
157,2244000
158,2245822
159,2240356
160,2227675
161,2205691
162,2171510
163,2120940
164,2049658
165,1952167
166,1820769
167,1649427
168,1431905
169,1190371
170,946161
171,700966
172,458864
173,219816
174,-15323
175,-247777
176,-475387
177,-699081
178,-918907
179,-1134499
180,-1346625
181,-1555452
182,-1762278
183,-1965351
184,-2166407
185,-2362279
186,-2529990
187,-2585026
188,-2501374
189,-2306805
190,-2098635
191,-1893339
192,-1690460
193,-1489845
194,-1291031
195,-1095058
196,-901156
197,-708926
198,-518984
199,-331952
200,-146976
201,34946
202,214502
203,390788
204,564420
205,734503
206,901574
207,1065079
208,1226117
209,1383752
210,1539007
211,1690171
212,1839349
213,1986028
214,2129426
215,2271750
216,2410312
217,2547266
218,2679787
219,2801052
220,2910598
221,3012923
222,3105867
223,3190552
224,3263674
225,3323820
226,3369374
227,3397707
228,3408476
229,3399300
230,3370197
231,3320114
232,3251252
233,3164695
234,3063021
235,2948031
236,2824999
237,2696198
238,2567333
239,2441708
240,2322754
241,2214342
242,2119424
243,2041549
244,1982996
245,1944818
246,1928852
247,1935833
248,1964221
249,2014197
250,2084271
251,2171360
252,2274519
253,2389954
254,2515350
255,2646963
256,2780624
257,2912916
258,3043761
259,3173173
260,3298874
261,3418495
262,3527294
263,3625039
264,3709821
265,3780544
266,3835178
267,3873174
268,3892453
269,3892042
270,3870303
271,3826047
272,3758347
273,3665793
274,3548281
275,3404704
276,3236528
277,3042261
278,2825066
279,2585129
280,2336885
281,2088096
282,1839817
283,1593545
284,1349526
285,1107969
286,868850
287,633888
288,402715
289,177537
290,-41764
291,-237319
292,-392506
293,-500898
294,-560109
295,-565817
296,-517108
297,-413508
298,-256354
299,-73459
300,105358
301,282241
302,455631
303,627151
304,795107
305,960138
306,1122597
307,1282763
308,1439735
309,1594071
310,1745581
311,1894719
312,2041648
313,2185543
314,2327484
315,2466592
316,2603859
317,2737853
318,2870575
319,2999672
320,3128098
321,3246524
322,3331648
323,3389169
324,3419787
325,3429866
326,3417759
327,3390534
328,3347456
329,3291984
330,3224110
331,3146532
332,3059092
333,2961695
334,2856533
335,2741160
336,2617290
337,2483314
