# note,坏棒 总长1002 任意重度 塑料头 307
# rod_len_mm,
# defect_true_mm,307
# err_mm,35
# time,2026-07-30 16:19:45
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,36
# bottom_index,0
# distance_mm,342
# threshold,500000
# peak_abs,1793237
index,raw24
0,1591
1,1774
2,1822
3,1662
4,862
5,1494
6,1077
7,1165
8,1109
9,845
10,1141
11,973
12,1165
13,1204
14,956
15,764
16,436
17,748
18,-68
19,356
20,492
21,316
22,60
23,-228
24,-1452
25,-1972
26,-4940
27,-6435
28,-8474
29,-9937
30,-12224
31,-14847
32,-17061
33,-20163
34,-23744
35,-26437
36,-29314
37,-31479
38,-34035
39,-36831
40,-40018
41,-43501
42,-47912
43,-53002
44,-58339
45,-64548
46,-71532
47,-79172
48,-89274
49,-102623
50,-118707
51,-139660
52,-163363
53,-190487
54,-220192
55,-253093
56,-287878
57,-324643
58,-363531
59,-403399
60,-445421
61,-489039
62,-534555
63,-582106
64,-629659
65,-677214
66,-725531
67,-772339
68,-817637
69,-861665
70,-902664
71,-944049
72,-984590
73,-1024694
74,-1063865
75,-1100927
76,-1135792
77,-1167958
78,-1197591
79,-1223797
80,-1245000
81,-1262432
82,-1274869
83,-1283218
84,-1286365
85,-1284272
86,-1276155
87,-1262720
88,-1243845
89,-1218894
90,-1189889
91,-1155576
92,-1117138
93,-1073010
94,-1024359
95,-972386
96,-918147
97,-858955
98,-796818
99,-732481
100,-665512
101,-596358
102,-526862
103,-455733
104,-384406
105,-313535
106,-243456
107,-174051
108,-104629
109,-38057
110,26956
111,89353
112,148430
113,204004
114,255523
115,301132
116,343167
117,379045
118,411295
119,439548
120,463351
121,482694
122,498699
123,511798
124,522824
125,530424
126,534695
127,536894
128,536020
129,533667
130,528890
131,522681
132,514209
133,505987
134,497805
135,490680
136,482780
137,475489
138,469135
139,462942
140,457317
141,452270
142,447494
143,442552
144,437082
145,432012
146,426231
147,420131
148,413304
149,405078
150,395628
151,384172
152,370301
153,353648
154,334381
155,311804
156,285710
157,256443
158,223435
159,187120
160,148153
161,105767
162,60994
163,14339
164,-33823
165,-83867
166,-133713
167,-184024
168,-234426
169,-284285
170,-333090
171,-381154
172,-426419
173,-469271
174,-508510
175,-544872
176,-575861
177,-602935
178,-624589
179,-641113
180,-651835
181,-657067
182,-655707
183,-649747
184,-636299
185,-616646
186,-591491
187,-559594
188,-521550
189,-478478
190,-428804
191,-375047
192,-315346
193,-251155
194,-182812
195,-110646
196,-35105
197,43804
198,124838
199,208551
200,293238
201,378690
202,465052
203,551387
204,636935
205,722610
206,806489
207,889799
208,970210
209,1048996
210,1124444
211,1197395
212,1267536
213,1333662
214,1396467
215,1455240
216,1509319
217,1559566
218,1604616
219,1645572
220,1680707
221,1711478
222,1737421
223,1757801
224,1773978
225,1784834
226,1791320
227,1793237
228,1791242
229,1784320
230,1774294
231,1761669
232,1745382
233,1726185
234,1704614
235,1681254
236,1655513
237,1629415
238,1601632
239,1573629
240,1544380
241,1515472
242,1486559
243,1456705
244,1428472
245,1399657
246,1371230
247,1343383
248,1315803
249,1287962
250,1260861
251,1234091
252,1207244
253,1180369
254,1153105
255,1126188
256,1098883
257,1070797
258,1041610
259,1012603
260,982215
261,951463
262,918339
263,885435
264,850295
265,814127
266,776852
267,737933
268,698531
269,657421
270,615589
271,572890
272,529716
273,485827
274,442216
275,398602
276,355033
277,312494
278,271616
279,231679
280,193978
281,158475
282,124671
283,93656
284,65869
285,40685
286,19440
287,1109
288,-13715
289,-24105
290,-32022
291,-36250
292,-36654
293,-33681
294,-26917
295,-17282
296,-4800
297,10353
298,28575
299,49140
300,71142
301,95893
302,121786
303,149531
304,178088
305,207195
306,236649
307,266540
308,296692
309,325488
310,354560
311,382229
312,409478
313,433884
314,457967
315,480063
316,500036
317,517775
318,532840
319,546975
320,557532
321,565960
322,571163
323,574333
324,575279
325,572793
326,568803
327,561166
328,551569
329,539646
330,524868
331,508724
332,489806
333,469402
334,447152
335,423242
336,398662
337,372702
338,344768
339,316598
340,287679
341,258036
342,228493
343,198361
344,167609
345,138140
346,107899
347,78694
348,49244
349,19790
350,-8092
351,-35947
352,-62983
353,-88599
354,-114764
355,-139334
356,-163381
357,-187009
358,-210122
359,-232441
360,-253660
361,-274893
362,-295156
363,-315144
364,-334745
365,-354040
366,-372653
367,-391600
368,-409808
369,-428830
370,-447249
371,-465371
372,-483162
373,-502119
374,-520322
375,-538434
376,-556304
377,-574908
378,-593494
379,-612422
380,-630915
381,-649246
382,-667599
383,-686141
384,-704209
385,-722403
386,-739699
387,-756953
388,-774396
389,-790550
390,-806909
391,-821635
392,-837247
393,-849936
394,-863017
395,-875111
396,-885948
397,-895760
398,-904987
399,-912668
400,-918637
401,-924381
402,-928260
403,-931795
404,-933129
405,-933791
406,-933069
407,-931555
408,-928441
409,-924288
410,-919471
411,-913647
412,-906775
413,-899089
414,-891179
415,-882558
416,-872418
417,-862896
418,-852654
419,-842782
420,-831967
421,-821898
422,-811685
423,-801890
424,-792520
425,-784224
426,-775400
427,-767545
428,-760748
429,-754951
430,-750019
431,-745847
432,-742956
433,-741249
434,-740759
435,-740020
436,-742026
437,-744519
438,-749044
439,-753329
440,-759821
441,-766712
442,-775595
443,-784228
444,-794244
445,-805875
446,-816393
447,-829957
448,-842672
449,-856249
450,-869872
451,-883782
452,-897874
453,-911725
454,-926333
455,-939604
456,-953706
457,-966389
458,-978495
459,-990536
460,-1001423
461,-1012053
462,-1021369
463,-1029892
464,-1037823
465,-1043704
466,-1048888
467,-1053080
468,-1055048
469,-1057327
470,-1057566
471,-1057005
472,-1054476
473,-1051411
474,-1047795
475,-1041379
476,-1034476
477,-1026573
478,-1017920
479,-1007660
480,-996489
481,-984559
482,-971863
483,-958224
484,-943563
485,-929184
486,-912487
487,-896319
488,-879050
489,-861926
490,-843981
491,-825830
492,-807177
493,-788159
494,-769583
495,-750353
496,-731309
497,-711316
498,-691957
499,-672088
500,-652654
501,-632631
502,-612921
503,-592854
504,-573182
505,-554208
506,-534524
507,-515219
508,-496156
509,-476376
510,-456774
511,-438198
