hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,16:12:47,hit_001_20260730_161247.csv,512,DEFECT,HIGH,0,23,110,232,500000,4815922,4318684,-4815922,140198.1,,307,-75,坏棒 总长1002 任意重度 塑料头 307
2,16:12:49,hit_002_20260730_161249.csv,512,DEFECT,HIGH,0,26,110,262,500000,5207555,3863831,-5207555,-361624.3,,307,-45,坏棒 总长1002 任意重度 塑料头 307
3,16:12:52,hit_003_20260730_161252.csv,512,DEFECT,HIGH,0,39,110,393,500000,4289731,3399837,-4289731,-395180.5,,307,86,坏棒 总长1002 任意重度 塑料头 307
4,16:12:53,hit_004_20260730_161253.csv,512,DEFECT,HIGH,0,26,113,254,500000,4762225,3310704,-4762225,-452768.4,,307,-53,坏棒 总长1002 任意重度 塑料头 307
5,16:12:53,hit_005_20260730_161253.csv,512,DEFECT,HIGH,0,23,109,234,500000,4663416,4163538,-4663416,-236723.8,,307,-73,坏棒 总长1002 任意重度 塑料头 307
6,16:12:54,hit_006_20260730_161254.csv,512,DEFECT,HIGH,0,26,111,260,500000,5114939,4145798,-5114939,-226095.4,,307,-47,坏棒 总长1002 任意重度 塑料头 307
7,16:12:54,hit_007_20260730_161254.csv,512,DEFECT,HIGH,0,27,110,272,500000,5432384,4125608,-5432384,-331378.2,,307,-35,坏棒 总长1002 任意重度 塑料头 307
8,16:12:55,hit_008_20260730_161255.csv,512,DEFECT,HIGH,0,24,109,244,500000,4990125,4311538,-4990125,-222814.1,,307,-63,坏棒 总长1002 任意重度 塑料头 307
9,16:12:55,hit_009_20260730_161255.csv,512,DEFECT,HIGH,0,22,108,226,500000,4629188,4330033,-4629188,-113077.3,,307,-81,坏棒 总长1002 任意重度 塑料头 307
10,16:12:56,hit_010_20260730_161256.csv,512,DEFECT,HIGH,0,21,117,185,500000,4426311,4361905,-4426311,-41954.3,,307,-122,坏棒 总长1002 任意重度 塑料头 307
11,16:12:56,hit_011_20260730_161256.csv,512,DEFECT,HIGH,0,24,109,244,500000,4809183,4065381,-4809183,-266665.0,,307,-63,坏棒 总长1002 任意重度 塑料头 307
12,16:12:57,hit_012_20260730_161257.csv,512,DEFECT,HIGH,0,22,116,194,500000,4648656,4153001,-4648656,-237357.9,,307,-113,坏棒 总长1002 任意重度 塑料头 307
13,16:12:57,hit_013_20260730_161257.csv,512,DEFECT,HIGH,0,24,108,247,500000,4826284,4179112,-4826284,-211168.0,,307,-60,坏棒 总长1002 任意重度 塑料头 307
14,16:12:58,hit_014_20260730_161258.csv,512,DEFECT,HIGH,0,24,109,244,500000,4269765,4269765,-3712650,-64284.6,,307,-63,坏棒 总长1002 任意重度 塑料头 307
15,16:12:58,hit_015_20260730_161258.csv,512,DEFECT,HIGH,0,25,110,252,500000,4918215,4033162,-4918215,-252987.3,,307,-55,坏棒 总长1002 任意重度 塑料头 307
16,16:12:59,hit_016_20260730_161259.csv,512,DEFECT,HIGH,0,22,108,226,500000,4326698,3661976,-4326698,-312405.6,,307,-81,坏棒 总长1002 任意重度 塑料头 307
17,16:12:59,hit_017_20260730_161259.csv,512,DEFECT,HIGH,0,43,109,438,500000,3902570,3902570,-3538427,-328853.2,,307,131,坏棒 总长1002 任意重度 塑料头 307
18,16:12:59,hit_018_20260730_161259.csv,512,DEFECT,HIGH,0,23,117,203,500000,4551248,3791470,-4551248,-384548.9,,307,-104,坏棒 总长1002 任意重度 塑料头 307
19,16:13:00,hit_019_20260730_161300.csv,512,DEFECT,HIGH,0,24,108,247,500000,4783087,3942509,-4783087,-373565.7,,307,-60,坏棒 总长1002 任意重度 塑料头 307
20,16:13:00,hit_020_20260730_161300.csv,512,DEFECT,HIGH,0,65,115,477,500000,4529190,4529190,-4120724,31252.5,,307,170,坏棒 总长1002 任意重度 塑料头 307
21,16:13:01,hit_021_20260730_161301.csv,512,DEFECT,HIGH,0,26,110,262,500000,4995442,3664239,-4995442,-448454.3,,307,-45,坏棒 总长1002 任意重度 塑料头 307
22,16:13:01,hit_022_20260730_161301.csv,512,DEFECT,HIGH,0,22,116,194,500000,4518048,4190157,-4518048,-267600.0,,307,-113,坏棒 总长1002 任意重度 塑料头 307
23,16:13:02,hit_023_20260730_161302.csv,512,DEFECT,HIGH,0,23,117,203,500000,4589207,4438410,-4589207,-92342.6,,307,-104,坏棒 总长1002 任意重度 塑料头 307
24,16:13:02,hit_024_20260730_161302.csv,512,DEFECT,HIGH,0,26,108,268,500000,4953875,3954129,-4953875,-464281.6,,307,-39,坏棒 总长1002 任意重度 塑料头 307
25,16:13:03,hit_025_20260730_161303.csv,512,DEFECT,HIGH,0,79,113,774,500000,4825340,4825340,-3087111,260999.3,,307,467,坏棒 总长1002 任意重度 塑料头 307
26,16:13:03,hit_026_20260730_161303.csv,512,DEFECT,HIGH,0,33,111,330,500000,4230537,4230537,-4051302,-206924.5,,307,23,坏棒 总长1002 任意重度 塑料头 307
27,16:13:04,hit_027_20260730_161304.csv,512,DEFECT,HIGH,0,39,114,378,500000,4020547,3883711,-4020547,-407668.1,,307,71,坏棒 总长1002 任意重度 塑料头 307
28,16:13:04,hit_028_20260730_161304.csv,512,DEFECT,HIGH,0,70,108,608,500000,4691155,4691155,-3689322,119731.3,,307,301,坏棒 总长1002 任意重度 塑料头 307
29,16:13:05,hit_029_20260730_161305.csv,512,DEFECT,HIGH,0,23,117,203,500000,4564048,4125582,-4564048,-271418.6,,307,-104,坏棒 总长1002 任意重度 塑料头 307
30,16:13:05,hit_030_20260730_161305.csv,512,DEFECT,HIGH,0,26,111,260,500000,4581998,3485986,-4581998,-416568.3,,307,-47,坏棒 总长1002 任意重度 塑料头 307
31,16:13:06,hit_031_20260730_161306.csv,512,DEFECT,HIGH,0,23,108,237,500000,4631801,4302175,-4631801,-187521.4,,307,-70,坏棒 总长1002 任意重度 塑料头 307
32,16:13:10,hit_032_20260730_161310.csv,512,DEFECT,HIGH,0,38,111,380,500000,3144185,3144185,-2180905,-149634.1,,307,73,坏棒 总长1002 任意重度 塑料头 307
33,16:13:10,hit_033_20260730_161310.csv,512,DEFECT,HIGH,0,25,111,250,500000,4948569,3913019,-4948569,-290505.3,,307,-57,坏棒 总长1002 任意重度 塑料头 307
34,16:13:11,hit_034_20260730_161311.csv,512,DEFECT,HIGH,0,42,112,415,500000,4513636,3436120,-4513636,-461716.3,,307,108,坏棒 总长1002 任意重度 塑料头 307
35,16:13:11,hit_035_20260730_161311.csv,512,DEFECT,HIGH,0,24,108,247,500000,4711635,4210880,-4711635,-325934.9,,307,-60,坏棒 总长1002 任意重度 塑料头 307
36,16:13:12,hit_036_20260730_161312.csv,512,DEFECT,HIGH,0,24,110,242,500000,4584708,3573818,-4584708,-471919.0,,307,-65,坏棒 总长1002 任意重度 塑料头 307
37,16:13:12,hit_037_20260730_161312.csv,512,DEFECT,HIGH,0,25,111,250,500000,4909256,3491847,-4909256,-343280.2,,307,-57,坏棒 总长1002 任意重度 塑料头 307
38,16:13:13,hit_038_20260730_161313.csv,512,DEFECT,HIGH,0,29,113,284,500000,5525805,3699941,-5525805,-496832.4,,307,-23,坏棒 总长1002 任意重度 塑料头 307
