# note,坏棒 总长1002  轻轻敲 铁头
# rod_len_mm,
# defect_true_mm,307
# err_mm,-39
# time,2026-07-30 16:28:20
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,26
# bottom_index,108
# distance_mm,268
# threshold,500000
# peak_abs,4807252
index,raw24
0,645
1,709
2,1165
3,1333
4,1068
5,1116
6,1332
7,1620
8,1228
9,1196
10,1275
11,1395
12,1331
13,1539
14,1675
15,1346
16,1522
17,1418
18,1538
19,1746
20,2073
21,1761
22,2273
23,1777
24,2800
25,2120
26,2776
27,2600
28,2351
29,2367
30,2527
31,2678
32,2742
33,2646
34,2621
35,2221
36,1949
37,2220
38,2076
39,1756
40,1772
41,1907
42,1795
43,1843
44,1459
45,1930
46,1666
47,1426
48,1410
49,1242
50,697
51,833
52,689
53,865
54,1009
55,1705
56,2289
57,3656
58,8816
59,46423
60,126089
61,265106
62,439713
63,610084
64,777809
65,937842
66,996888
67,858574
68,613781
69,370714
70,130485
71,-102563
72,-334135
73,-560646
74,-784065
75,-1003170
76,-1218767
77,-1430610
78,-1638348
79,-1842516
80,-2043963
81,-2242041
82,-2437991
83,-2631622
84,-2821805
85,-3005916
86,-3177285
87,-3294705
88,-3332759
89,-3308048
90,-3222932
91,-3088307
92,-2920906
93,-2719765
94,-2509337
95,-2301119
96,-2095630
97,-1892542
98,-1692439
99,-1493225
100,-1297362
101,-1104012
102,-912701
103,-723990
104,-536981
105,-352540
106,-170569
107,9348
108,186275
109,360340
110,531704
111,700135
112,866386
113,1029592
114,1190914
115,1348913
116,1504884
117,1657917
118,1807866
119,1955477
120,2098591
121,2241503
122,2369917
123,2432412
124,2420219
125,2335683
126,2190110
127,2001435
128,1776006
129,1535134
130,1292082
131,1050188
132,809276
133,571185
134,335004
135,103083
136,-124282
137,-345019
138,-545113
139,-700678
140,-806296
141,-858046
142,-855261
143,-797365
144,-688899
145,-533503
146,-350566
147,-168139
148,13153
149,191039
150,367008
151,539283
152,709993
153,876395
154,1040872
155,1201201
156,1359502
157,1513960
158,1666903
159,1814652
160,1959190
161,2050647
162,2067557
163,2010328
164,1872811
165,1657030
166,1407732
167,1156504
168,907259
169,663348
170,422035
171,186312
172,-47343
173,-275513
174,-500632
175,-720530
176,-937875
177,-1151256
178,-1361707
179,-1569597
180,-1775582
181,-1978373
182,-2179971
183,-2376057
184,-2551975
185,-2630088
186,-2577151
187,-2404804
188,-2192158
189,-1987451
190,-1783256
191,-1582814
192,-1382789
193,-1186620
194,-990844
195,-798963
196,-608049
197,-420087
198,-234291
199,-51047
200,129807
201,307848
202,482658
203,654743
204,823279
205,989427
206,1151322
207,1311845
208,1468173
209,1622762
210,1773292
211,1922123
212,2067785
213,2211100
214,2351814
215,2490287
216,2626871
217,2759878
218,2891718
219,3020981
220,3148676
221,3274947
222,3399052
223,3520093
224,3640031
225,3758435
226,3874288
227,3989191
228,4101752
229,4213579
230,4321825
231,4429961
232,4535716
233,4640155
234,4723900
235,4780532
236,4807252
237,4803257
238,4765919
239,4694521
240,4590708
241,4455524
242,4294404
243,4111215
244,3913298
245,3705244
246,3496520
247,3292485
248,3100971
249,2924840
250,2771491
251,2643273
252,2542278
253,2469912
254,2426490
255,2411634
256,2422324
257,2456484
258,2512480
259,2585037
260,2671954
261,2767916
262,2870570
263,2973347
264,3072064
265,3161729
266,3237359
267,3293124
268,3324210
269,3324716
270,3288918
271,3213381
272,3092957
273,2927723
274,2711782
275,2463067
276,2208310
277,1953072
278,1697418
279,1446123
280,1198202
281,953288
282,711123
283,471653
284,234523
285,-586
286,-231994
287,-460757
288,-680309
289,-889978
290,-1064069
291,-1167771
292,-1201389
293,-1161490
294,-1048460
295,-871356
296,-680394
297,-493543
298,-307587
299,-125269
300,55522
301,233844
302,409655
303,582445
304,752318
305,918818
306,1083226
307,1244150
308,1402350
309,1557570
310,1710012
311,1860764
312,2007784
313,2153043
314,2294780
315,2435388
316,2572691
317,2708209
318,2838990
319,2970356
320,3083977
321,3148465
322,3168976
323,3149782
324,3094429
325,3009211
326,2898156
327,2765394
328,2616353
329,2454289
330,2284950
331,2110495
332,1935021
333,1760793
334,1590802
335,1423928
