# note,坏棒 总长1002  轻轻敲 铁头
# rod_len_mm,
# defect_true_mm,307
# err_mm,-98
# time,2026-07-30 16:29:15
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,33
# bottom_index,0
# distance_mm,209
# threshold,693882
# peak_abs,1091284
index,raw24
0,91149
1,81170
2,71216
3,60423
4,48815
5,35601
6,22061
7,7778
8,-5839
9,-19518
10,-34347
11,-49271
12,-64681
13,-81881
14,-99687
15,-117379
16,-134637
17,-149708
18,-163346
19,-175662
20,-186921
21,-198330
22,-208322
23,-217696
24,-225662
25,-231994
26,-237502
27,-241481
28,-244491
29,-245309
30,-246183
31,-243937
32,-239995
33,-233710
34,-225122
35,-214838
36,-202500
37,-188227
38,-172252
39,-154167
40,-134612
41,-113124
42,-89638
43,-64963
44,-37427
45,-8686
46,21843
47,54136
48,87769
49,122607
50,158400
51,195620
52,233372
53,271632
54,310703
55,350993
56,390942
57,430990
58,471169
59,511216
60,551226
61,590382
62,629222
63,666441
64,703216
65,738978
66,773016
67,805962
68,836951
69,866553
70,894959
71,921418
72,945881
73,969414
74,989760
75,1008655
76,1025652
77,1040486
78,1053207
79,1064143
80,1073397
81,1080650
82,1085390
83,1089305
84,1091284
85,1091255
86,1090314
87,1087085
88,1082968
89,1077116
90,1069504
91,1060934
92,1050756
93,1038812
94,1026349
95,1012176
96,997100
97,980955
98,963355
99,945373
100,925802
101,905217
102,883946
103,862086
104,839029
105,815231
106,790563
107,765387
108,739181
109,712363
110,685420
111,657392
112,629488
113,601339
114,572738
115,544244
116,515473
117,486458
118,458159
119,429767
120,401387
121,374346
122,348108
123,321945
124,296282
125,272126
126,248589
127,226334
128,205139
129,185018
130,165651
131,147623
132,131445
133,116101
134,102406
135,89570
136,79047
137,68581
138,59637
139,53054
140,47055
141,42177
142,38124
143,36720
144,34963
145,34799
146,36147
147,37518
148,39690
149,42581
150,46839
151,51514
152,56195
153,61781
154,69013
155,75325
156,82691
157,89449
158,97094
159,104682
160,112606
161,120120
162,127537
163,134786
164,142097
165,149432
166,155805
167,161482
168,167135
169,171842
170,176829
171,180608
172,183402
173,185955
174,187661
175,190110
176,190014
177,190047
178,189832
179,188113
180,186546
181,184379
182,180708
183,177654
184,173113
185,168924
186,163823
187,158699
188,152312
189,146381
190,139747
191,133106
192,126322
193,120026
194,112724
195,105950
196,98041
197,90565
198,83458
199,75352
200,68367
201,60046
202,52327
203,44832
204,36579
205,29302
206,20691
207,12424
208,4719
209,-3610
210,-11937
211,-20432
212,-28837
213,-37738
214,-46269
215,-56040
216,-64977
217,-75305
218,-85112
219,-94901
220,-105290
221,-116301
222,-127110
223,-138519
224,-151070
225,-162276
226,-175384
227,-187474
228,-200907
229,-213779
230,-227441
231,-241461
232,-255463
233,-269288
234,-284055
235,-298669
236,-313664
237,-328906
238,-344210
239,-359824
240,-375236
241,-390926
242,-406886
243,-422917
244,-438809
245,-454443
246,-470108
247,-485434
248,-501047
249,-516562
250,-531635
251,-546426
252,-560743
253,-574635
254,-589141
255,-602781
256,-615579
257,-628568
258,-640331
259,-651877
260,-663693
261,-675276
262,-685818
263,-695654
264,-705249
265,-713651
266,-722236
267,-730268
268,-738019
269,-744841
270,-751518
271,-757346
272,-763093
273,-767888
274,-772523
275,-776756
276,-780973
277,-783654
278,-786774
279,-789286
280,-791382
281,-793541
282,-794420
283,-795979
284,-795634
285,-796657
286,-796168
287,-795967
288,-795293
289,-793340
290,-791876
291,-789555
292,-787682
293,-785154
294,-781986
295,-779451
296,-775884
297,-772181
298,-768615
299,-764049
300,-759004
301,-754439
302,-748595
303,-743519
304,-738445
305,-732011
306,-726025
307,-720040
308,-712809
309,-705994
310,-698595
311,-690910
312,-683586
313,-675894
314,-667636
315,-659442
316,-650506
317,-641778
318,-632956
319,-623951
320,-614594
321,-605175
322,-595030
323,-585253
324,-575157
325,-564679
326,-554298
327,-543775
328,-532940
329,-521747
330,-510787
331,-499749
332,-489064
333,-477060
334,-466714
335,-454761
336,-443714
337,-432539
338,-421039
339,-409531
340,-398465
341,-387688
342,-376329
343,-365315
344,-354047
345,-343315
346,-332337
347,-321801
348,-311041
349,-300339
350,-290423
351,-280195
352,-270129
353,-260560
354,-250664
355,-241322
356,-232084
357,-222840
358,-213845
359,-204890
360,-196369
361,-187793
362,-179187
363,-171973
364,-163744
365,-156676
366,-149320
367,-142262
368,-134973
369,-128988
370,-122077
371,-116590
372,-110855
373,-104458
374,-99781
375,-94961
376,-90621
377,-85658
378,-81600
379,-78206
380,-74396
381,-71195
382,-67874
383,-65906
384,-63834
385,-61754
386,-59635
387,-58299
388,-56964
389,-56149
390,-56078
391,-55656
