# note,坏棒 总长1002  轻轻敲 铁头
# rod_len_mm,
# defect_true_mm,307
# err_mm,273
# time,2026-07-30 16:29:19
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,61
# bottom_index,0
# distance_mm,580
# threshold,500000
# peak_abs,2039690
index,raw24
0,-22447
1,-22365
2,-21698
3,-21447
4,-21565
5,-22226
6,-22783
7,-23205
8,-23826
9,-23599
10,-23684
11,-23249
12,-21534
13,-21043
14,-20561
15,-19846
16,-21436
17,-22185
18,-23775
19,-24860
20,-26481
21,-28285
22,-29410
23,-30790
24,-32282
25,-32887
26,-34338
27,-35398
28,-36914
29,-38709
30,-40209
31,-42900
32,-44262
33,-46489
34,-48635
35,-51061
36,-54087
37,-57673
38,-61217
39,-65674
40,-71082
41,-76729
42,-83496
43,-90462
44,-98443
45,-106263
46,-115682
47,-125107
48,-137012
49,-150643
50,-165369
51,-183733
52,-205046
53,-227421
54,-252354
55,-279627
56,-308001
57,-337691
58,-370322
59,-405605
60,-445131
61,-487717
62,-532313
63,-577832
64,-621594
65,-662366
66,-698661
67,-732087
68,-762294
69,-790769
70,-817120
71,-842397
72,-865566
73,-888220
74,-909096
75,-931289
76,-954183
77,-978491
78,-1003123
79,-1027513
80,-1049963
81,-1070427
82,-1086768
83,-1099380
84,-1109149
85,-1116358
86,-1124502
87,-1130708
88,-1136426
89,-1139600
90,-1141965
91,-1141345
92,-1139862
93,-1136275
94,-1130328
95,-1124230
96,-1116525
97,-1109052
98,-1101293
99,-1092990
100,-1083705
101,-1073925
102,-1063002
103,-1050728
104,-1036496
105,-1020913
106,-1003524
107,-983946
108,-963082
109,-940756
110,-917929
111,-893489
112,-869532
113,-844650
114,-818939
115,-793191
116,-765206
117,-736649
118,-706111
119,-673776
120,-639382
121,-603640
122,-565510
123,-526441
124,-485433
125,-444278
126,-402440
127,-361102
128,-320090
129,-278691
130,-238865
131,-199012
132,-160620
133,-122168
134,-85569
135,-48887
136,-13801
137,21585
138,56718
139,90743
140,124220
141,156669
142,187418
143,215643
144,241281
145,263771
146,283571
147,301440
148,317156
149,329733
150,339029
151,345427
152,347833
153,346911
154,341132
155,331939
156,320250
157,305491
158,289470
159,272082
160,253521
161,232674
162,212174
163,190324
164,169172
165,147792
166,126686
167,106534
168,87777
169,71447
170,56566
171,43591
172,32442
173,23742
174,16475
175,11481
176,7303
177,6462
178,6254
179,7629
180,10820
181,15106
182,21889
183,28438
184,37362
185,48294
186,60864
187,74456
188,89775
189,106596
190,123967
191,142224
192,161191
193,181115
194,201645
195,223204
196,245417
197,269635
198,294322
199,319534
200,346175
201,372421
202,400920
203,429071
204,458802
205,489186
206,521014
207,554191
208,587323
209,622107
210,658431
211,694647
212,733202
213,772025
214,811970
215,853559
216,896623
217,940554
218,985207
219,1029599
220,1075697
221,1121398
222,1167613
223,1214062
224,1260538
225,1306112
226,1351257
227,1396372
228,1440425
229,1483417
230,1526028
231,1566658
232,1606531
233,1644654
234,1681110
235,1716568
236,1750663
237,1783001
238,1813104
239,1842786
240,1870017
241,1895677
242,1920374
243,1942763
244,1963774
245,1981918
246,1997636
247,2011720
248,2022915
249,2031132
250,2037148
251,2039659
252,2039690
253,2036865
254,2030937
255,2022649
256,2011274
257,1997596
258,1981656
259,1962830
260,1942007
261,1919042
262,1894231
263,1867760
264,1839276
265,1809620
266,1778071
267,1745974
268,1711929
269,1677200
270,1642331
271,1606978
272,1571014
273,1534446
274,1497859
275,1461644
276,1426298
277,1391500
278,1356906
279,1322892
280,1290187
281,1258605
282,1227435
283,1197918
284,1168891
285,1140669
286,1113865
287,1087985
288,1062757
289,1038987
290,1016044
291,994056
292,972023
293,951456
294,931156
295,911954
296,892027
297,873750
298,854203
299,836107
300,818565
301,800409
302,782655
303,765159
304,747226
305,729815
306,712950
307,696343
308,680098
309,664287
310,648598
311,633254
312,618401
313,603894
314,590468
315,578012
316,565205
317,553680
318,542253
319,531578
320,522017
321,512802
322,504211
323,496022
324,487577
325,481045
326,473891
327,467073
328,460592
329,454256
330,448320
331,442761
332,436995
333,431278
334,426025
335,419917
336,413818
337,407807
338,400694
339,393565
340,385573
341,376838
342,367687
343,357259
344,347167
345,335965
346,323116
347,309692
348,295670
349,280730
350,264456
351,247064
352,229097
353,210205
354,191332
355,169948
356,149328
357,126557
358,104398
359,80809
360,56623
361,32456
362,7292
363,-18309
364,-44258
365,-70333
366,-96588
367,-123793
368,-150457
369,-176839
370,-203881
371,-230721
372,-257564
373,-283757
374,-310602
375,-337268
376,-363091
377,-388495
378,-414039
379,-438885
380,-463679
381,-488383
382,-512219
383,-535164
384,-558691
385,-580655
386,-602976
387,-624478
388,-645386
389,-665691
390,-685874
391,-705118
392,-723656
393,-742376
394,-760637
395,-778112
396,-795529
397,-812976
398,-829277
399,-844968
400,-861288
401,-877239
402,-892276
403,-907247
404,-921401
405,-936232
406,-950582
407,-964658
408,-978780
409,-992164
410,-1006195
411,-1019008
412,-1032524
413,-1045766
414,-1058230
415,-1071069
416,-1083386
417,-1096222
418,-1108824
419,-1120785
420,-1133136
421,-1144926
422,-1156554
423,-1169021
424,-1180374
425,-1192702
426,-1204084
427,-1215737
428,-1227101
429,-1238479
430,-1249984
431,-1260679
