# note,坏棒 总长1002  轻轻敲 铁头
# rod_len_mm,
# defect_true_mm,307
# err_mm,
# time,2026-07-30 16:29:32
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,108
# distance_mm,0
# threshold,500000
# peak_abs,5316026
index,raw24
0,-8073
1,-8112
2,-7983
3,-7806
4,-8101
5,-7420
6,-7803
7,-7954
8,-8073
9,-7848
10,-7719
11,-7958
12,-8141
13,-7420
14,-7964
15,-7523
16,-7834
17,-7169
18,-7552
19,-7143
20,-7454
21,-7125
22,-7012
23,-7619
24,-7202
25,-7193
26,-7080
27,-7504
28,-6999
29,-7006
30,-6965
31,-7156
32,-6819
33,-6594
34,-6705
35,-6753
36,-6776
37,-7007
38,-7310
39,-7117
40,-7012
41,-7155
42,-7563
43,-6994
44,-6961
45,-6728
46,-6215
47,-6830
48,-6613
49,-7357
50,-7084
51,-7051
52,-7578
53,-7369
54,-7384
55,-7071
56,-5718
57,-3318
58,1331
59,18939
60,67680
61,168264
62,333347
63,507019
64,678157
65,845162
66,1013467
67,1127839
68,944989
69,692114
70,459982
71,230125
72,6361
73,-216295
74,-436005
75,-652880
76,-866152
77,-1074366
78,-1277539
79,-1478343
80,-1675667
81,-1874046
82,-2072689
83,-2273748
84,-2374127
85,-2223101
86,-2012630
87,-1807496
88,-1604683
89,-1403191
90,-1205420
91,-1010065
92,-817062
93,-627666
94,-440677
95,-257119
96,-74960
97,103025
98,279181
99,451594
100,622587
101,789583
102,954079
103,1114930
104,1274178
105,1431519
106,1585912
107,1737406
108,1887170
109,2034340
110,2178260
111,2321602
112,2461638
113,2600434
114,2735652
115,2870766
116,3001152
117,3131402
118,3257419
119,3382958
120,3505425
121,3612661
122,3567020
123,3338288
124,3061753
125,2792163
126,2527630
127,2268234
128,2013989
129,1764335
130,1517239
131,1270838
132,1027435
133,783086
134,542870
135,306332
136,133238
137,91558
138,180923
139,353069
140,526234
141,697561
142,865428
143,1031027
144,1194301
145,1354419
146,1511910
147,1667149
148,1820065
149,1970091
150,2116883
151,2260296
152,2401516
153,2539879
154,2675985
155,2808931
156,2936740
157,3025653
158,3065076
159,3060582
160,3004128
161,2891993
162,2711592
163,2470445
164,2209616
165,1949474
166,1693324
167,1443629
168,1198197
169,959035
170,725086
171,495477
172,269824
173,47736
174,-170822
175,-386697
176,-598626
177,-810713
178,-1019350
179,-1231442
180,-1439611
181,-1650788
182,-1734594
183,-1581118
184,-1378085
185,-1180029
186,-983949
187,-788949
188,-597421
189,-407340
190,-219250
191,-34223
192,148565
193,328635
194,505403
195,679077
196,849186
197,1016530
198,1180518
199,1341478
200,1498290
201,1653636
202,1804602
203,1952461
204,2098103
205,2241103
206,2381269
207,2518739
208,2653615
209,2786739
210,2917983
211,3047267
212,3174447
213,3299747
214,3423664
215,3545703
216,3666174
217,3784910
218,3901904
219,4017044
220,4129641
221,4241993
222,4351299
223,4459896
224,4565816
225,4671314
226,4774064
227,4875729
228,4974582
229,5073423
230,5165828
231,5232405
232,5278910
233,5305466
234,5316026
235,5306345
236,5278634
237,5225813
238,5145607
239,5033107
240,4886837
241,4705128
242,4490290
243,4247406
244,3984215
245,3720081
246,3458627
247,3204476
248,2971965
249,2781250
250,2642671
251,2565196
252,2554675
253,2613267
254,2736044
255,2872510
256,3006376
257,3137857
258,3267865
259,3395675
260,3522124
261,3645518
262,3767577
263,3886461
264,4004091
265,4119586
266,4232811
267,4320838
268,4310351
269,4201321
270,3986656
271,3712913
272,3435292
273,3160472
274,2891183
275,2626766
276,2366949
277,2110988
278,1859186
279,1610631
280,1366003
281,1123180
282,883171
283,644431
284,408464
285,173070
286,-56727
287,-259808
288,-356232
289,-326581
290,-178757
291,5097
292,182817
293,359082
294,532870
295,703533
296,872031
297,1037637
298,1200382
299,1361132
300,1518870
301,1673948
302,1826440
303,1976113
304,2122984
305,2268436
306,2410407
307,2550689
308,2687882
309,2823450
310,2955961
311,3086128
312,3213583
313,3339551
314,3462647
315,3582913
316,3699323
317,3763384
318,3760436
319,3703113
320,3599109
321,3455502
322,3281816
323,3085295
