# note,坏棒 总长1002  轻轻敲 铁头
# rod_len_mm,
# defect_true_mm,307
# err_mm,270
# time,2026-07-30 16:29:52
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,67
# bottom_index,108
# distance_mm,577
# threshold,500000
# peak_abs,5095906
index,raw24
0,-613
1,-21
2,171
3,259
4,323
5,203
6,187
7,-198
8,283
9,-22
10,-174
11,99
12,74
13,-126
14,-374
15,-165
16,-373
17,-157
18,99
19,-93
20,-621
21,-245
22,-661
23,-613
24,-245
25,-581
26,-933
27,-1301
28,-1117
29,-1044
30,-1188
31,-1444
32,-852
33,-988
34,-1300
35,-1131
36,-699
37,-1427
38,-1299
39,-851
40,-1203
41,-1371
42,-1210
43,-1882
44,-2538
45,-1890
46,-1409
47,-2593
48,-2321
49,-2321
50,-2824
51,-3040
52,-3232
53,-2751
54,-2471
55,-2670
56,-1294
57,-926
58,2026
59,48282
60,155124
61,322521
62,494394
63,668581
64,758196
65,585103
66,336752
67,104199
68,-123670
69,-345231
70,-564445
71,-781152
72,-995505
73,-1206639
74,-1413444
75,-1614919
76,-1812946
77,-2008333
78,-2202928
79,-2397675
80,-2591622
81,-2759250
82,-2777633
83,-2607974
84,-2393599
85,-2184755
86,-1977376
87,-1773127
88,-1571118
89,-1372527
90,-1176119
91,-983191
92,-792679
93,-604967
94,-419133
95,-236410
96,-55965
97,122218
98,298155
99,470599
100,640957
101,808423
102,972364
103,1133878
104,1292547
105,1448757
106,1602717
107,1753993
108,1902603
109,2049826
110,2194280
111,2336804
112,2476407
113,2614817
114,2750026
115,2883090
116,3013994
117,3141162
118,3268106
119,3365451
120,3324769
121,3137651
122,2872476
123,2603805
124,2338111
125,2078322
126,1821868
127,1569246
128,1320110
129,1073789
130,829114
131,586189
132,346821
133,117363
134,-56068
135,-124373
136,-95470
137,26662
138,203163
139,378442
140,552060
141,721984
142,889808
143,1054116
144,1216459
145,1375870
146,1533062
147,1686347
148,1838173
149,1985741
150,2132187
