hit,time,file,points,state,conf,impact,defect,bottom,dist_mm,threshold,peak_abs,peak_pos,peak_neg,mean,rod_len_mm,defect_true_mm,err_mm,note
1,16:28:15,hit_001_20260730_162815.csv,512,DEFECT,HIGH,0,23,109,234,500000,4579454,3823607,-4579454,-329760.6,,307,-73,坏棒 总长1002  轻轻敲 铁头
2,16:28:15,hit_002_20260730_162815.csv,512,DEFECT,HIGH,0,67,109,571,500000,4918469,4918469,-3842794,897050.4,,307,264,坏棒 总长1002  轻轻敲 铁头
3,16:28:16,hit_003_20260730_162816.csv,512,DEFECT,HIGH,0,23,111,230,500000,4566512,4467107,-4566512,169924.5,,307,-77,坏棒 总长1002  轻轻敲 铁头
4,16:28:16,hit_004_20260730_162816.csv,512,DEFECT,HIGH,0,65,110,545,500000,4434483,4434483,-3918717,732737.8,,307,238,坏棒 总长1002  轻轻敲 铁头
5,16:28:16,hit_005_20260730_162816.csv,512,DEFECT,HIGH,0,66,108,567,500000,4363032,4363032,-3855494,704073.5,,307,260,坏棒 总长1002  轻轻敲 铁头
6,16:28:16,hit_006_20260730_162816.csv,512,DEFECT,HIGH,0,65,108,556,500000,4546628,4546628,-3466029,903164.5,,307,249,坏棒 总长1002  轻轻敲 铁头
7,16:28:17,hit_007_20260730_162817.csv,512,DEFECT,HIGH,0,21,109,214,500000,4327680,3971956,-4327680,-126111.9,,307,-93,坏棒 总长1002  轻轻敲 铁头
8,16:28:17,hit_008_20260730_162817.csv,512,DEFECT,HIGH,0,60,113,433,500000,4879826,4879826,-3188695,1256141.9,,307,126,坏棒 总长1002  轻轻敲 铁头
9,16:28:17,hit_009_20260730_162817.csv,512,DEFECT,HIGH,0,61,108,515,500000,4889373,4889373,-3152085,1319502.2,,307,208,坏棒 总长1002  轻轻敲 铁头
10,16:28:18,hit_010_20260730_162818.csv,512,DEFECT,HIGH,0,64,108,546,500000,4844836,4844836,-3217773,1169475.3,,307,239,坏棒 总长1002  轻轻敲 铁头
11,16:28:18,hit_011_20260730_162818.csv,512,DEFECT,HIGH,0,67,116,495,500000,4341308,4341308,-4132314,61329.7,,307,188,坏棒 总长1002  轻轻敲 铁头
12,16:28:18,hit_012_20260730_162818.csv,512,DEFECT,HIGH,0,63,108,536,500000,4988171,4988171,-2130081,1535651.2,,307,229,坏棒 总长1002  轻轻敲 铁头
13,16:28:19,hit_013_20260730_162819.csv,512,DEFECT,HIGH,0,67,116,495,500000,4455069,4455069,-3863642,412404.0,,307,188,坏棒 总长1002  轻轻敲 铁头
14,16:28:19,hit_014_20260730_162819.csv,512,DEFECT,HIGH,0,69,108,597,500000,5063634,5063634,-2843145,1196024.2,,307,290,坏棒 总长1002  轻轻敲 铁头
