# note,坏棒 总长1002mm 任意重度 铁头 307
# rod_len_mm,
# defect_true_mm,307
# err_mm,
# time,2026-07-30 16:53:02
# points,512
# state,NORMAL
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,0
# bottom_index,108
# distance_mm,0
# threshold,500000
# peak_abs,5176400
index,raw24
0,2191
1,1951
2,2494
3,2574
4,2398
5,2261
6,1813
7,2381
8,2053
9,2228
10,2420
11,2116
12,1731
13,2355
14,1867
15,2179
16,1554
17,2178
18,1514
19,2058
20,2209
21,2113
22,2153
23,1944
24,1696
25,2208
26,2256
27,1943
28,2031
29,1943
30,1855
31,1814
32,2702
33,2142
34,2582
35,2421
36,2397
37,2133
38,2796
39,2196
40,1916
41,2491
42,2443
43,2275
44,2211
45,2266
46,2122
47,1338
48,2114
49,1721
50,1441
51,1369
52,449
53,1217
54,1760
55,2600
56,3504
57,5903
58,10215
59,45701
60,144304
61,304838
62,480025
63,648606
64,807407
65,808005
66,592810
67,348562
68,112815
69,-112695
70,-332537
71,-548120
72,-761557
73,-970408
74,-1176722
75,-1379642
76,-1577722
77,-1773929
78,-1964185
79,-2158481
80,-2346425
81,-2548003
82,-2610756
83,-2419733
84,-2210006
85,-2000360
86,-1795564
87,-1591969
88,-1392182
89,-1193996
90,-999083
91,-807169
92,-618414
93,-432099
94,-247198
95,-66760
96,111897
97,287491
98,460440
99,629503
100,796283
101,959913
102,1121044
103,1280067
104,1436543
105,1591352
106,1742421
107,1892017
108,2038610
109,2184081
110,2326998
111,2468026
112,2605845
113,2741735
114,2875232
115,3006073
116,3134706
117,3260811
118,3384301
119,3507000
120,3605676
121,3580924
122,3413911
123,3151582
124,2879677
125,2610526
126,2347663
127,2089761
128,1836217
129,1586449
130,1339528
131,1095244
132,851006
133,610070
134,371204
135,186303
136,137792
137,224887
138,395660
139,567795
140,738174
141,904948
142,1069685
143,1231347
144,1390292
145,1547779
146,1701398
147,1852798
148,2002436
149,2148655
150,2291913
151,2433257
152,2570648
153,2706710
154,2838620
155,2971017
156,3086887
157,3154854
158,3174693
159,3139633
160,3047242
161,2892678
162,2668341
163,2408447
164,2147201
165,1887403
166,1634861
167,1386397
168,1144764
169,907688
170,676049
171,447791
172,223992
173,2893
174,-214780
175,-430330
176,-642157
177,-854239
178,-1063342
179,-1275733
180,-1485073
181,-1678611
182,-1668935
183,-1473003
184,-1276095
185,-1076547
186,-882792
187,-688148
188,-498584
189,-308419
190,-122413
191,62474
192,243202
193,422508
194,597817
195,769744
196,938450
197,1103495
198,1266768
199,1425270
200,1581816
201,1734767
202,1884811
203,2031637
204,2175821
205,2317563
206,2456400
207,2592500
208,2726952
209,2859267
210,2988790
