# note,坏棒 总长1002mm 任意重度 铁头 307
# rod_len_mm,
# defect_true_mm,307
# err_mm,-50
# time,2026-07-30 16:54:33
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,27
# bottom_index,0
# distance_mm,257
# threshold,500000
# peak_abs,1899436
index,raw24
0,8922
1,8793
2,9056
3,9526
4,9253
5,9268
6,9123
7,9050
8,8633
9,8752
10,8903
11,8869
12,8780
13,9123
14,8538
15,9185
16,8720
17,8983
18,8710
19,8909
20,8628
21,8483
22,9169
23,8952
24,8615
25,8550
26,8389
27,8460
28,8683
29,8338
30,8257
31,8864
32,8575
33,8678
34,8005
35,7356
36,6739
37,6354
38,5673
39,4352
40,3520
41,2927
42,887
43,-1337
44,-4953
45,-10488
46,-17511
47,-28229
48,-43145
49,-63396
50,-86980
51,-113826
52,-143100
53,-172370
54,-203117
55,-233292
56,-266296
57,-300943
58,-338043
59,-378833
60,-421619
61,-465824
62,-510703
63,-555408
64,-600213
65,-645027
66,-691045
67,-738384
68,-787942
69,-839302
70,-891295
71,-944243
72,-997015
73,-1051734
74,-1107357
75,-1165310
76,-1227288
77,-1289738
78,-1350492
79,-1406408
80,-1458220
81,-1506154
82,-1549634
83,-1587965
84,-1620227
85,-1644597
86,-1661476
87,-1668450
88,-1666126
89,-1653562
90,-1630865
91,-1598961
92,-1555806
93,-1503320
94,-1439609
95,-1365969
96,-1284890
97,-1196605
98,-1102715
99,-1007061
100,-912010
101,-818754
102,-729870
103,-643165
104,-556383
105,-468435
106,-381338
107,-295219
108,-211735
109,-130845
110,-55341
111,16586
112,83568
113,146749
114,207675
115,265858
116,321386
117,373746
118,424525
119,472353
120,518351
121,560592
122,598635
123,632794
124,661805
125,686348
126,706240
127,722650
128,733834
129,741416
130,745590
131,744147
132,739584
133,731606
134,720388
135,707356
136,693406
137,678633
138,663599
139,649854
140,636310
141,624601
142,612676
143,601193
144,589872
145,578672
146,567281
147,555972
148,546144
149,538214
150,532020
151,526315
152,519723
153,509971
154,498197
155,482272
156,463557
157,441869
158,417511
159,390748
160,361524
161,330288
162,296671
163,260043
164,222315
165,182648
166,141338
167,97657
168,53381
169,7286
170,-39235
171,-86342
172,-134171
173,-182195
174,-230645
175,-279809
176,-327942
177,-377014
178,-424816
179,-471572
180,-517547
181,-561956
182,-602703
183,-641909
184,-677391
185,-709116
186,-735782
187,-756132
188,-771528
189,-778417
190,-778442
191,-769395
192,-751781
193,-724802
194,-687793
195,-641805
196,-585503
197,-520967
198,-447416
199,-366329
200,-277348
201,-182914
202,-82260
203,21990
204,130307
205,239723
206,350022
207,460859
208,569363
209,676526
210,781195
211,882668
212,979576
213,1072816
214,1160797
215,1243872
216,1321936
217,1394390
218,1461404
219,1523282
220,1580024
221,1631135
222,1676952
223,1719115
224,1756481
225,1788443
226,1816912
227,1840579
228,1860682
229,1875879
230,1887586
231,1895011
232,1899132
233,1899436
234,1896124
235,1889885
236,1880110
237,1867352
238,1851669
239,1833058
240,1812419
241,1790101
242,1765827
243,1740179
244,1712103
245,1685062
246,1655992
247,1627126
248,1597599
249,1567644
250,1538037
251,1509233
252,1479529
253,1451036
254,1422779
255,1395214
256,1368747
257,1342500
258,1316752
259,1291319
260,1266074
261,1241143
262,1215616
263,1190147
264,1163866
265,1137740
266,1111217
267,1082953
268,1054485
269,1024956
270,994351
271,962182
272,929624
273,895567
274,860217
275,823416
276,785172
277,746140
278,705465
279,665147
280,623802
281,581589
282,539102
283,496325
284,453640
285,411105
286,369622
287,328561
288,288889
289,250422
290,214231
291,179029
292,146791
293,117117
294,90007
295,66996
296,46372
297,30302
298,17818
299,8760
300,4207
301,3847
302,7766
303,15309
304,27467
305,42592
306,62235
307,84931
308,111441
309,139867
310,170754
311,203973
312,237404
313,272847
314,307894
315,343056
316,377790
317,411664
318,443830
319,473656
320,501806
321,528217
322,550640
323,570741
324,587775
325,602096
326,612414
327,619963
328,623552
329,625267
330,622519
331,617107
332,608808
333,597141
334,583196
335,565629
336,546744
337,524805
338,500957
339,474360
340,446446
341,416408
342,384957
343,352230
344,317643
345,281900
346,245930
347,209044
348,170210
349,131669
350,92525
351,53874
352,14491
353,-24966
354,-62939
355,-100980
356,-138567
357,-175190
358,-211081
359,-244911
360,-278737
361,-311311
362,-341721
363,-371279
364,-399202
365,-426265
366,-450749
367,-476534
368,-498860
369,-520935
370,-541768
371,-561501
372,-580377
373,-598642
374,-615369
375,-631806
376,-647849
377,-663426
378,-678849
379,-693518
380,-708681
381,-722642
382,-736746
383,-750968
384,-765077
385,-779583
386,-792952
387,-807631
388,-820253
389,-834328
390,-847107
391,-860307
392,-873298
393,-885680
394,-897275
395,-909158
396,-920167
397,-930575
398,-940493
399,-949266
400,-958222
401,-965217
402,-971907
403,-977061
404,-981925
405,-984686
406,-986389
407,-986997
408,-986036
409,-984340
410,-980820
411,-975580
412,-969565
413,-962607
414,-953201
415,-944109
416,-932881
417,-921440
418,-908911
419,-895984
420,-882339
421,-868607
422,-854533
423,-840661
424,-827414
425,-814401
426,-801373
427,-789596
428,-778819
429,-768756
430,-760910
431,-753513
432,-747917
433,-743858
434,-741047
435,-740213
436,-740922
437,-744432
438,-748013
439,-754634
440,-762142
441,-772545
442,-783330
443,-795907
444,-810177
445,-825775
446,-842994
447,-860803
448,-880258
449,-900262
450,-921480
451,-943096
452,-965061
453,-988071
454,-1011054
455,-1033867
456,-1056853
457,-1080236
458,-1102576
459,-1124865
460,-1146232
461,-1167284
462,-1187509
463,-1205148
464,-1223289
465,-1239764
466,-1255237
467,-1268139
468,-1280321
469,-1290244
470,-1298567
471,-1305216
472,-1309593
473,-1312633
474,-1313465
475,-1312536
476,-1309488
477,-1304432
478,-1298017
479,-1289858
480,-1279725
481,-1268577
482,-1255134
483,-1240885
484,-1224749
485,-1206952
486,-1188388
487,-1168523
488,-1147285
489,-1125593
490,-1102647
491,-1078912
492,-1054741
493,-1029996
494,-1004446
495,-978564
496,-952084
497,-925936
498,-899591
499,-872705
500,-846606
501,-819647
502,-792307
503,-766234
504,-739741
505,-713562
506,-687467
507,-661335
508,-636055
509,-610873
510,-585894
511,-561447
