# note,坏棒 总长1002mm 任意重度 铁头 307
# rod_len_mm,
# defect_true_mm,307
# err_mm,-80
# time,2026-07-30 16:56:23
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,23
# bottom_index,112
# distance_mm,227
# threshold,500000
# peak_abs,4577218
index,raw24
0,4361
1,4408
2,3944
3,3319
4,3447
5,2814
6,3070
7,2446
8,1789
9,2133
10,1565
11,1117
12,621
13,388
14,44
15,-476
16,-660
17,-907
18,-1707
19,-1459
20,-2003
21,-2179
22,-2306
23,-2946
24,-3010
25,-3305
26,-3585
27,-3568
28,-3984
29,-4080
30,-4935
31,-4790
32,-4582
33,-5205
34,-5485
35,-6036
36,-5835
37,-6242
38,-6338
39,-6401
40,-7120
41,-6991
42,-7326
43,-8101
44,-7660
45,-7947
46,-8106
47,-8809
48,-8832
49,-9439
50,-10246
51,-10245
52,-10564
53,-11538
54,-12393
55,-15895
56,-22517
57,-38699
58,-69822
59,-119357
60,-195655
61,-311319
62,-477985
63,-687254
64,-904274
65,-1122876
66,-1341123
67,-1554455
68,-1764545
69,-1970426
70,-2173026
71,-2372664
72,-2568591
73,-2760973
74,-2950604
75,-3135724
76,-3318885
77,-3498576
78,-3675757
79,-3849572
80,-4018974
81,-4179803
82,-4332997
83,-4459556
84,-4538164
85,-4577218
86,-4576883
87,-4544156
88,-4477642
89,-4382095
90,-4253464
91,-4092249
92,-3892389
93,-3670378
94,-3449394
95,-3230085
96,-3015491
97,-2802139
98,-2592613
99,-2384672
100,-2180693
101,-1978179
102,-1778409
103,-1580800
104,-1386759
105,-1193934
106,-1004028
107,-816562
108,-630614
109,-447305
110,-265426
111,-86530
112,90721
113,264774
114,436789
115,605408
116,771838
117,934040
118,1095550
119,1229592
120,1317690
121,1374577
122,1405377
123,1418238
124,1414769
125,1395908
126,1357505
127,1298068
128,1216141
129,1114153
130,996241
131,866591
132,727901
133,584772
134,440413
135,298279
136,162947
137,37607
138,-71270
139,-158973
140,-222018
141,-257758
142,-266151
143,-246438
144,-201256
145,-132264
146,-41608
