# note,坏棒 总长1002mm 任意重度 铁头 307
# rod_len_mm,
# defect_true_mm,307
# err_mm,93
# time,2026-07-30 16:38:30
# points,512
# state,DEFECT
# confidence,LOW
# result_ready,1
# impact_index,0
# defect_index,42
# bottom_index,0
# distance_mm,400
# threshold,500000
# peak_abs,3359542
index,raw24
0,4325
1,4957
2,4612
3,4788
4,4795
5,5202
6,5242
7,6041
8,6920
9,7335
10,5999
11,4734
12,3917
13,4637
14,5732
15,7635
16,12018
17,16225
18,18039
19,13885
20,3715
21,-8621
22,-17860
23,-25258
24,-32487
25,-39811
26,-47006
27,-54849
28,-62994
29,-72394
30,-80929
31,-87335
32,-92501
33,-96721
34,-102278
35,-108849
36,-116844
37,-125565
38,-132510
39,-138950
40,-147101
41,-159259
42,-176807
43,-196922
44,-216762
45,-234711
46,-250619
47,-267340
48,-287019
49,-308120
50,-330291
51,-350282
52,-368048
53,-384163
54,-402300
55,-423787
56,-447127
57,-470104
58,-489751
59,-510155
60,-530309
61,-553964
62,-582816
63,-615857
64,-652238
65,-689974
66,-731482
67,-782961
68,-847545
69,-904994
70,-953299
71,-999447
72,-1048701
73,-1107797
74,-1162878
75,-1207416
76,-1246444
77,-1281708
78,-1318416
79,-1354831
80,-1384257
81,-1409784
82,-1434236
83,-1454021
84,-1471276
85,-1481560
86,-1485475
87,-1487334
88,-1485904
89,-1480195
90,-1471638
91,-1456098
92,-1438313
93,-1418177
94,-1394516
95,-1367338
96,-1337787
97,-1303063
98,-1262896
99,-1216374
100,-1164210
101,-1107612
102,-1045820
103,-979165
104,-908813
105,-833230
106,-754608
107,-674196
108,-591178
109,-508466
110,-426580
111,-347312
112,-268709
113,-189772
114,-112429
115,-38615
116,31181
117,95937
118,153574
119,205699
120,252338
121,295203
122,335063
123,369846
124,398081
125,417704
126,430933
127,439673
128,447115
129,453572
130,460389
131,461293
132,457492
133,447477
134,433550
135,419289
136,406438
137,393956
138,380684
139,364390
140,344377
141,321975
142,298768
143,276043
144,254418
145,232546
146,209830
147,187012
148,162830
149,138882
150,116313
151,96443
152,78103
153,60253
154,42614
155,25425
156,9053
157,-5484
158,-17027
159,-28001
160,-38053
161,-48993
162,-59683
163,-73107
164,-86419
165,-101624
166,-119556
167,-141349
168,-168428
169,-198807
170,-233183
171,-270746
172,-309177
173,-351692
174,-396537
175,-443344
176,-489706
177,-536374
178,-580581
179,-621438
180,-658298
181,-690194
182,-715365
183,-735486
184,-748108
185,-753401
186,-749605
187,-737097
188,-716695
189,-688000
190,-650060
191,-602717
192,-546443
193,-480040
194,-406582
195,-323900
196,-234476
197,-136888
198,-32687
199,79133
200,196963
201,321387
202,450492
203,584901
204,722870
205,864333
206,1008460
207,1153433
208,1299164
209,1444381
210,1587597
211,1729971
212,1870544
213,2008148
214,2142366
215,2270913
216,2394148
217,2510983
218,2621605
219,2724501
220,2820184
221,2908104
222,2987837
223,3059512
224,3122587
225,3177677
226,3224562
227,3264904
228,3297129
229,3322671
230,3341425
231,3353537
232,3358840
233,3359542
234,3354948
235,3346082
236,3332498
237,3316083
238,3296206
239,3272668
240,3246740
241,3217800
242,3187543
243,3154370
244,3120001
245,3083204
246,3046060
247,3007000
248,2967049
249,2926231
250,2884321
251,2842433
252,2800462
253,2758112
254,2715968
255,2673804
256,2632022
257,2590364
258,2548888
259,2507769
260,2467063
261,2425466
262,2384914
263,2342958
264,2301768
265,2259519
266,2216324
267,2172709
268,2127628
269,2081520
270,2033818
271,1984546
272,1933431
273,1881275
274,1826750
275,1771207
