# note,坏棒 总长1002mm 任意重度 铁头 307
# rod_len_mm,
# defect_true_mm,307
# err_mm,281
# time,2026-07-30 16:42:23
# points,512
# state,DEFECT
# confidence,HIGH
# result_ready,1
# impact_index,0
# defect_index,71
# bottom_index,113
# distance_mm,588
# threshold,500000
# peak_abs,5095253
index,raw24
0,-299
1,-139
2,-531
3,-443
4,-659
5,-875
6,-379
7,-227
8,-211
9,-379
10,-19
11,-163
12,-523
13,-459
14,-770
15,-586
16,-266
17,-458
18,-778
19,-874
20,-394
21,-818
22,-530
23,-378
24,-330
25,-177
26,-753
27,-489
28,-665
29,-865
30,-993
31,-729
32,-633
33,-977
34,-913
35,-1137
36,-1352
37,-1456
38,-1408
39,-1472
40,-1120
41,-1591
42,-1743
43,-1431
44,-1999
45,-1127
46,-1886
47,-1374
48,-1566
49,-1654
50,-1478
51,-1149
52,-1469
53,-1613
54,-1109
55,-1693
56,-1740
57,-2092
58,-324
59,-2668
60,-42476
61,-161230
62,-373651
63,-604989
64,-829387
65,-1047270
66,-1258102
67,-1463164
68,-1664002
69,-1861839
70,-2055627
71,-2248088
72,-2434814
73,-2618869
74,-2795365
75,-2968888
76,-3137885
77,-3305902
78,-3472211
79,-3638427
80,-3805927
81,-3973542
82,-4140457
83,-4283720
84,-4258909
85,-4047381
86,-3817311
87,-3589645
88,-3366663
89,-3144844
90,-2927052
91,-2711678
92,-2498795
93,-2287682
94,-2080675
95,-1875573
96,-1672456
97,-1473804
98,-1277440
99,-1083508
100,-892128
101,-703979
102,-517557
103,-333534
104,-152197
105,26094
106,202547
107,375594
108,545788
109,713329
110,878042
111,1040999
112,1201096
113,1358757
114,1514327
115,1666775
116,1816411
117,1963317
118,2107982
119,2249764
120,2389266
121,2515238
122,2562427
123,2523514
124,2409894
125,2229408
126,1995128
127,1745612
128,1495543
129,1244568
130,995848
131,749111
132,508339
133,272381
134,44156
135,-174809
136,-352740
137,-470105
138,-523511
139,-508800
140,-427401
141,-279997
142,-98011
143,81249
144,259287
145,433127
146,605442
147,774048
148,940314
149,1103255
150,1263184
151,1420406
152,1574945
153,1726537
154,1875606
155,2021289
156,2164002
157,2287266
158,2381875
159,2451736
160,2493037
161,2505324
162,2483138
163,2423523
164,2320731
165,2169456
166,1959095
167,1712728
168,1460887
169,1209005
170,961249
171,717084
172,478196
173,242146
174,11508
175,-215501
